Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
January,-1.1,-1.9,2.8,2.4,-4.3,-3.1,4.6,5.4,2.4,-1.8,3.4,-0.3,3.7,-3.4,0.6,-1.4,3.1,3.4,-1.8,4.7,1.6,3.2,0.2,-0.3,1.9,1.1,2.1,8.9,10.6,11.5,11.9,-4.6,2.2,-6,-7.2,-1.4,-2.2,-3.3,-4.1,1.2,-4.2,0.6,-4,0.4,2.4,0.3,0.2,3.8,1.7,1.3,-2.6,-0.2,3.7,-2,0.4,2.5,-1.5,-1.8,-0.4,3,-0.1,1.6,-6.8,-0.7,-0.1,0.9,-5.8
February,2.5,0.7,6.2,3.6,2.8,5.8,5.9,3.9,5.2,5.8,6.2,1.8,4.2,0,2.7,5.3,6.8,7.1,3.6,4.8,4.8,8.3,5.4,7.3,5.1,3.3,3.2,10,15.8,13.9,14.2,1.1,5.3,-1,-3.5,5,3.3,3.3,-4.9,1.2,5.3,5.6,-1.7,1.5,5.2,1.8,2.8,4.5,2.5,5.4,1,1.2,2.7,1.7,2.8,1.6,3.9,2.3,2.7,4.6,2,3.6,2,3.9,6.6,5.1,3.3
March,2.8,11,8,12.1,7.6,10.1,9.3,8.6,11.1,10.4,10.1,11.7,7,7.7,10.4,9.8,8,7.4,10.2,6.7,9,8.9,8.7,8.9,6.8,9.6,12.3,13.3,21.1,19.7,19.7,5.2,7,5.5,2.2,8.9,6.7,6,6.5,6.8,6.1,9.4,5.4,7.8,6.4,6.8,7.5,6.8,6.4,6.3,7.7,4.9,8.1,9,7.7,5.8,9.1,4.8,5.4,7.1,6.8,8.4,7.3,7.6,9.8,8.6,9.4
April,10.1,15.9,11.6,16.4,13.8,16.3,14.3,18.4,13.3,15,16.1,14.9,15.9,13.3,12.6,17.1,13.5,13.6,17.8,14.9,13.7,15.8,16.4,14.9,12.4,19.8,12.8,20.7,26.1,25.3,25.3,7.3,8.4,7.7,10.9,9.1,13.3,11.5,11.7,12.6,9.1,12.7,8.9,11.4,9,10,9.4,9.9,8.4,12.5,9.1,10.3,9.6,12.2,10.3,11,11,8.2,10.5,9.4,7.9,12.6,10,10.3,10.7,13.6,9.7
May,15,19.9,19.5,18.7,19.1,20.9,19.5,21.5,22.1,21.8,23.8,20.2,17.4,17.3,18.2,20.7,18.2,19.7,18.2,19.8,19.7,22.2,21.2,23,18.2,25.9,25.2,23.3,24.2,23.4,23.4,12.7,13.7,12.7,14.7,15.1,16.9,14.4,13.5,13.2,12.7,17.9,17.3,16.1,13.8,13,17.2,13.5,13.2,15.4,16.5,15.2,14.9,14.9,15.2,16.1,17,15.8,16.5,12,13.1,14.9,16.1,15.9,16.7,16.2,15.4
June,24.3,23.7,25.8,25.7,24.2,24.7,25.2,24.1,25.1,27.4,27,24.6,25.6,25.4,23.9,26.7,25.9,25.7,24.8,24.8,24.7,25.1,24.8,26.2,26,22.4,23.9,17.8,21.9,19.1,19.1,18.8,17.8,16.5,19.6,22.2,21.2,21.5,20.3,19.4,17,21,16.6,19.9,17.8,19.3,18.9,17.5,19.1,20.4,19.7,20.9,20.9,20.8,18,21.7,21.4,19.5,19.9,19,17.9,19.6,21.1,19.6,24.4,22.1,20.5
July,23.1,24.6,24.3,22.9,24.6,22.6,24.7,25.4,23.5,23.6,25.6,22.8,25.7,22.3,21.6,23.4,26,20.8,25.3,25.3,24.9,24.3,24.8,23.4,23,19.1,19.1,19.1,13.7,11.4,11.4,21.2,20.7,23.3,25.4,21,21.8,23.7,25,24.6,24.3,21.9,18.3,25,23,24.9,22.6,26.3,23.3,24.5,23.6,26.5,27,25.5,25.8,27.5,28.4,25.4,25.9,24.3,24.3,27.4,27.5,27.2,24.8,24.1,27.6
August,18.1,20.1,20.2,18.2,18.3,19.6,18.2,18.7,16.7,20.2,15.7,18.8,19.9,16.4,14.3,19.8,19.3,20.8,20.9,15,15.5,17.7,16.4,19.2,18.6,18.6,13.1,13.1,2.5,5.2,5.2,22.7,23.8,24.2,20.7,24.4,21.1,22,21.1,23.3,24.8,23.3,20.3,24.5,21.8,23.8,24.2,24.9,24,24.5,26,21.6,25.2,23.9,24.9,23.4,24.2,24.4,24,23.3,25.8,25.8,25.7,24.3,25.2,24,25.5
September,10.3,14.2,12.3,11.3,11.6,11.2,11.4,13.1,10.8,11.2,10.1,13,14.4,11.7,12.7,9.9,11.4,10.9,8.7,8.4,8.6,12,12.3,12.6,11.9,10.6,5.8,-2.9,0.5,0.9,17.6,15.6,16,15.6,13.6,14.4,18.8,16.5,17.4,21.1,18.8,17.4,17.2,19.3,18.7,16.5,19.9,21,17.8,17.2,20.2,18.4,19.4,17.6,17.4,18.6,18.2,18.9,21.5,19.8,22.1,20.3,19.2,19.8,19.2,17.7,19
October,2.8,1.3,7.8,6.8,2.3,1.3,1.5,3.9,3.2,4.7,2,5.4,9.4,3.4,7.8,6.3,6.2,3.6,4.2,5.9,3.1,4.1,4.7,6.3,2.9,5.4,3.3,-5.5,0.9,0.1,9.3,10.5,12.1,9.9,9.1,11.7,12.8,15.5,10.7,10.6,11,12.4,11.8,10.2,9.5,11.4,11.1,10.7,12.5,11.3,12,9.7,14.6,12,12.1,10.8,11.2,12,9.2,13.9,12.6,11.8,10.1,14.5,15.4,13.4,9.9
November,-3.3,0,-1.1,-0.4,2.8,-1.1,0.6,2.4,-2.3,-1.3,-2.1,-2,-4.2,0.7,-1,-1.6,-3.8,-2.7,0.2,-1.6,-2.8,-5.2,0.8,-0.2,0.5,-1.4,2.4,0.3,2.2,3.5,6.7,2.5,5.4,3.9,-2.4,4.4,5,4.8,4.1,5.1,3,1.4,0.4,0.3,6.9,5.3,6.1,6.4,8.3,0.3,6.7,4.8,3.2,3.6,3.1,6.3,5,6.5,5.3,3.9,4.5,7,4.3,2.1,2.9,8.2,6.6
December,-2.2,4.2,1.3,-6.1,1.9,-3.3,-0.7,1.1,-3.6,-1.7,-6.3,-6.8,-5.4,-1,-0.8,-1.3,-4.2,0.2,1.4,0.2,-1.2,-7,-2.9,-2.6,-2.3,-2.9,4.3,6.2,5.3,6.7,1.8,0.2,-4.9,-3.9,-5.8,-2.2,0.6,-2.8,-0.9,-7.7,-0.2,-1.9,0.7,-0.9,0.5,2.5,-0.4,-0.7,0,-0.4,-0.7,3,3,1.9,-1.4,-0.2,0.3,-0.2,-3,1.7,-0.4,2.2,-4.4,3,-0.1,-4.7,-1.8
