Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,1.1,1.5,3.9,10.6,15.1,18.9,23.3,21.5,18.7,12.7,5.9,1.7
1952,0.3,0.3,2.9,10.3,14,21.5,25.3,22.4,19.1,11.7,7.2,2.1
1953,1.5,1.7,3.9,9.4,14.7,21.4,22.9,22.2,21.3,13.4,9.2,4.6
1954,-3.3,2.4,3.8,10.1,13.5,19.2,22.3,21.2,17.3,14.8,6.9,1.3
1955,-1.9,0,3.1,9.6,17.1,19.3,25.1,23.6,18.1,12.8,5.5,-3
1956,-0.5,0.3,0.9,7.6,13,20.5,22.1,22.1,16.2,12.4,7.8,2.2
1957,-4.8,1.5,3.9,9.7,14.4,21.8,23.4,20.7,19.6,12.6,8.4,4.4
1958,-0.6,-3.7,3.9,9.3,0,17.7,22.4,22.4,18.1,12.4,8.1,-3.1
1959,-1.8,-2.9,2.8,9.6,17,18.2,23.7,23.4,20.1,12.8,6.9,2
1960,-0.6,1.8,0.4,9.1,15.4,20.9,22.8,22.3,17.6,12.2,8.9,-1.4
1961,-3.9,-0.2,2.7,7.4,13.5,20.5,22.3,22.5,20.6,14.1,7,0.4
1962,1.8,-2.8,3.6,9.7,14,20.2,21.3,21.1,17.1,12.3,5.4,-1.1
1963,-1.4,-3.4,3.9,9.4,15.2,20.8,23.7,21.3,16,15.6,9.1,-3.4
1964,-0.2,-1.6,3.7,7.8,15.7,19.4,21.9,19.1,16.7,11.4,6.7,0.2
1965,-3.7,-2.2,2.1,6.8,15.3,19.7,21.7,21.4,16.9,11.6,5.6,2.3
1966,-1.8,-0.4,4.3,7.7,14.1,20.8,23.8,21.8,17.5,12.5,8.3,1.2
1967,1.7,-3.1,0.7,7.2,10.9,19.6,22.8,21.6,17.1,12.1,4.5,1.7
1968,-3.6,-3.3,3.9,9.8,13.4,18.3,24,21.5,18.3,14.4,6.6,-0.6
1969,-1.5,-1.4,1.9,10.3,14.7,20.8,21.7,23.5,17.6,12.4,7.2,0.7
1970,-5,0.2,3,9.4,15.3,19.4,23.5,23.1,18.7,12.7,7.1,-1.7
1971,-4.6,-0.8,2.8,7.3,13.1,20.6,23,23,20,15.4,6.2,2.4
1972,0.6,-1.3,2.4,7.2,14.2,18.6,23.2,21.9,18.7,11,5.7,3.3
1973,0.6,-1.3,2.4,7.2,13.9,21.1,23.5,23.8,18,13.1,7.7,4.2
1974,-0.2,-1.6,3.7,10.5,12.6,18.2,22.4,22.2,17.6,10,7.4,3.2
1975,1.6,0.1,2.7,7.3,18.6,19.7,24.4,22.7,15.5,14.1,11,3.2
1976,-3.3,2.9,5.1,0,15.7,23,22.7,22.2,18.3,11.3,5.5,-1.7
1977,-4.8,-0.7,7.1,10.7,17,19.7,23.8,23,18,12.9,8.9,-1.7
1978,-1.9,-2.7,2.3,9.3,17,19.1,23.8,21.7,16.3,11.4,6.4,1.8
1979,0.3,-4.9,5.8,9.3,16,20.1,23.6,22.1,18.3,11.5,9.1,2.6
1980,-1.4,-2.3,2.7,9.3,15.2,18.7,24.8,23.4,19.8,11.3,5.1,-1.9
1981,-5.9,2.4,3.8,10.8,15.8,21.6,23.7,22,17.6,10.7,6.6,0.7
1982,-5,-0.9,3.2,8.8,14.3,17.3,23.9,21.3,17.8,12,8.7,4.3
1983,-0.4,0.4,4.8,9.5,14.6,21.5,25.6,23.1,21.4,12.9,7.8,0.1
1984,-2.9,2.9,-0.1,7.8,14.4,21.4,23.7,23.7,16.7,11.8,7,4.2
1985,-4.2,0.4,4.7,9.7,15,18.2,22.8,21.1,18.3,13,7.2,-0.6
1986,-4.2,0.4,4.7,9.7,15,18.2,22.8,21.1,18.3,13,7.2,-0.6
1987,-1.7,-1.7,3.6,9.2,15,19.9,22.1,21.2,18.5,12.2,6.7,2.2
1988,-2.4,0.1,3.9,8.2,14.2,20.3,23.2,24.2,18.1,10.4,8.2,0.4
1989,1.4,-0.8,2.9,7.7,15.2,19.8,22.7,22,18.2,12.9,6,-5.7
1990,2.4,1.2,4.5,8.7,12.7,19.2,22.8,22.9,18.1,14.6,9.2,4.8
1991,-1.4,2.3,5.3,10.7,17.4,21.1,23.7,23.2,17.5,13.5,7.3,2.2
1992,-0.6,0.2,1.9,8,13.1,19.9,20.8,21.3,17.7,11.4,6.1,1.6
1993,0.2,-2.7,2.4,9.1,15.7,20.8,23.7,23.1,18.2,11.3,7.6,1.2
1994,-5.4,-2.8,3.4,10.8,14.7,22.2,25.3,22.4,17.9,13.1,9.4,3.6
1995,1.4,-2,3.8,7.8,14,20.3,24.4,22.7,17.3,14.7,5.5,-0.2
1996,-1.1,-0.6,2.4,8.8,14,20,22.1,21.6,17.8,11.7,4.5,3.9
1997,-1.6,2.2,2.6,7.9,13.3,20.1,23,21.7,17.8,11.4,5.3,1.7
1998,1,1.7,5.1,9.7,15.7,18.1,23.5,22.5,18.8,12.3,6.8,3.8
1999,-1.5,0.7,3.9,9.1,14.4,21.6,24.2,21.8,19.4,11.6,8.8,2.9
2000,-2.6,1.2,6.2,8.5,14,19.6,21,21.3,17.5,12.1,6.4,-1.5
2001,-1.2,-0.3,1.8,9.2,15.3,21.7,21,23.2,18.4,13.3,9,4.7
2002,2.6,2.3,4.5,9.7,14.4,19.1,23.9,24,20.2,11.3,6,0.6
2003,-4.5,-3.2,3.1,6.8,12.7,18.5,23.5,23.4,18.7,11.6,7.7,2.2
2004,-6.4,0.4,4,9.7,14.8,19.1,21.7,22.2,18.4,12.1,6.8,1.6
2005,-3,-0.6,1.8,9.8,11.2,20.2,22.9,23.5,19.9,12.6,7.7,0.2
2006,2.4,-0.6,3.7,9.8,13.9,20,24.3,21.9,18.1,12.3,9.5,4.9
2007,0.4,-3.3,3,7.3,16.4,20.2,22.7,22.5,19.8,15.1,6.1,0.3
2008,0.7,0.2,3.4,9.6,14.3,21.2,23.9,21.1,18.4,11.8,6.2,1.9
2009,-4,0.4,3,10.3,15.2,17.4,21.4,23.1,17.3,11,9.4,1
2010,-1.3,0.7,6.6,11.7,17.1,21.3,25.1,23,20.4,13.2,7.1,0.4
2011,-2.4,-0.8,3.9,10.1,15.1,19.5,25,23.3,19.6,14.2,10.2,4.5
2012,1.2,3,8.2,11.7,15.7,19.3,24.1,23.7,18.2,13.6,5.6,3.6
2013,-0.2,-0.4,3.2,9.4,14.9,20.9,25,22.3,18.2,13.7,6,0.8
2014,-2.5,-1.6,0.9,9,14.8,20.2,23.4,21.6,19,13.5,5.8,3.5
2015,-3.2,-7.1,0.7,8.9,16.8,18.1,23.3,23.7,20.7,12.2,9.2,7.4
2016,0.3,1.5,5.9,8.4,14.8,20.2,24.5,24.7,19.7,13,7.9,1.8
