Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,-3.3,-0.6,4.4,10,17.3,21.6,23.4,22.2,18,13.8,2.6,-0.1
1952,1.9,1.3,4.5,11.1,16.3,23.7,25.1,23.1,18.9,9.4,6.4,1.9
1953,1.9,2.1,5.9,9.1,18.5,23.2,24.3,23.1,19.1,14.2,6.5,1.2
1954,-0.3,3.9,3.3,14.2,14.4,22.8,23.6,22.5,20.7,13.4,5.9,0.3
1955,-2,0.2,5.2,13.8,17.7,21.1,26.1,25.1,20.7,12.9,4.5,-1.1
1956,-2.4,2,4.2,9.2,16.3,21.7,23.2,22.9,17.4,15.3,6.2,4.9
1957,-3.4,2.5,4.8,12.3,17.1,22.7,23.1,22.9,19.1,15.3,6.3,2.7
1958,-2,-3.9,3.2,11.3,16.3,19.6,23.6,22.6,18.9,12.4,6.6,-4.8
1959,-3.3,0.4,3.8,11.4,19.3,21.9,24.1,24.6,20.9,12.8,4.2,2.4
1960,1.2,-1.8,-2,12.9,15.2,20.9,22.1,23.8,20.1,12.8,6.9,-3.8
1961,-4.7,2.7,7.4,8.4,13.6,19.6,23.2,22.8,21.7,12.9,5.4,-1.3
1962,-4.1,-1.8,2.7,9.3,19.6,22.3,21.8,22,16.4,12.4,4.9,-3.9
1963,-5.7,-5.1,6,10.6,14.9,21.6,23.3,21.1,17.6,15.5,7,5.8
1964,-1.1,-2.4,4.2,10.2,17.2,21.3,23.6,21.8,17.2,10.6,7.3,1.1
1965,-2.1,-1.6,1.6,10.8,20.1,20.8,22.2,21.7,20.2,12.4,6.3,2.5
1966,-5.4,-1.4,5.5,9.7,13.4,21.9,24.2,21.8,17.3,10.4,5.8,0.3
1967,1.6,-3.4,4.7,11.4,13,22.1,22.1,20.1,15.8,11.1,6.1,1.3
1968,-4.7,-3.5,6.3,11.7,14.7,21.9,23.4,22.8,18.6,12.3,6.7,-0.5
1969,-2.8,-0.3,1.8,10.8,16.5,20.2,23.4,21.8,17.7,12.2,4.1,-2.9
1970,-6.3,-1.9,2.7,11.9,18.3,21,23.1,22.4,20.5,13.1,8.5,1.3
1971,-4.3,-0.7,2.6,9.4,14.4,23.1,21.4,20.5,19.9,15.4,4.7,3.6
1972,-2.1,0.9,2.8,9.3,16,17.6,22.2,21.2,18.1,12.4,4.7,-2.7
1973,0.4,-0.3,10.2,10.6,15.3,22.6,23.5,23.4,20.6,14.8,7.3,0.9
1974,0.7,-0.4,9,12.4,16,19.6,23.6,23.3,16.8,11.6,7,1.1
1975,0.3,0.8,2.9,8.2,19.2,19.6,23.6,22.5,17,12.6,8.8,0.8
1976,-4.4,3,8,10.5,19.2,19.6,22.2,22.5,16.5,8.6,1.1,-4
1977,-11.4,-3.1,7.6,12.7,19.3,19.7,24.6,22.2,20.1,11.1,7.3,-4
1978,-7.2,-8.6,1.4,10.3,15.3,20.9,24.6,22.9,22.1,10.8,6.9,1.3
1979,-5.9,-7.2,7.5,10.1,15.6,21.9,22,22.2,18,11.8,6.4,1.7
1980,-1.5,-3.8,2.9,9.7,16.9,19.4,24.4,24.4,20.2,10.6,4.9,0.3
1981,-4.8,1,4.6,13.2,14.6,21.6,22.2,24.4,20.2,10.3,4.9,-0.6
