Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,-6.4,-3.7,-1.9,7.5,17.3,19.1,23.1,22.4,16,11.4,0.1,-6.4
1952,-5.9,0.5,0.7,10.3,15.8,24.2,24.2,21.7,18.9,9.3,3.8,-2.6
1953,-4.4,-1.3,3.4,7.1,15.8,23.4,23.7,23.9,19,14.9,6.3,-1.6
1954,-6.9,3.2,0.1,12.1,13.8,23.6,26.3,23.1,19.7,11.3,5.8,-1.4
1955,-5.8,-5.5,2.1,14.2,18.2,20.3,27.2,25.1,20.1,12.3,-0.5,-5.8
1956,-6.7,-6.4,1.8,8.7,17.4,24.4,23.7,23.6,18.3,15.9,3.3,-1.7
1957,-9,-0.7,2.7,10,15.5,21.3,26.5,23.6,16.7,10.1,1.9,0
1958,-4,-8.4,1.6,10.1,17.7,19.4,21.8,23.6,18.4,13.3,5.4,-5.1
1959,-8.7,-4.6,2.4,9.7,17.2,22.7,23.4,25.5,17.9,9.8,1.9,1.1
1960,-4,-3.1,-4.1,11.1,16.1,20.5,23.6,23.8,19.2,12.3,4.9,-3.4
1961,-5.6,-1.1,3.1,7.1,14.8,21.4,22.2,22.9,16.9,12.8,2.6,-2.9
1962,-10.6,-6.4,-1.2,9.6,20.7,21.8,23.5,23.4,17.4,14,4.7,-4.4
1963,-13.1,-7.3,4.1,10.9,15.4,21.3,24.4,21.9,18.8,18.1,6.2,-9.3
1964,-2.3,-3.2,-0.9,8.9,17.9,21.1,25.1,21.3,17.6,10.4,5.1,-4.8
1965,-8,-6.6,-5.2,8.9,19,21.3,23.8,22.7,16.1,12.9,5,1.8
1966,-9.9,-4.1,5,7.8,14.3,21.3,26.1,21.6,16.9,11.6,3.6,-4
1967,-4.6,-5.4,4.3,10.6,13.9,20.6,22.3,21.3,16.8,10.8,2.5,-1.7
1968,-5.4,-4.5,5.9,10.6,13.9,22.4,23.4,22.8,17.4,12.1,1.5,-5.9
1969,-8.8,-3.4,-2.1,11.4,17.2,19.6,24.4,23.7,18.9,10,3.9,-4.6
1970,-10.7,-2.7,0.5,10.9,18.8,22.4,24.8,23.3,18.6,12.3,4.3,-1.8
1971,-9.1,-4.9,1.8,11.2,14.8,24.9,22.3,23,20.1,15.8,4.2,-2.1
1972,-8.6,-4.6,2.8,9.4,16.9,21.2,23.3,22.4,18.1,8.9,1.1,-7.6
1973,-5.6,-2.4,7.6,9.6,15.4,23.1,24.7,24.9,18.7,15,4.8,-5.5
1974,-6.9,-2.2,4.3,11.7,15.7,20.6,27.2,21.7,16.1,13.6,4.2,-2.1
1975,-5.2,-5.3,1.3,8.2,18.8,22.4,25.5,25.1,16.6,14,6.4,-1.2
1976,-5.1,1.2,4.3,13,15.9,21.9,25.1,#N/A,18.7,9.2,0.3,-5.7
1977,-12.2,-1.2,7.1,14.7,20.8,23.7,27.2,22.3,19.2,12.3,3.9,-4.9
1978,-11.7,-10.4,0.7,10.3,16.4,22.6,#N/A,23.9,21.5,11.3,3.9,0
1979,0,-10,1.8,8.3,16.4,21.6,23.6,23.5,19.3,12.4,3.3,-0.2
1980,-4.8,-6,1.5,11.1,17.5,21.8,26.6,24.6,19.3,9.8,5.3,-3
1981,-3.6,-1.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.9,10.9,6,-3.6
1982,-12.4,-4.4,1.9,8.3,18.1,19.5,25,22.9,18.3,12.6,3.5,0.2
1983,-2.6,0.2,4.1,7.4,14.7,22.8,27.2,28.5,19.8,11.5,4.8,-12.3
1984,-6.8,1.9,-0.5,9.3,14.8,22.9,24.4,25.3,16.9,11.6,4.2,-2.4
1985,-9.1,-5.4,5.6,12.9,18.4,20.2,24.7,22.2,18.2,11.7,-1.1,-10.3
1986,-2.8,-5.7,5.8,12.2,17,22.8,25.1,20.6,19.4,11.7,0.6,-1.7
1987,-2.8,2.2,6.1,12.8,19.3,23.7,25.9,22.2,18.4,8.9,6.2,-1.1
1988,-6.9,-5.8,4.5,10.8,19.6,24.2,25.8,26,19.4,8.8,4.3,-1.8
1989,0.3,-9.2,2.8,11.3,16.1,20.5,25.1,22.9,16.8,12.3,2.2,-8.4
1990,-0.2,-0.5,5.6,10,14.4,22,23.2,23.6,20.1,11.3,6.5,-5.1
1991,-8.4,0.8,5.8,12,19.3,23.8,24.5,23.2,18.3,11.4,-0.6,-0.8
1992,-0.7,1.6,5.8,9.4,16.7,21.3,21.8,20.2,17.3,11.9,1.6,-2.7
1993,-5.9,-5.8,1.2,8.4,16.1,20.6,23.2,23.2,15.1,10.2,2.4,-2
1994,-10.6,-5.9,4.7,10.5,16.9,22.4,22.8,21.8,19.1,13.1,5.6,-0.9
1995,-6.2,-1.8,4.3,8.6,14.9,21.6,24.6,26.2,17.3,11.6,0.7,-3.3
1996,-8,-3.8,0.3,8.7,14.2,21.5,22.6,22.4,16.7,11.9,0.1,-5.4
1997,-8.2,-2.5,4.5,7.8,13.2,22.3,24.1,22.2,19.1,12.1,1.3,-1.8
1998,-3.4,2.3,0.9,10.5,19.1,20,24.1,23.9,21.3,12.2,5.7,-1
1999,-6.6,1.7,3.7,10.7,16.2,21.5,26.5,22.4,17.2,12,8.5,-1.2
2000,-3.6,2.5,7.3,11.1,18.2,20.7,23.2,24.2,19.5,14.3,1,-11.3
2001,-4.6,-6.5,0.1,13.5,16.5,21.4,25.5,24,17.5,11.2,9.9,0.2
2002,-0.5,0,1.3,10.3,15.1,23.5,25.6,22.6,20,8.5,2.3,-0.3
2003,-6.1,-5.6,3.1,11.4,16.2,21.5,24.8,25.4,17.4,12.8,3.3,-0.6
2004,-6.7,-3.7,5.9,12.2,17.6,20.4,22.4,20.4,20.2,11.9,5.8,-1.4
2005,-5.8,0.7,4.2,13.3,15.7,23.6,25.3,24.1,21.2,12.6,5.6,-4.7
2006,2,-2.4,4.1,13.7,17.5,23,26.1,23.7,17.1,10.1,5.6,1.5
2007,-4.5,-7.4,7.4,9.4,19.1,22.6,24.9,25.2,19.3,14,3.9,-4.7
2008,-7,-6.8,2,8.8,15.8,21.9,24.1,22.6,18.6,12.2,3.9,-5.8
2009,-7.9,-1.1,5.2,10.5,17.1,22.5,22.2,22.5,19.6,8.7,8.3,-5.2
2010,-8.4,-6.6,5.5,14.9,17.1,23.4,25.7,25.5,19.2,14.3,5,-4.6
