Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,18.6,18.6,21.5,23.2,25.5,27.4,27.8,28.8,28.3,25.6,21.7,22.8
1952,20.6,20.1,23.7,23,26.1,28.3,28.7,28.6,28.3,25.8,23,19.3
1953,19.9,21.9,23.7,24.4,27,27.5,28.2,28.9,27.8,24.6,22.6,20.9
1954,20.7,20.1,20.9,24.9,26.4,27.4,28.4,29.6,28.2,25.2,21.7,18.1
1955,18.4,19.9,22.1,24.3,25.7,26.9,27.3,28.6,27.9,25.2,22.7,20.9
1956,17.2,21.8,21.3,23.4,26.4,27.2,28.3,28.9,27.2,25.8,21.1,20.9
1957,21.3,22.7,21.6,24.7,26,27.5,27.7,27.7,27.6,24.7,24,18.8
1958,16.4,15.3,21.2,23.7,25.3,27.7,28.3,28.8,28.1,25.3,24.9,20.7
1959,19.2,24,21.9,24.1,25.4,26.9,27.2,27.3,27,26.9,23.3,19.7
1960,19.3,19.8,19.9,23.8,25.1,27.4,28.8,27.6,27.8,26.5,23.8,18.7
1961,18.4,21.1,23.4,23.5,25.7,26.8,28.8,28.7,27.9,25.5,23.3,20.7
1962,20.2,22,21.3,22.9,25.1,26.8,28.6,28.4,27.4,25.4,20.2,17.7
1963,19.7,18.8,23.1,23.9,25.1,27.1,28.5,28.4,27.6,24.7,21.9,17.6
1964,19.8,18.8,23.8,25.2,25.5,27.3,28.4,28.8,28.1,25.1,23.9,22.5
1965,19.6,21.7,23,24.9,25.9,27.2,27.5,27.6,26.8,25.8,23.7,20.8
1966,19.1,20.6,20.8,23.8,25.4,25.8,27.4,27.7,27.3,25.7,21.3,19.2
1967,21.8,20.5,22.7,23.8,26.3,26.7,28.1,27.8,27.5,24.7,21.8,21.3
1968,18.9,17.1,19.4,24.4,25.7,26.4,27.6,28.8,27.9,25.4,21.7,19.2
1969,19.8,18.4,19.9,25.2,26.4,27.9,28.9,28.6,28.1,26.8,21.3,18.8
1970,17.7,18.2,22.1,26.1,26.2,27.8,28.2,28.9,27.9,26.4,20.9,21.6
1971,20.1,21.6,21.3,23.5,26.2,27.2,28.2,27.7,27.1,26.1,23.3,23.4
1972,22.8,18.2,22.3,23.9,25.3,26.6,27.2,27.6,26.9,25.5,22.9,21.6
1973,21.3,18.5,23.6,0,26.4,27.4,27.7,27.4,27.7,25.3,24.6,19.4
1974,23.5,20.5,24.2,24.6,26.7,27.8,28.1,28.8,28.9,25.6,22.7,20.6
1975,22.6,22.8,23,25.3,26.7,27.8,28.1,28.1,27.8,26.2,22.4,20.6
1976,18.2,20.4,24.3,23.9,26.7,27.8,28.4,28.1,26.9,24.6,21.9,20.1
1977,16.2,18.9,23.9,23.8,25,27.6,28.7,28.4,28.3,24.7,23.3,20.6
1978,17.7,17.3,20.5,23.3,26.2,27.7,28.7,28.1,27.8,26,24.3,22.8
1979,18.3,18.1,20.7,25.4,26.9,27.7,28.4,27.8,27.1,25.5,24.1,21.1
1980,19.7,18,22.8,24.1,26.1,27.4,28.1,28.2,27.8,27.6,23.5,19.6
1981,15.4,20.8,21.2,25.4,26.4,28.7,29.4,28.2,26.8,26.6,22,19.8
1982,19.9,23.6,23.7,25.5,25.1,27.8,29.1,28.9,28.2,25.5,23.9,22.6
1983,19.6,19.7,19.7,22.2,25.7,27.6,29.4,28.5,27.6,25.7,22.5,21
1984,19.4,20.3,21.3,22.9,25.1,26.6,27.7,28.1,26.7,25.7,21.9,21.7
1985,16.7,20.2,22.5,23.4,26.1,28,27.2,28,27,26.9,24.2,18.9
1986,18.4,20.8,20.3,22.2,25.3,27.2,28.4,28.3,28.3,26.7,26.1,22.8
1987,18.9,21.7,22.2,21.7,25.9,28.9,29,29.7,28.6,25.3,23.9,21.1
1988,19.9,19.7,21,24.5,25.5,27.8,28.4,28.7,28.9,26.2,24.9,21.4
1989,22.6,21.6,23.1,25.1,27.2,28.2,28.5,29,28.9,26.1,24.6,18.3
1990,23.1,23.3,23.2,24,26.8,28.3,28.6,28.7,28.4,26.9,23.6,22.7
1991,22.7,20.9,23.3,25.8,27.5,28.3,28.6,29.2,28,26.1,22.8,22.3
1992,19.7,21.4,22.2,23.3,25.4,27.5,29.4,29.1,28.4,26.4,24.9,22
1993,22.9,20.5,21.9,23.3,26.2,28.5,29.2,29.3,28.3,27.1,24.4,20.4
1994,20.8,22.9,23.3,25.7,27.2,28.7,28.7,28.2,27.7,26.8,25.1,22.2
1995,19.6,19.9,23.1,25.2,27.8,27.6,29.1,29,28.7,27.5,23.2,20.1
1996,20.1,20,20.9,24.4,27.3,28.1,29.2,28.5,28.4,25.7,23.4,21.2
1997,19.9,23.5,24.5,24.2,26.9,27.8,28.9,29,27.5,25.8,23.3,20.4
1998,21,20.6,20.8,24.3,27,29.6,29.3,29.3,28.4,27,24.5,22.8
1999,20.9,20.6,21.1,25,25.9,27.1,28.9,28.7,27.7,26.2,23.4,21.1
2000,20.2,20.7,23.8,23.9,26.8,27.8,28.7,28.5,28.2,25.6,23,20.4
2001,17.3,23.4,23,24.4,25.3,28.1,28.1,29.1,27.5,26.1,23.4,22.9
2002,21,21.1,23.9,25.8,27.1,26.8,28.3,28.8,28.5,27.8,23.2,21.4
2003,17.3,22.6,25.9,24.2,27.4,27.9,29.1,28.4,27.9,27,24.4,19.4
2004,19.2,21.4,22.6,23.3,26.4,28.9,29.1,28.8,28.1,26.3,23.9,20.3
2005,20,20.3,21.8,23,26.2,27.3,29.5,29.6,28.4,26.3,24.1,20.7
2006,20.8,19.7,22.2,25.1,26.3,28.2,28.3,28.8,28.2,26.7,22.7,23.5
2007,22.5,20.6,23.2,23.8,25.9,27.5,28.8,29.4,28.4,27.5,23.8,23.8
2008,21.2,23.4,23.5,24.9,27.4,28.5,28.3,28.8,28.6,25.6,22,22
2009,19.7,20,22.6,25,27,28.6,29.4,29.7,28.9,28,24.4,22.9
2010,18,18.1,19.8,24.6,27.4,29.7,29.4,29,28.6,26.4,23.2,16.4
2011,19.4,22.2,23.3,26.7,27.1,28.1,29.3,29.2,28.8,25.9,24,22.9
2012,20.3,22.3,24,24.4,26.6,28.1,28.6,28.8,28.2,26.4,21.9,22.2
2013,22.9,22.1,20,25.5,26,28.3,28,28.8,28.2,27,25,23.9
2014,19.9,23.4,23.2,25.3,27,27.5,28.8,29.4,28.1,26.6,22.6,21.8
2015,21.6,20.2,24.9,26.9,27.2,28.7,29.2,29.3,28.5,26.9,25.8,25.1
2016,19.6,20.3,24.7,25,26.7,28.6,29.3,28.8,28.6,27.1,23.7,24.8
2017,22.6,22.9,23,25.5,27.9,28.7,29.8,29.9,29.3,27.1,25.2,22.1
