Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,4.6,5.4,9.6,13.1,19.9,24.6,26.5,26.9,22,16.7,5.9,6.6
1952,6.8,7.4,9.1,14.3,20.8,29.3,28.4,27.1,21.2,11.6,9.1,5.7
1953,7.3,6.7,11.6,13.6,22,27.2,26.5,26.2,22.7,17.4,8.9,3.9
1954,4.5,8.5,9.1,18.5,17.2,25.6,28.9,27.9,24.9,16.3,9,4.4
1955,3.3,5.1,10.4,17.8,21.8,21.9,28,27.2,24.7,15.5,7.9,4.2
1956,2.2,8.3,9.7,14.3,21.2,24.5,27.4,26.6,21.9,17.8,8.7,10.2
1957,3.1,8.6,9.1,17.3,20.9,25.2,26.1,25.3,22.5,13.7,9.2,7.1
1958,1.9,-0.6,6.7,14.7,20.1,23.9,26.7,25.4,22.1,15.3,10.9,2.3
1959,2.8,5.6,8.8,15.4,21.8,23.8,26.2,26.6,23.3,16.6,7.3,6.2
1960,4.4,2,2.4,16.1,18.7,23.9,25.7,26.4,23.1,16.4,8.8,1.5
1961,0.7,8.3,11.2,12.5,17.6,22.4,25.2,24.7,23.1,15.4,9.8,1.5
1962,1.8,7.9,7.4,13.3,24,23.9,26.2,26.5,20.7,17.2,8.8,1.7
1963,-0.6,1.2,12.1,16.4,19.6,24.3,25.3,24.9,21.1,18.6,9.6,-0.8
1964,3.8,2.9,9.4,17,20.9,25.4,25.9,25.1,21.8,13.7,10.9,5.9
1965,4.4,4.2,5.5,16.1,22.1,23.9,25.9,26.1,23.4,15.2,11.1,7.1
1966,1.7,5.2,10.3,14.9,18.5,23.9,27.9,24.7,20.8,13.9,10.4,7.2
1967,5.7,3.1,13.9,17.7,19.1,24.6,24.3,22.6,19.3,15.2,6.8,6
1968,1.1,1.7,8.8,14.8,19,23.8,25.4,26.4,21.1,15.3,9.3,3.4
1969,2.9,4.3,5.9,16.1,20.5,25.1,28.2,25.6,21.6,15.9,8.1,2.9
1970,0.2,3.6,8.2,16.1,20.2,23.1,25.1,26.2,24.9,16.1,8.6,6.2
1971,2,3.7,7,14.4,17.4,25.3,24.9,24.7,23.6,19.3,9.9,9.6
