Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,11.1,11.7,11.1,11.3,14.6,15.1,15,16.4,16.8,15.8,12.3,9.2
1952,8.4,10.7,10.5,12.7,13.8,14.3,16.8,15.7,17.2,14.9,11.1,10.2
1953,11.7,10.1,10.5,11.4,13.1,14.8,15.6,16.7,17.9,14.8,12.9,10.6
1954,9.7,10.6,9.8,13.7,13.7,14.9,16.6,16.2,16.6,14.6,11.9,8.7
1955,7.2,9.3,11.4,11.2,14.1,16.2,15.2,15.3,16.3,15.2,12.2,10.9
1956,9.5,8.9,10.9,12.4,14.6,16.3,16.5,0,17.7,14.6,12.7,9.3
1957,7.8,11.6,12.1,13.8,14.8,17.6,17.9,17.1,18.7,16.2,12.3,9.8
1958,10.2,13,11.2,14.3,16.9,18.5,18.4,19.6,20.8,17.4,15,12.9
1959,11.9,11.8,14.4,15.4,15.1,16.4,17.9,18.6,17.9,18.3,13.6,10.7
1960,9.6,10.8,12.7,13.2,14.6,17.9,16.9,16.7,16.9,15.9,12.1,9.3
1961,8.7,11.8,11.8,13.9,13.9,17.3,17.8,18,17.9,16,11.8,8.5
1962,8.5,10.1,10.3,13.3,13.7,19.4,15.7,17.6,16.1,15.3,13.2,9.8
1963,7.6,13.3,11.1,11.7,13.8,14.8,16.8,17.5,19.1,16.8,12.4,7.9
1964,9,10.4,11,12.3,13.2,16.3,17.3,17.9,17.5,16.1,10.9,10.7
1965,9.2,10.2,11.3,12.5,12.9,14.6,15.7,17.4,16.2,16.9,12.9,7.2
1966,8.7,9.3,10.9,14.4,14.1,16.3,15.8,16.9,17.8,15.8,12.6,9.4
1967,10,10.8,11.3,10.5,14.7,15.2,17.1,17.1,19.1,17.5,14.3,8.9
1968,8.1,12.5,12.5,12.7,13.5,16.3,16.6,18.2,17.8,15.3,12.4,8.8
1969,8.4,9.3,11.2,12.2,15.3,16.2,16.8,17.2,17.7,16.2,13.4,12.1
1970,11.3,12.7,13.5,12.1,15.8,15.8,17.2,16.4,18.6,14.7,13.3,9.3
1971,9.1,10,11.2,11.7,13.6,15.6,15.9,17.8,19.2,13.9,11.8,7.8
1972,7.6,11.1,12.9,13,14.2,16.1,17.7,17.8,17,16.1,11.8,7.2
1973,8.9,11.6,10.8,13.7,14.8,17.5,16.6,15.9,17.5,15.9,12.2,10
1974,9.2,9.8,11.9,12.7,13.4,15.8,17.2,17.6,16.9,16.7,12.1,9.2
1975,8.6,10.5,10.8,10.3,14.7,15.4,16.6,17.2,16.3,14.9,11.2,9.6
