Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,-1.1,2.5,2.8,10.1,15,#N/A,24.3,23.1,18.1,10.3,2.8,-3.3
1952,-2.2,-1.9,0.7,11,15.9,19.9,23.7,24.6,20.1,14.2,1.3,0
1953,4.2,2.8,6.2,8,11.6,19.5,25.8,24.3,20.2,12.3,7.8,-1.1
1954,1.3,2.4,3.6,12.1,16.4,18.7,25.7,22.9,18.2,11.3,6.8,-0.4
1955,-6.1,-4.3,2.8,7.6,13.8,19.1,24.2,24.6,18.3,11.6,2.3,2.8
1956,1.9,-3.1,5.8,10.1,16.3,20.9,24.7,22.6,19.6,11.2,1.3,-1.1
1957,-3.3,4.6,5.9,9.3,14.3,19.5,25.2,24.7,18.2,11.4,1.5,0.6
1958,-0.7,5.4,3.9,8.6,18.4,21.5,24.1,25.4,18.7,13.1,3.9,2.4
1959,1.1,2.4,5.2,11.1,13.3,22.1,25.1,23.5,16.7,10.8,3.2,-2.3
1960,-3.6,-1.8,5.8,10.4,15,21.8,27.4,23.6,20.2,11.2,4.7,-1.3
1961,-1.7,3.4,6.2,10.1,16.1,23.8,27,25.6,15.7,10.1,2,-2.1
1962,-6.3,-0.3,1.8,11.7,14.9,20.2,24.6,22.8,18.8,13,5.4,-2
1963,-6.8,3.7,4.2,7,15.9,17.4,25.6,25.7,19.9,14.4,9.4,-4.2
1964,-5.4,-3.4,0,7.7,13.3,17.3,25.4,22.3,16.4,11.7,3.4,0.7
1965,-1,0.6,2.7,10.4,12.6,18.2,23.9,21.6,14.3,12.7,7.8,-1
1966,-0.8,-1.4,5.3,9.8,17.1,20.7,26.7,23.4,19.8,9.9,6.3,-1.6
1967,-1.3,3.1,6.8,8,13.5,18.2,25.9,26,19.3,11.4,6.2,-3.8
1968,-4.2,3.4,7.1,7.4,13.6,19.7,25.7,20.8,20.8,10.9,3.6,-2.7
1969,0.2,-1.8,3.6,10.2,17.8,18.2,24.8,25.3,20.9,8.7,4.2,0.2
1970,1.4,4.7,4.8,6.7,14.9,19.8,24.8,25.3,15,8.4,5.9,-1.6
1971,0.2,1.6,4.8,9,13.7,19.7,24.7,24.9,15.5,8.6,3.1,-2.8
1972,-1.2,3.2,8.3,8.9,15.8,22.2,25.1,24.3,17.7,12,4.1,-5.2
1973,-7,0.2,5.4,8.7,16.4,21.2,24.8,24.8,16.4,12.3,4.7,0.8
1974,-2.9,-0.3,7.3,8.9,14.9,23,26.2,23.4,19.2,12.6,6.3,-0.2
