Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,13.2,13.1,14.8,15.9,16.8,18.7,20.7,20.6,19.9,19.3,16.4,13.1
1952,12.4,14.3,13.3,15.4,17.8,17.7,20.2,21.2,21.4,18.4,15.3,13.6
1953,15.6,13.9,14.2,14.9,17.2,18.2,21.6,21.1,20.1,19.7,17.3,14.3
1954,12.8,16.2,14,16.1,17.2,18.3,22.2,21.7,20.7,17.9,17.6,14.6
1955,12.2,13.1,15.4,15.3,16.5,18.2,20.2,22.4,22,17.4,15.6,14
1956,13.1,12,14.5,14.9,18.1,19.1,20.8,21,22.3,18.7,17.9,15.5
1957,13.6,15.6,15.4,16,17.4,20.1,21.8,23,21.2,18.7,16,16.3
1958,15.3,15.8,14,17.7,18.8,20,21.2,22.8,22.6,21.6,16.6,16.6
1959,15.4,14,17.4,18.2,18,20.1,23.2,23.1,22,19.6,18.5,15.7
1960,12.7,13.8,15.6,17.2,18.2,19.1,21.8,21.8,22.4,18.9,15.8,13.5
1961,16,15,14.9,16.6,16.4,18.2,21.2,22.6,20.9,19.3,15.7,13.4
1962,13.7,13.6,13.2,16.6,17,17.7,20.2,21.4,20.3,18.1,15.4,13.6
1963,12.8,16.2,14.2,14.8,17.6,18.2,20.1,22.3,23.5,20.1,16.2,14.7
1964,13,13.7,14.3,15.7,16.1,17.8,20.6,21.5,19.8,20.3,15.1,13.1
1965,13.3,13.4,14.8,16,17,17.6,19.8,22.2,20.3,20.8,16,12.8
1966,12.2,12.6,14.5,16.3,17.5,19.2,20.7,22.6,21.1,19.8,16.6,14
1967,12.8,14.3,15,13.6,17.5,17.6,21.3,22.8,22.2,20.1,17.8,13.1
1968,14,15.9,15.9,16.9,17.7,18.8,22.1,22.3,21.8,19.2,16.5,12.7
1969,14.5,12.7,13.8,16.5,17.2,18.6,18.6,22.7,21.1,18.9,17.3,15.1
1970,13.9,15.4,15.8,15.6,17.6,18.7,21.3,22.7,20.9,19.1,16.3,13
1971,12.4,13,14.3,15.9,16.4,18.3,20.8,24.1,22.3,18.7,15.3,12.3
1972,12.7,14.3,15.7,16.8,18.2,19.4,22.6,22.3,20.4,18.7,15.4,14.2
1973,13.1,15.5,14.5,16.4,17.4,20,20.6,21.4,20.4,19.3,15.9,14.6
1974,13.8,14.6,15.1,16.7,17.4,19.4,21.9,21.2,21.3,19.3,16.8,13.5
1975,13.4,13.6,14.2,14.8,16.8,18.3,20.8,20.5,23.8,18.8,15.8,13.8
1976,14.9,15.3,15.7,16.1,18.4,20.9,21.7,22.4,23.2,21.8,19.3,15.9
1977,15.7,16.7,14.2,16.3,16.6,18.8,22,22.8,22.3,20.5,18.3,17.4
1978,16.1,16.1,17.9,17.4,20.1,21.8,22,22.7,23.3,20,16.5,12.9
1979,13.8,11.8,15.6,13.7,18.7,21.2,22,23.3,24.6,20.4,16.5,15.9
1980,16.1,17.5,16.4,13.7,17.7,20.3,22.7,23.4,21.3,19.6,17.1,16
1981,16.3,16.8,16.4,13.7,17.7,20.3,22.7,23.4,23.2,19.5,17.5,15.7
1982,13.7,15.9,15.8,17.7,18.7,19.2,22.1,23.1,22.8,21.4,16.8,14.2
1983,15.9,16.1,16.7,16.9,19,20.1,22.6,25.1,24.9,22.3,17.9,16
1984,16.2,15.7,17.6,18,20.1,21.1,23.1,24.8,26.1,20.3,16.3,13.7
