Year,BOISE,BOSTON,COLUMBUS,DES MOINES,MIAMI,NASHVILLE,NEW ORLEANS,PHOENIX,SALT LAKE CITY,SAN DIEGO,SAN FRANCISCO,ST. PAUL ISLAND
1951,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952,2.61,0.18,1.19,1.87,0.47,0.75,1.87,0.26,0.23,-0.13,-0.34,0.02
1953,3.03,0.94,1.65,2.64,0.63,1.02,2.64,-0.12,1.42,0.47,-0.03,-0.60
1954,2.43,-0.45,1.28,2.68,0.15,1.08,2.68,1.63,1.21,0.57,-0.28,-1.19
1955,1.86,-0.47,1.24,1.95,0.01,0.50,1.95,-0.31,-0.65,-0.02,-0.49,-1.61
1956,1.88,-0.86,0.97,1.98,-0.03,0.92,1.98,-0.15,0.48,0.45,-1.42,-2.28
1957,2.67,0.06,0.07,1.68,0.38,0.53,1.68,0.35,0.62,1.05,0.77,-0.03
1958,3.68,-2.33,-0.46,1.28,-0.34,-1.03,1.28,1.52,1.68,1.71,2.32,0.11
1959,2.09,-0.26,1.10,1.65,0.26,0.22,1.65,1.09,0.64,1.89,1.80,-0.15
1960,2.74,-0.46,-0.08,1.53,-0.11,-1.03,1.53,0.56,0.74,0.69,0.52,-0.95
1961,2.43,-0.67,0.20,1.31,0.33,-0.78,1.31,0.08,0.98,0.64,0.58,-1.21
1962,1.81,-1.03,-0.64,1.17,-0.32,-0.20,1.17,0.29,0.01,-0.14,0.22,-0.73
1963,2.60,-0.68,0.28,1.08,-0.28,-0.84,1.08,0.49,0.64,0.68,0.20,-0.38
1964,0.95,-1.18,0.14,1.48,0.62,0.08,1.48,-1.22,-1.26,-0.13,0.18,-1.05
1965,1.72,-1.45,0.47,1.10,0.39,0.27,1.10,-1.31,-0.14,0.13,-0.28,-1.26
1966,2.69,-0.43,-0.48,0.98,-0.48,-0.20,0.98,0.23,0.89,0.38,0.13,-0.24
1967,2.33,-1.51,-0.28,1.08,0.27,-0.29,1.08,0.00,0.73,0.47,0.51,1.32
1968,2.34,-1.02,0.03,1.31,-0.61,-0.97,1.31,0.12,0.13,0.94,0.36,-1.04
1969,2.59,-0.58,-0.57,0.98,0.02,-0.39,0.98,0.69,0.65,0.38,0.47,0.37
