month,mean
1951-01,1.1
1951-02,1.5
1951-03,3.9
1951-04,10.6
1951-05,15.1
1951-06,18.9
1951-07,23.3
1951-08,21.5
1951-09,18.7
1951-10,12.7
1951-11,5.9
1951-12,1.7
1952-01,0.3
1952-02,0.3
1952-03,2.9
1952-04,10.3
1952-05,14.0
1952-06,21.5
1952-07,25.3
1952-08,22.4
1952-09,19.1
1952-10,11.7
1952-11,7.2
1952-12,2.1
1953-01,1.5
1953-02,1.7
1953-03,3.9
1953-04,9.4
1953-05,14.7
1953-06,21.4
1953-07,22.9
1953-08,22.2
1953-09,21.3
1953-10,13.4
1953-11,9.2
1953-12,4.6
1954-01,-3.3
1954-02,2.4
1954-03,3.8
1954-04,10.1
1954-05,13.5
1954-06,19.2
1954-07,22.3
1954-08,21.2
1954-09,17.3
1954-10,14.8
1954-11,6.9
1954-12,1.3
1955-01,-1.9
1955-02,0.0
1955-03,3.1
1955-04,9.6
1955-05,17.1
1955-06,19.3
1955-07,25.1
1955-08,23.6
1955-09,18.1
1955-10,12.8
1955-11,5.5
1955-12,-3.0
1956-01,-0.5
1956-02,0.3
1956-03,0.9
1956-04,7.6
1956-05,13.0
1956-06,20.5
1956-07,22.1
1956-08,22.1
1956-09,16.2
1956-10,12.4
1956-11,7.8
1956-12,2.2
1957-01,-4.8
1957-02,1.5
1957-03,3.9
1957-04,9.7
1957-05,14.4
1957-06,21.8
1957-07,23.4
1957-08,20.7
1957-09,19.6
1957-10,12.6
1957-11,8.4
1957-12,4.4
1958-01,-0.6
1958-02,-3.7
1958-03,3.9
1958-04,9.3
1958-05,
1958-06,17.7
1958-07,22.4
1958-08,22.4
1958-09,18.1
1958-10,12.4
1958-11,8.1
1958-12,-3.1
1959-01,-1.8
1959-02,-2.9
1959-03,2.8
1959-04,9.6
1959-05,17.0
1959-06,18.2
1959-07,23.7
1959-08,23.4
1959-09,20.1
1959-10,12.8
1959-11,6.9
1959-12,2.0
1960-01,-0.6
1960-02,1.8
1960-03,0.4
1960-04,9.1
1960-05,15.4
1960-06,20.9
1960-07,22.8
1960-08,22.3
1960-09,17.6
1960-10,12.2
1960-11,8.9
1960-12,-1.4
1961-01,-3.9
1961-02,-0.2
1961-03,2.7
1961-04,7.4
1961-05,13.5
1961-06,20.5
1961-07,22.3
1961-08,22.5
1961-09,20.6
1961-10,14.1
1961-11,7.0
1961-12,0.4
1962-01,1.8
1962-02,-2.8
1962-03,3.6
1962-04,9.7
1962-05,14.0
1962-06,20.2
1962-07,21.3
1962-08,21.1
1962-09,17.1
1962-10,12.3
1962-11,5.4
1962-12,-1.1
1963-01,-1.4
1963-02,-3.4
1963-03,3.9
1963-04,9.4
1963-05,15.2
1963-06,20.8
1963-07,23.7
1963-08,21.3
1963-09,16.0
1963-10,15.6
1963-11,9.1
1963-12,-3.4
1964-01,-0.2
1964-02,-1.6
1964-03,3.7
1964-04,7.8
1964-05,15.7
1964-06,19.4
1964-07,21.9
1964-08,19.1
1964-09,16.7
1964-10,11.4
1964-11,6.7
1964-12,0.2
1965-01,-3.7
1965-02,-2.2
1965-03,2.1
1965-04,6.8
1965-05,15.3
1965-06,19.7
1965-07,21.7
1965-08,21.4
1965-09,16.9
1965-10,11.6
1965-11,5.6
1965-12,2.3
1966-01,-1.8
1966-02,-0.4
1966-03,4.3
1966-04,7.7
1966-05,14.1
1966-06,20.8
1966-07,23.8
1966-08,21.8
1966-09,17.5
1966-10,12.5
1966-11,8.3
1966-12,1.2
1967-01,1.7
1967-02,-3.1
1967-03,0.7
1967-04,7.2
1967-05,10.9
1967-06,19.6
1967-07,22.8
1967-08,21.6
1967-09,17.1
1967-10,12.1
1967-11,4.5
1967-12,1.7
1968-01,-3.6
1968-02,-3.3
1968-03,3.9
1968-04,9.8
1968-05,13.4
1968-06,18.3
1968-07,24.0
1968-08,21.5
1968-09,18.3
1968-10,14.4
1968-11,6.6
1968-12,-0.6
1969-01,-1.5
1969-02,-1.4
1969-03,1.9
1969-04,10.3
1969-05,14.7
1969-06,20.8
1969-07,21.7
1969-08,23.5
1969-09,17.6
1969-10,12.4
1969-11,7.2
1969-12,0.7
1970-01,-5.0
1970-02,0.2
1970-03,3.0
1970-04,9.4
1970-05,15.3
1970-06,19.4
1970-07,23.5
1970-08,23.1
1970-09,18.7
1970-10,12.7
1970-11,7.1
1970-12,-1.7
1971-01,-4.6
1971-02,-0.8
1971-03,2.8
1971-04,7.3
1971-05,13.1
1971-06,20.6
1971-07,23.0
1971-08,23.0
1971-09,20.0
1971-10,15.4
1971-11,6.2
1971-12,2.4
1972-01,0.6
1972-02,-1.3
1972-03,2.4
1972-04,7.2
1972-05,14.2
1972-06,18.6
1972-07,23.2
1972-08,21.9
1972-09,18.7
1972-10,11.0
1972-11,5.7
1972-12,3.3
1973-05,13.9
1973-06,21.1
1973-07,23.5
1973-08,23.8
1973-09,18.0
1973-10,13.1
1973-11,7.7
1973-12,4.2
1974-01,-0.2
1974-02,-1.6
1974-03,3.7
1974-04,10.5
1974-05,12.6
1974-06,18.2
1974-07,22.4
1974-08,22.2
1974-09,17.6
1974-10,10.0
1974-11,7.4
1974-12,3.2
1975-01,1.6
1975-02,0.1
1975-03,2.7
1975-04,7.3
1975-05,18.6
1975-06,19.7
1975-07,24.4
1975-08,22.7
1975-09,15.5
1975-10,14.1
1975-11,11.0
1976-01,-3.3
1976-02,2.9
1976-03,5.1
1976-04,
1976-05,15.7
1976-06,23.0
1976-07,22.7
1976-08,22.2
1976-09,18.3
1976-10,11.3
1976-11,5.5
1976-12,-1.7
1977-01,-4.8
1977-02,-0.7
1977-03,7.1
1977-04,10.7
1977-05,17.0
1977-06,19.7
1977-07,23.8
1977-08,23.0
1977-09,18.0
1977-10,12.9
1977-11,8.9
1978-01,-1.9
1978-02,-2.7
1978-03,2.3
1978-04,9.3
1978-06,19.1
1978-08,21.7
1978-09,16.3
1978-10,11.4
1978-11,6.4
1978-12,1.8
1979-01,0.3
1979-02,-4.9
1979-03,5.8
1979-04,9.3
1979-05,16.0
1979-06,20.1
1979-07,23.6
1979-08,22.1
1979-09,18.3
1979-10,11.5
1979-11,9.1
1979-12,2.6
1980-01,-1.4
1980-02,-2.3
1980-03,2.7
1980-04,9.3
1980-05,15.2
1980-06,18.7
1980-07,24.8
1980-08,23.4
1980-09,19.8
1980-10,11.3
1980-11,5.1
1980-12,-1.9
1981-01,-5.9
1981-02,2.4
1981-03,3.8
1981-04,10.8
1981-05,15.8
1981-06,21.6
1981-07,23.7
1981-08,22.0
1981-09,17.6
1981-10,10.7
1981-11,6.6
1981-12,0.7
1982-01,-5.0
1982-02,-0.9
1982-03,3.2
1982-04,8.8
1982-05,14.3
1982-06,17.3
1982-07,23.9
1982-08,21.3
1982-09,17.8
1982-10,12.0
1982-11,8.7
1982-12,4.3
1983-01,-0.4
1983-02,0.4
1983-03,4.8
1983-04,9.5
1983-05,14.6
1983-06,21.5
1983-07,25.6
1983-08,23.1
1983-09,21.4
1983-10,12.9
1983-11,7.8
1983-12,0.1
1984-01,-2.9
1984-02,2.9
1984-03,-0.1
1984-04,7.8
1984-05,14.4
1984-06,21.4
1984-07,23.7
1984-08,23.7
1984-09,16.7
1984-10,11.8
1984-11,7.0
1984-12,4.2
1985-01,-4.2
1985-02,0.4
1985-03,4.7
1985-04,9.7
1985-05,15.0
1985-06,18.2
1985-07,22.8
1985-08,21.1
1985-09,18.3
1985-10,13.0
1985-11,7.2
1985-12,-0.6
1986-01,
1986-02,
1986-03,
1986-04,
1986-05,
1986-06,
1986-07,
1986-08,
1986-09,
1986-10,
1986-11,
1986-12,
1987-01,-1.7
1987-02,-1.7
1987-03,3.6
1987-04,9.2
1987-05,
1987-06,19.9
1987-07,22.1
1987-08,21.2
1987-09,18.5
1987-10,12.2
1987-11,6.7
1987-12,2.2
1988-01,-2.4
1988-02,0.1
1988-03,3.9
1988-04,8.2
1988-05,14.2
1988-06,20.3
1988-07,23.2
1988-08,24.2
1988-09,18.1
1988-10,10.4
1988-11,8.2
1988-12,0.4
1989-01,1.4
1989-02,-0.8
1989-03,2.9
1989-04,7.7
1989-05,15.2
1989-06,19.8
1989-07,22.7
1989-08,22.0
1989-09,18.2
1989-10,12.9
1989-11,6.0
1989-12,-5.7
1990-01,2.4
1990-02,1.2
1990-03,4.5
1990-04,8.7
1990-05,12.7
1990-06,19.2
1990-07,22.8
1990-08,22.9
1990-09,18.1
1990-10,14.6
1990-11,9.2
1990-12,4.8
1991-01,-1.4
1991-02,2.3
1991-03,5.3
1991-04,10.7
1991-05,17.4
1991-06,21.1
1991-07,23.7
1991-08,23.2
1991-09,17.5
1991-10,13.5
1991-11,7.3
1991-12,2.2
1992-01,-0.6
1992-02,0.2
1992-03,1.9
1992-04,8.0
1992-05,13.1
1992-06,19.9
1992-07,20.8
1992-08,21.3
1992-09,17.7
1992-10,11.4
1992-11,6.1
1992-12,1.6
1993-01,0.2
1993-02,-2.7
1993-03,2.4
1993-04,9.1
1993-05,15.7
1993-06,20.8
1993-07,23.7
1993-08,23.1
1993-09,18.2
1993-10,11.3
1993-11,7.6
1993-12,1.2
1994-01,-5.4
1994-02,-2.8
1994-03,3.4
1994-04,10.8
1994-05,14.7
1994-06,22.2
1994-07,25.3
1994-08,22.4
1994-09,17.9
1994-10,13.1
1994-11,9.4
1994-12,3.6
1995-01,1.4
1995-02,-2.0
1995-03,3.8
1995-04,7.8
1995-05,14.0
1995-06,20.3
1995-07,24.4
1995-08,22.7
1995-09,17.3
1995-10,14.7
1995-11,5.5
1995-12,-0.2
1996-01,-1.1
1996-02,-0.6
1996-03,2.4
1996-04,8.8
1996-05,14.0
1996-06,20.0
1996-07,22.1
1996-08,21.6
1996-09,17.8
1996-10,11.7
1996-11,4.5
1996-12,3.9
1997-01,-1.6
1997-02,2.2
1997-03,2.6
1997-04,7.9
1997-05,13.3
1997-06,20.1
1997-07,23.0
1997-08,21.7
1997-09,17.8
1997-10,11.4
1997-11,5.3
1997-12,1.7
1998-01,1.0
1998-02,1.7
1998-03,5.1
1998-04,9.7
1998-05,15.7
1998-06,18.1
1998-07,23.5
1998-08,22.5
1998-09,18.8
1998-10,12.3
1998-11,6.8
1998-12,3.8
1999-01,-1.5
1999-02,0.7
1999-03,3.9
1999-04,9.1
1999-05,14.4
1999-06,21.6
1999-07,24.2
1999-08,21.8
1999-09,19.4
1999-10,11.6
1999-11,8.8
1999-12,2.9
2000-01,-2.6
2000-02,1.2
2000-03,6.2
2000-04,8.5
2000-05,14.0
2000-06,19.6
2000-07,21.0
2000-08,21.3
2000-09,17.5
2000-10,12.1
2000-11,6.4
2000-12,-1.5
2001-01,-1.2
2001-02,-0.3
2001-03,1.8
2001-04,9.2
2001-05,15.3
2001-06,21.7
2001-07,21.0
2001-08,23.2
2001-09,18.4
2001-10,13.3
2001-11,9.0
2001-12,4.7
2002-01,2.6
2002-02,2.3
2002-03,4.5
2002-04,9.7
2002-05,14.4
2002-06,19.1
2002-07,23.9
2002-08,24.0
2002-09,20.2
2002-10,11.3
2002-11,6.0
2002-12,0.6
2003-01,-4.5
2003-02,-3.2
2003-03,3.1
2003-04,6.8
2003-05,12.7
2003-06,18.5
2003-07,23.5
2003-08,23.4
2003-09,18.7
2003-10,11.6
2003-11,7.7
2003-12,2.2
2004-01,-6.4
2004-02,0.4
2004-03,4.0
2004-04,9.7
2004-05,14.8
2004-06,19.1
2004-07,21.7
2004-08,22.2
2004-09,18.4
2004-10,12.1
2004-11,6.8
2004-12,1.6
2005-01,-3.0
2005-02,-0.6
2005-03,1.8
2005-04,9.8
2005-05,11.2
2005-06,20.2
2005-07,22.9
2005-08,23.5
2005-09,19.9
2005-10,12.6
2005-11,7.7
2005-12,0.2
2006-01,2.4
2006-02,-0.6
2006-03,3.7
2006-04,9.8
2006-05,13.9
2006-06,20.0
2006-07,24.3
2006-08,21.9
2006-09,18.1
2006-10,12.3
2006-11,9.5
2006-12,4.9
2007-01,0.4
2007-02,-3.3
2007-03,3.0
2007-04,7.3
2007-05,16.4
2007-06,20.2
2007-07,22.7
2007-08,22.5
2007-09,19.8
2007-10,15.1
2007-11,6.1
2007-12,0.3
2008-01,0.7
2008-02,0.2
2008-03,3.4
2008-04,9.6
2008-05,14.3
2008-06,21.2
2008-07,23.9
2008-08,21.1
2008-09,18.4
2008-10,11.8
2008-11,6.2
2008-12,1.9
2009-01,-4.0
2009-02,0.4
2009-03,3.0
2009-04,10.3
2009-05,15.2
2009-06,17.4
2009-07,21.4
2009-08,23.1
2009-09,17.3
2009-10,11.0
2009-11,9.4
2009-12,1.0
2010-01,-1.3
2010-02,0.7
2010-03,6.6
2010-04,11.7
2010-05,17.1
2010-06,21.3
2010-07,25.1
2010-08,23.0
2010-09,20.4
2010-10,13.2
2010-11,7.1
2010-12,0.4
2011-01,-2.4
2011-02,-0.8
2011-03,3.9
2011-04,10.1
2011-05,15.1
2011-06,19.5
2011-07,25.0
2011-08,23.3
2011-09,19.6
2011-10,14.2
2011-11,10.2
2011-12,4.5
2012-01,1.2
2012-02,3.0
2012-03,8.2
2012-04,11.7
2012-05,15.7
