month,mean
1951-01,18.6
1951-02,18.6
1951-03,21.5
1951-04,23.2
1951-05,25.5
1951-06,27.4
1951-07,27.8
1951-08,28.8
1951-09,28.3
1951-10,25.6
1951-11,21.7
1951-12,22.8
1952-01,20.6
1952-02,20.1
1952-03,23.7
1952-04,23.0
1952-05,26.1
1952-06,28.3
1952-07,28.7
1952-08,28.6
1952-09,28.3
1952-10,25.8
1952-11,23.0
1952-12,19.3
1953-01,19.9
1953-02,21.9
1953-03,23.7
1953-04,24.4
1953-05,27.0
1953-06,27.5
1953-07,28.2
1953-08,28.9
1953-09,27.8
1953-10,24.6
1953-11,22.6
1953-12,20.9
1954-01,20.7
1954-02,20.1
1954-03,20.9
1954-04,24.9
1954-05,26.4
1954-06,27.4
1954-07,28.4
1954-08,29.6
1954-09,28.2
1954-10,25.2
1954-11,21.7
1954-12,18.1
1955-01,18.4
1955-02,19.9
1955-03,22.1
1955-04,24.3
1955-05,25.7
1955-06,26.9
1955-07,27.3
1955-08,28.6
1955-09,27.9
1955-10,25.2
1955-11,22.7
1955-12,20.9
1956-01,17.2
1956-02,21.8
1956-03,21.3
1956-04,23.4
1956-05,26.4
1956-06,27.2
1956-07,28.3
1956-08,28.9
1956-09,27.2
1956-10,25.8
1956-11,21.1
1956-12,20.9
1957-01,21.3
1957-02,22.7
1957-03,21.6
1957-04,24.7
1957-05,26.0
1957-06,27.5
1957-07,27.7
1957-08,27.7
1957-09,27.6
1957-10,24.7
1957-11,24.0
1957-12,18.8
1958-01,16.4
1958-02,15.3
1958-03,21.2
1958-04,23.7
1958-05,25.3
1958-06,27.7
1958-07,28.3
1958-08,28.8
1958-09,28.1
1958-10,25.3
1958-11,24.9
1958-12,20.7
1959-01,19.2
1959-02,24.0
1959-03,21.9
1959-04,24.1
1959-05,25.4
1959-06,26.9
1959-07,27.2
1959-08,27.3
1959-09,27.0
1959-10,26.9
1959-11,23.3
1959-12,19.7
1960-01,19.3
1960-02,19.8
1960-03,19.9
1960-04,23.8
1960-05,25.1
1960-06,27.4
1960-07,28.8
1960-08,27.6
1960-09,27.8
1960-10,26.5
1960-11,23.8
1960-12,18.7
1961-01,18.4
1961-02,21.1
1961-03,23.4
1961-04,23.5
1961-05,25.7
1961-06,26.8
1961-07,28.8
1961-08,28.7
1961-09,27.9
1961-10,25.5
1961-11,23.3
1961-12,20.7
1962-01,20.2
1962-02,22.0
1962-03,21.3
1962-04,22.9
1962-05,25.1
1962-06,26.8
1962-07,28.6
1962-08,28.4
1962-09,27.4
1962-10,25.4
1962-11,20.2
1962-12,17.7
1963-01,19.7
1963-02,18.8
1963-03,23.1
1963-04,23.9
1963-05,25.1
1963-06,27.1
1963-07,28.5
1963-08,28.4
1963-09,27.6
1963-10,24.7
1963-11,21.9
1963-12,17.6
1964-01,19.8
1964-02,18.8
1964-03,23.8
1964-04,25.2
1964-05,25.5
1964-06,27.3
1964-07,28.4
1964-08,28.8
1964-09,28.1
1964-10,25.1
1964-11,23.9
1964-12,22.5
1965-01,19.6
1965-02,21.7
1965-03,23.0
1965-04,24.9
1965-05,25.9
1965-06,27.2
1965-07,27.5
1965-08,27.6
1965-09,26.8
1965-10,25.8
1965-11,23.7
1965-12,20.8
1966-01,19.1
1966-02,20.6
1966-03,20.8
1966-04,23.8
1966-05,25.4
1966-06,25.8
1966-07,27.4
1966-08,27.7
1966-09,27.3
1966-10,25.7
1966-11,21.3
1966-12,19.2
1967-01,21.8
1967-02,20.5
1967-03,22.7
1967-04,23.8
1967-05,26.3
1967-06,26.7
1967-07,28.1
1967-08,27.8
1967-09,27.5
1967-10,24.7
1967-11,21.8
1967-12,21.3
1968-01,18.9
1968-02,17.1
1968-03,19.4
1968-04,24.4
1968-05,25.7
1968-06,26.4
1968-07,27.6
1968-08,28.8
1968-09,27.9
1968-10,25.4
1968-11,21.7
1968-12,19.2
