month,mean
1951-01,4.6
1951-02,5.4
1951-03,9.6
1951-04,13.1
1951-05,19.9
1951-06,24.6
1951-07,26.5
1951-08,26.9
1951-09,22.0
1951-10,16.7
1951-11,5.9
1951-12,6.6
1952-01,6.8
1952-02,7.4
1952-03,9.1
1952-04,14.3
1952-05,20.8
1952-06,29.3
1952-07,28.4
1952-08,27.1
1952-09,21.2
1952-10,11.6
1952-11,9.1
1952-12,5.7
1953-01,7.3
1953-02,6.7
1953-03,11.6
1953-04,13.6
1953-05,22.0
1953-06,27.2
1953-07,26.5
1953-08,26.2
1953-09,22.7
1953-10,17.4
1953-11,8.9
1953-12,3.9
1954-01,4.5
1954-02,8.5
1954-03,9.1
1954-04,18.5
1954-05,17.2
1954-06,25.6
1954-07,28.9
1954-08,27.9
1954-09,24.9
1954-10,16.3
1954-11,9.0
1954-12,4.4
1955-01,3.3
1955-02,5.1
1955-03,10.4
1955-04,17.8
1955-05,21.8
1955-06,21.9
1955-07,28.0
1955-08,27.2
1955-09,24.7
1955-10,15.5
1955-11,7.9
1955-12,4.2
1956-01,2.2
1956-02,8.3
1956-03,9.7
1956-04,14.3
1956-05,21.2
1956-06,24.5
1956-07,27.4
1956-08,26.6
1956-09,21.9
1956-10,17.8
1956-11,8.7
1956-12,10.2
1957-01,3.1
1957-02,8.6
1957-03,9.1
1957-04,17.3
1957-05,20.9
1957-06,25.2
1957-07,26.1
1957-08,25.3
1957-09,22.5
1957-10,13.7
1957-11,9.2
1957-12,7.1
1958-01,1.9
1958-02,-0.6
1958-03,6.7
1958-04,14.7
1958-05,20.1
1958-06,23.9
1958-07,26.7
1958-08,25.4
1958-09,22.1
1958-10,15.3
1958-11,10.9
1958-12,2.3
1959-01,2.8
1959-02,5.6
1959-03,8.8
1959-04,15.4
1959-05,21.8
1959-06,23.8
1959-07,26.2
1959-08,26.6
1959-09,23.3
1959-10,16.6
1959-11,7.3
1959-12,6.2
1960-01,4.4
1960-02,2.0
1960-03,2.4
1960-04,16.1
1960-05,18.7
1960-06,23.9
1960-07,25.7
1960-08,26.4
1960-09,23.1
1960-10,16.4
1960-11,8.8
1960-12,1.5
1961-01,0.7
1961-02,8.3
1961-03,11.2
1961-04,12.5
1961-05,17.6
1961-06,22.4
1961-07,25.2
1961-08,24.7
1961-09,23.1
1961-10,15.4
1961-11,9.8
1961-12,1.5
1962-01,1.8
1962-02,7.9
1962-03,7.4
1962-04,13.3
1962-05,24.0
1962-06,23.9
1962-07,26.2
1962-08,26.5
1962-09,20.7
1962-10,17.2
1962-11,8.8
1962-12,1.7
1963-01,-0.6
1963-02,1.2
1963-03,12.1
1963-04,16.4
1963-05,19.6
1963-06,24.3
1963-07,25.3
1963-08,24.9
1963-09,21.1
1963-10,18.6
1963-11,9.6
1963-12,-0.8
1964-01,3.8
1964-02,2.9
1964-03,9.4
1964-04,17.0
1964-05,20.9
1964-06,25.4
1964-07,25.9
1964-08,25.1
1964-09,21.8
1964-10,13.7
1964-11,10.9
1964-12,5.9
1965-01,4.4
1965-02,4.2
1965-03,5.5
1965-04,16.1
1965-05,22.1
1965-06,23.9
1965-07,25.9
1965-08,26.1
1965-09,23.4
1965-10,15.2
1965-11,11.1
1965-12,7.1
1966-01,1.7
1966-02,5.2
1966-03,10.3
1966-04,14.9
1966-05,18.5
1966-06,23.9
1966-07,27.9
1966-08,24.7
1966-09,20.8
1966-10,13.9
1966-11,10.4
1966-12,7.2
1967-01,5.7
1967-02,3.1
1967-03,13.9
1967-04,17.7
1967-05,19.1
1967-06,24.6
1967-07,24.3
1967-08,22.6
1967-09,19.3
1967-10,15.2
1967-11,6.8
1967-12,6.0
1968-01,1.1
1968-02,1.7
1968-03,8.8
1968-04,14.8
1968-05,19.0
1968-06,23.8
1968-07,25.4
1968-08,26.4
1968-09,21.1
1968-10,15.3
1968-11,9.3
1968-12,3.4
1969-01,2.9
1969-02,4.3
1969-03,5.9
1969-04,16.1
1969-05,20.5
1969-06,25.1
1969-07,28.2
1969-08,25.6
1969-09,21.6
1969-10,15.9
1969-11,8.1
1969-12,2.9
1970-01,0.2
1970-02,3.6
1970-03,8.2
1970-04,16.1
1970-05,20.2
1970-06,23.1
1970-07,25.1
1970-08,26.2
1970-09,24.9
1970-10,16.1
1970-11,8.6
1970-12,6.2
1971-01,2.0
1971-02,3.7
1971-03,7.0
1971-04,14.4
1971-05,17.4
1971-06,25.3
1971-07,24.9
1971-08,24.7
1971-09,23.6
1971-10,19.3
1971-11,9.9
1971-12,9.6
1972-01,5.4
1972-02,5.4
1972-03,10.1
1972-04,15.8
1972-05,19.7
1972-06,22.8
1972-07,25.2
1972-08,25.1
1972-09,24.3
1972-10,15.7
1972-11,8.5
1972-12,6.0
1973-01,3.3
1973-02,4.3
1973-03,13.8
1973-04,13.6
1973-05,17.9
1973-06,24.5
1973-07,25.9
1973-08,25.6
1973-09,24.6
1973-10,19.0
1973-11,12.6
1973-12,4.7
1974-01,7.4
1974-02,5.4
1974-03,12.7
1974-04,14.8
1974-05,21.1
1974-06,21.9
1974-07,25.6
1974-08,25.3
1974-09,19.7
1974-10,15.2
1974-11,10.0
1974-12,5.9
1975-01,6.3
1975-02,7.0
1975-03,8.5
1975-04,14.7
1975-06,24.5
1975-07,25.8
1975-08,26.2
1975-09,19.9
1975-10,16.9
1975-11,11.2
1975-12,5.9
1976-01,2.6
1976-02,10.3
1976-03,13.3
1976-04,15.5
1976-05,17.8
1976-06,22.9
1976-07,24.7
1976-08,23.6
1976-09,19.3
1976-10,12.2
1976-11,4.9
1976-12,2.5
