,month,mean
0,1951-01,1.1
1,1951-02,1.5
2,1951-03,3.9
3,1951-04,10.6
4,1951-05,15.1
5,1951-06,18.9
6,1951-07,23.3
7,1951-08,21.5
8,1951-09,18.7
9,1951-10,12.7
10,1951-11,5.9
11,1951-12,1.7
12,1952-01,0.3
13,1952-02,0.3
14,1952-03,2.9
15,1952-04,10.3
16,1952-05,14.0
17,1952-06,21.5
18,1952-07,25.3
19,1952-08,22.4
20,1952-09,19.1
21,1952-10,11.7
22,1952-11,7.2
23,1952-12,2.1
24,1953-01,1.5
25,1953-02,1.7
26,1953-03,3.9
27,1953-04,9.4
28,1953-05,14.7
29,1953-06,21.4
30,1953-07,22.9
31,1953-08,22.2
32,1953-09,21.3
33,1953-10,13.4
34,1953-11,9.2
35,1953-12,4.6
36,1954-01,-3.3
37,1954-02,2.4
38,1954-03,3.8
39,1954-04,10.1
40,1954-05,13.5
41,1954-06,19.2
42,1954-07,22.3
43,1954-08,21.2
44,1954-09,17.3
45,1954-10,14.8
46,1954-11,6.9
47,1954-12,1.3
48,1955-01,-1.9
49,1955-02,0.0
50,1955-03,3.1
51,1955-04,9.6
52,1955-05,17.1
53,1955-06,19.3
54,1955-07,25.1
55,1955-08,23.6
56,1955-09,18.1
57,1955-10,12.8
58,1955-11,5.5
59,1955-12,-3.0
60,1956-01,-0.5
61,1956-02,0.3
62,1956-03,0.9
63,1956-04,7.6
64,1956-05,13.0
65,1956-06,20.5
66,1956-07,22.1
67,1956-08,22.1
68,1956-09,16.2
69,1956-10,12.4
70,1956-11,7.8
71,1956-12,2.2
72,1957-01,-4.8
73,1957-02,1.5
74,1957-03,3.9
75,1957-04,9.7
76,1957-05,14.4
77,1957-06,21.8
78,1957-07,23.4
79,1957-08,20.7
80,1957-09,19.6
81,1957-10,12.6
82,1957-11,8.4
83,1957-12,4.4
84,1958-01,-0.6
85,1958-02,-3.7
86,1958-03,3.9
87,1958-04,9.3
88,1958-05,
89,1958-06,17.7
90,1958-07,22.4
91,1958-08,22.4
92,1958-09,18.1
93,1958-10,12.4
94,1958-11,8.1
95,1958-12,-3.1
96,1959-01,-1.8
97,1959-02,-2.9
98,1959-03,2.8
99,1959-04,9.6
100,1959-05,17.0
101,1959-06,18.2
102,1959-07,23.7
103,1959-08,23.4
104,1959-09,20.1
105,1959-10,12.8
106,1959-11,6.9
107,1959-12,2.0
108,1960-01,-0.6
109,1960-02,1.8
110,1960-03,0.4
111,1960-04,9.1
112,1960-05,15.4
113,1960-06,20.9
114,1960-07,22.8
115,1960-08,22.3
116,1960-09,17.6
117,1960-10,12.2
118,1960-11,8.9
119,1960-12,-1.4
120,1961-01,-3.9
121,1961-02,-0.2
122,1961-03,2.7
123,1961-04,7.4
124,1961-05,13.5
125,1961-06,20.5
126,1961-07,22.3
127,1961-08,22.5
128,1961-09,20.6
129,1961-10,14.1
130,1961-11,7.0
131,1961-12,0.4
132,1962-01,1.8
133,1962-02,-2.8
134,1962-03,3.6
135,1962-04,9.7
136,1962-05,14.0
137,1962-06,20.2
