,month,mean
0,1951-01,-3.3
1,1951-02,-0.6
2,1951-03,4.4
3,1951-04,10.0
4,1951-05,17.3
5,1951-06,21.6
6,1951-07,23.4
7,1951-08,22.2
8,1951-09,18.0
9,1951-10,13.8
10,1951-11,2.6
11,1951-12,-0.1
12,1952-01,1.9
13,1952-02,1.3
14,1952-03,4.5
15,1952-04,11.1
16,1952-05,16.3
17,1952-06,23.7
18,1952-07,25.1
19,1952-08,23.1
20,1952-09,18.9
21,1952-10,9.4
22,1952-11,6.4
23,1952-12,1.9
24,1953-01,1.9
25,1953-02,2.1
26,1953-03,5.9
27,1953-04,9.1
28,1953-05,18.5
29,1953-06,23.2
30,1953-07,24.3
31,1953-08,23.1
32,1953-09,19.1
33,1953-10,14.2
34,1953-11,6.5
35,1953-12,1.2
36,1954-01,-0.3
37,1954-02,3.9
38,1954-03,3.3
39,1954-04,14.2
40,1954-05,14.4
41,1954-06,22.8
42,1954-07,23.6
43,1954-08,22.5
44,1954-09,20.7
45,1954-10,13.4
46,1954-11,5.9
47,1954-12,0.3
48,1955-01,-2.0
49,1955-02,0.2
50,1955-03,5.2
51,1955-04,13.8
52,1955-05,17.7
53,1955-06,21.1
54,1955-07,26.1
55,1955-08,25.1
56,1955-09,20.7
57,1955-10,12.9
58,1955-11,4.5
59,1955-12,-1.1
60,1956-01,-2.4
61,1956-02,2.0
62,1956-03,4.2
63,1956-04,9.2
64,1956-05,16.3
65,1956-06,21.7
66,1956-07,23.2
67,1956-08,22.9
68,1956-09,17.4
69,1956-10,15.3
70,1956-11,6.2
71,1956-12,4.9
72,1957-01,-3.4
73,1957-02,2.5
74,1957-03,4.8
75,1957-04,12.3
76,1957-05,17.1
77,1957-06,22.7
78,1957-07,23.1
79,1957-08,22.9
80,1957-09,19.1
81,1957-10,
82,1957-11,6.3
83,1957-12,2.7
84,1958-01,-2.0
85,1958-02,-3.9
86,1958-03,3.2
87,1958-04,11.3
88,1958-05,16.3
89,1958-06,19.6
90,1958-07,23.6
91,1958-08,22.6
92,1958-09,18.9
93,1958-10,12.4
94,1958-11,6.6
95,1958-12,-4.8
96,1959-01,-3.3
97,1959-02,0.4
98,1959-03,3.8
99,1959-04,11.4
100,1959-05,19.3
101,1959-06,21.9
102,1959-07,24.1
103,1959-08,24.6
104,1959-09,20.9
105,1959-10,12.8
106,1959-11,4.2
107,1959-12,2.4
108,1960-01,1.2
109,1960-02,-1.8
110,1960-03,-2.0
111,1960-04,12.9
112,1960-05,15.2
113,1960-06,20.9
114,1960-07,22.1
115,1960-08,23.8
116,1960-09,20.1
117,1960-10,12.8
118,1960-11,6.9
119,1960-12,-3.8
120,1961-01,-4.7
121,1961-02,2.7
122,1961-03,7.4
123,1961-04,8.4
124,1961-05,13.6
125,1961-06,19.6
126,1961-07,23.2
127,1961-08,22.8
128,1961-09,21.7
