,month,mean
0,1951-01,-6.4
1,1951-02,-3.7
2,1951-03,-1.9
3,1951-04,7.5
4,1951-05,17.3
5,1951-06,19.1
6,1951-07,23.1
7,1951-08,22.4
8,1951-09,16.0
9,1951-10,11.4
10,1951-11,0.1
11,1951-12,-6.4
12,1952-01,-5.9
13,1952-02,0.5
14,1952-03,0.7
15,1952-04,10.3
16,1952-05,15.8
17,1952-06,24.2
18,1952-07,24.2
19,1952-08,21.7
20,1952-09,18.9
21,1952-10,9.3
22,1952-11,3.8
23,1952-12,-2.6
24,1953-01,-4.4
25,1953-02,-1.3
26,1953-03,3.4
27,1953-04,7.1
28,1953-05,15.8
29,1953-06,23.4
30,1953-07,23.7
31,1953-08,23.9
32,1953-09,19.0
33,1953-10,14.9
34,1953-11,6.3
35,1953-12,-1.6
36,1954-01,-6.9
37,1954-02,3.2
38,1954-03,0.1
39,1954-04,12.1
40,1954-05,13.8
41,1954-06,23.6
42,1954-07,26.3
43,1954-08,23.1
44,1954-09,19.7
45,1954-10,11.3
46,1954-11,5.8
47,1954-12,-1.4
48,1955-01,-5.8
49,1955-02,-5.5
50,1955-03,2.1
51,1955-04,14.2
52,1955-05,18.2
53,1955-06,20.3
54,1955-07,27.2
55,1955-08,25.1
56,1955-09,20.1
57,1955-10,12.3
58,1955-11,-0.5
59,1955-12,-5.8
60,1956-01,-6.7
61,1956-02,-6.4
62,1956-03,1.8
63,1956-04,8.7
64,1956-05,17.4
65,1956-06,24.4
66,1956-07,23.7
67,1956-08,23.6
68,1956-09,18.3
69,1956-10,15.9
70,1956-11,3.3
71,1956-12,-1.7
72,1957-01,-9.0
73,1957-02,-0.7
74,1957-03,2.7
75,1957-04,10.0
76,1957-05,15.5
77,1957-06,21.3
78,1957-07,26.5
79,1957-08,23.6
80,1957-09,16.7
81,1957-10,10.1
82,1957-11,1.9
83,1957-12,0.0
84,1958-01,-4.0
85,1958-02,-8.4
86,1958-03,1.6
87,1958-04,10.1
88,1958-05,17.7
89,1958-06,19.4
90,1958-07,21.8
91,1958-08,23.6
92,1958-09,18.4
93,1958-10,13.3
94,1958-11,5.4
95,1958-12,-5.1
96,1959-01,-8.7
97,1959-02,-4.6
98,1959-03,2.4
99,1959-04,9.7
100,1959-05,17.2
101,1959-06,22.7
102,1959-07,23.4
103,1959-08,25.5
104,1959-09,17.9
105,1959-10,9.8
106,1959-11,1.9
107,1959-12,1.1
108,1960-01,-4.0
109,1960-02,-3.1
110,1960-03,-4.1
111,1960-04,11.1
112,1960-05,16.1
113,1960-06,20.5
114,1960-07,23.6
115,1960-08,23.8
116,1960-09,19.2
117,1960-10,12.3
118,1960-11,4.9
119,1960-12,-3.4
120,1961-01,-5.6
121,1961-02,-1.1
122,1961-03,3.1
123,1961-04,7.1
124,1961-05,14.8
125,1961-06,21.4
126,1961-07,22.2
127,1961-08,22.9
128,1961-09,16.9
129,1961-10,12.8
130,1961-11,2.6
131,1961-12,-2.9
132,1962-01,-10.6
133,1962-02,-6.4
134,1962-03,-1.2
135,1962-04,9.6
136,1962-05,20.7
137,1962-06,21.8
138,1962-07,23.5
139,1962-08,23.4
140,1962-09,17.4
141,1962-10,14.0
142,1962-11,4.7
143,1962-12,-4.4
144,1963-01,-13.1
145,1963-02,-7.3
146,1963-03,4.1
147,1963-04,10.9
148,1963-05,15.4
149,1963-06,21.3
150,1963-07,24.4
151,1963-08,21.9
152,1963-09,18.8
153,1963-10,18.1
154,1963-11,6.2
155,1963-12,-9.3
156,1964-01,-2.3
157,1964-02,-3.2
158,1964-03,-0.9
159,1964-04,8.9
160,1964-05,17.9
161,1964-06,21.1
162,1964-07,25.1
163,1964-08,21.3
164,1964-09,17.6
165,1964-10,10.4
166,1964-11,5.1
167,1964-12,-4.8
168,1965-01,-8.0
169,1965-02,-6.6
170,1965-03,-5.2
171,1965-04,8.9
172,1965-05,19.0
173,1965-06,21.3
174,1965-07,23.8
175,1965-08,22.7
176,1965-09,16.1
177,1965-10,12.9
178,1965-11,5.0
179,1965-12,1.8
180,1966-01,-9.9
181,1966-02,-4.1
182,1966-03,5.0
183,1966-04,7.8
184,1966-05,14.3
185,1966-06,21.3
186,1966-07,26.1
187,1966-08,21.6
188,1966-09,16.9
189,1966-10,11.6
190,1966-11,3.6
191,1966-12,-4.0
192,1967-01,-4.6
193,1967-02,-5.4
194,1967-03,4.3
195,1967-04,10.6
196,1967-05,13.9
197,1967-06,20.6
198,1967-07,22.3
199,1967-08,21.3
200,1967-09,16.8
201,1967-10,10.8
202,1967-11,2.5
203,1967-12,-1.7
204,1968-01,-5.4
205,1968-02,-4.5
206,1968-03,5.9
207,1968-04,10.6
208,1968-05,13.9
209,1968-06,22.4
210,1968-07,23.4
211,1968-08,22.8
212,1968-09,17.4
213,1968-10,12.1
214,1968-11,1.5
215,1968-12,-5.9
216,1969-01,-8.8
217,1969-02,-3.4
218,1969-03,-2.1
219,1969-04,11.4
220,1969-05,17.2
221,1969-06,19.6
222,1969-07,24.4
223,1969-08,23.7
224,1969-09,18.9
225,1969-10,10.0
226,1969-11,3.9
227,1969-12,-4.6
228,1970-01,-10.7
229,1970-02,-2.7
230,1970-03,0.5
231,1970-04,10.9
232,1970-05,18.8
233,1970-06,22.4
234,1970-07,24.8
235,1970-08,23.3
236,1970-09,18.6
237,1970-10,12.3
238,1970-11,4.3
239,1970-12,-1.8
240,1971-01,-9.1
241,1971-02,-4.9
242,1971-03,1.8
243,1971-04,11.2
244,1971-05,14.8
245,1971-06,24.9
246,1971-07,22.3
247,1971-08,23.0
248,1971-09,20.1
249,1971-10,15.8
250,1971-11,4.2
251,1971-12,-2.1
252,1972-01,-8.6
253,1972-02,-4.6
254,1972-03,2.8
255,1972-04,9.4
256,1972-05,16.9
257,1972-06,21.2
258,1972-07,23.3
259,1972-08,22.4
260,1972-09,18.1
261,1972-10,8.9
262,1972-11,1.1
263,1972-12,-7.6
264,1973-01,-5.6
265,1973-02,-2.4
266,1973-03,7.6
267,1973-04,9.6
268,1973-05,15.4
269,1973-06,23.1
270,1973-07,24.7
271,1973-08,24.9
272,1973-09,18.7
273,1973-10,15.0
274,1973-11,4.8
275,1973-12,-5.5
276,1974-01,-6.9
277,1974-02,-2.2
278,1974-03,4.3
279,1974-04,11.7
280,1974-05,15.7
281,1974-06,20.6
282,1974-07,27.2
283,1974-08,21.7
284,1974-09,16.1
285,1974-10,13.6
286,1974-11,4.2
287,1974-12,-2.1
288,1975-01,-5.2
289,1975-02,-5.3
290,1975-03,1.3
291,1975-04,8.2
292,1975-05,18.8
293,1975-06,22.4
294,1975-07,25.5
295,1975-08,25.1
296,1975-09,16.6
297,1975-10,14.0
298,1975-11,6.4
299,1975-12,-1.2
300,1976-01,-5.1
301,1976-02,1.2
302,1976-03,4.3
303,1976-04,13.0
304,1976-05,15.9
305,1976-06,21.9
306,1976-07,25.1
307,1976-09,18.7
308,1976-10,9.2
309,1976-11,0.3
310,1976-12,-5.7
311,1977-01,-12.2
312,1977-02,-1.2
313,1977-03,7.1
314,1977-04,14.7
315,1977-05,20.8
316,1977-06,23.7
317,1977-07,27.2
318,1977-08,22.3
319,1977-09,19.2
320,1977-10,12.3
321,1977-11,3.9
322,1977-12,-4.9
323,1978-01,-11.7
324,1978-02,-10.4
325,1978-03,0.7
326,1978-04,10.3
327,1978-05,16.4
328,1978-06,22.6
329,1978-08,23.9
330,1978-09,21.5
331,1978-10,11.3
332,1978-11,3.9
333,1978-12,
334,1979-01,
335,1979-02,-10.0
336,1979-03,1.8
337,1979-04,8.3
338,1979-05,16.4
339,1979-06,21.6
340,1979-07,23.6
341,1979-08,23.5
342,1979-09,19.3
343,1979-10,12.4
344,1979-11,3.3
345,1979-12,-0.2
346,1980-01,-4.8
347,1980-02,-6.0
348,1980-03,1.5
349,1980-04,11.1
350,1980-05,17.5
351,1980-06,21.8
352,1980-07,26.6
353,1980-08,24.6
354,1980-09,19.3
355,1980-10,9.8
356,1980-11,5.3
357,1980-12,-3.0
358,1981-01,-3.6
359,1981-02,-1.2
360,1981-09,18.9
361,1981-10,10.9
362,1981-11,6.0
363,1981-12,-3.6
364,1982-01,-12.4
365,1982-02,-4.4
366,1982-03,1.9
367,1982-04,8.3
368,1982-05,18.1
369,1982-06,19.5
370,1982-07,25.0
371,1982-08,22.9
372,1982-09,18.3
373,1982-10,12.6
374,1982-11,3.5
375,1982-12,0.2
376,1983-01,-2.6
377,1983-02,0.2
378,1983-03,4.1
379,1983-04,7.4
380,1983-05,14.7
381,1983-06,22.8
382,1983-07,27.2
383,1983-08,28.5
384,1983-09,19.8
385,1983-10,11.5
386,1983-11,4.8
387,1983-12,-12.3
388,1984-01,-6.8
389,1984-02,1.9
390,1984-03,-0.5
391,1984-04,9.3
392,1984-05,14.8
393,1984-06,22.9
394,1984-07,24.4
395,1984-08,25.3
396,1984-09,16.9
397,1984-10,11.6
398,1984-11,4.2
399,1984-12,-2.4
400,1985-01,-9.1
401,1985-02,-5.4
402,1985-03,5.6
403,1985-04,12.9
404,1985-05,18.4
405,1985-06,20.2
406,1985-07,24.7
407,1985-08,22.2
408,1985-09,18.2
409,1985-10,11.7
410,1985-11,-1.1
411,1985-12,-10.3
412,1986-01,-2.8
413,1986-02,-5.7
414,1986-03,5.8
415,1986-04,12.2
416,1986-05,17.0
417,1986-06,22.8
418,1986-07,25.1
419,1986-08,20.6
420,1986-09,19.4
421,1986-10,11.7
422,1986-11,0.6
423,1986-12,-1.7
424,1987-01,-2.8
425,1987-02,2.2
426,1987-03,6.1
427,1987-04,12.8
428,1987-05,19.3
429,1987-06,23.7
430,1987-07,25.9
431,1987-08,22.2
432,1987-09,18.4
433,1987-10,8.9
434,1987-11,6.2
435,1987-12,-1.1
436,1988-01,-6.9
437,1988-02,-5.8
438,1988-03,4.5
439,1988-04,10.8
440,1988-05,19.6
441,1988-06,24.2
442,1988-07,25.8
443,1988-08,26.0
444,1988-09,19.4
445,1988-10,8.8
446,1988-11,4.3
447,1988-12,-1.8
448,1989-01,0.3
449,1989-02,-9.2
450,1989-03,2.8
451,1989-04,11.3
452,1989-05,16.1
453,1989-06,20.5
454,1989-07,25.1
455,1989-08,22.9
456,1989-09,16.8
457,1989-10,12.3
458,1989-11,2.2
459,1989-12,-8.4
460,1990-01,-0.2
461,1990-02,-0.5
462,1990-03,5.6
463,1990-04,10.0
464,1990-05,14.4
465,1990-06,22.0
466,1990-07,23.2
467,1990-08,23.6
468,1990-09,20.1
469,1990-10,11.3
470,1990-11,6.5
471,1990-12,-5.1
472,1991-01,-8.4
473,1991-02,0.8
474,1991-03,5.8
475,1991-04,12.0
