,month,mean
0,1951-01,18.6
1,1951-02,18.6
2,1951-03,21.5
3,1951-04,23.2
4,1951-05,25.5
5,1951-06,27.4
6,1951-07,27.8
7,1951-08,28.8
8,1951-09,28.3
9,1951-10,25.6
10,1951-11,21.7
11,1951-12,22.8
12,1952-01,20.6
13,1952-02,20.1
14,1952-03,23.7
15,1952-04,23.0
16,1952-05,26.1
17,1952-06,28.3
18,1952-07,28.7
19,1952-08,28.6
20,1952-09,28.3
21,1952-10,25.8
22,1952-11,23.0
23,1952-12,19.3
24,1953-01,19.9
25,1953-02,21.9
26,1953-03,23.7
27,1953-04,24.4
28,1953-05,27.0
29,1953-06,27.5
30,1953-07,28.2
31,1953-08,28.9
32,1953-09,27.8
33,1953-10,24.6
34,1953-11,22.6
35,1953-12,20.9
36,1954-01,20.7
37,1954-02,20.1
38,1954-03,20.9
39,1954-04,24.9
40,1954-05,26.4
41,1954-06,27.4
42,1954-07,28.4
43,1954-08,29.6
44,1954-09,28.2
45,1954-10,25.2
46,1954-11,21.7
47,1954-12,18.1
48,1955-01,18.4
49,1955-02,19.9
50,1955-03,22.1
51,1955-04,24.3
52,1955-05,25.7
53,1955-06,26.9
54,1955-07,27.3
55,1955-08,28.6
56,1955-09,27.9
57,1955-10,25.2
58,1955-11,22.7
59,1955-12,20.9
60,1956-01,17.2
61,1956-02,21.8
62,1956-03,21.3
63,1956-04,23.4
64,1956-05,26.4
65,1956-06,27.2
66,1956-07,28.3
67,1956-08,28.9
68,1956-09,27.2
69,1956-10,25.8
70,1956-11,21.1
71,1956-12,20.9
72,1957-01,21.3
73,1957-02,22.7
74,1957-03,21.6
75,1957-04,24.7
76,1957-05,26.0
77,1957-06,27.5
78,1957-07,27.7
79,1957-08,27.7
80,1957-09,27.6
81,1957-10,24.7
82,1957-11,24.0
83,1957-12,18.8
84,1958-01,16.4
85,1958-02,15.3
86,1958-03,21.2
87,1958-04,23.7
88,1958-05,25.3
89,1958-06,27.7
90,1958-07,28.3
91,1958-08,28.8
92,1958-09,28.1
93,1958-10,25.3
94,1958-11,24.9
95,1958-12,20.7
96,1959-01,19.2
97,1959-02,24.0
98,1959-03,21.9
99,1959-04,24.1
100,1959-05,25.4
101,1959-06,26.9
102,1959-07,27.2
103,1959-08,27.3
104,1959-09,27.0
105,1959-10,26.9
106,1959-11,23.3
107,1959-12,19.7
108,1960-01,19.3
109,1960-02,19.8
110,1960-03,19.9
111,1960-04,23.8
112,1960-05,25.1
113,1960-06,27.4
114,1960-07,28.8
115,1960-08,27.6
116,1960-09,27.8
117,1960-10,26.5
118,1960-11,23.8
119,1960-12,18.7
120,1961-01,18.4
121,1961-02,21.1
122,1961-03,23.4
123,1961-04,23.5
124,1961-05,25.7
125,1961-06,26.8
126,1961-07,28.8
127,1961-08,28.7
128,1961-09,27.9
129,1961-10,25.5
130,1961-11,23.3
131,1961-12,20.7
132,1962-01,20.2
133,1962-02,22.0
134,1962-03,21.3
135,1962-04,22.9
136,1962-05,25.1
137,1962-06,26.8
138,1962-07,28.6
139,1962-08,28.4
140,1962-09,27.4
141,1962-10,25.4
142,1962-11,20.2
143,1962-12,17.7
144,1963-01,19.7
145,1963-02,18.8
146,1963-03,23.1
147,1963-04,23.9
148,1963-05,25.1
149,1963-06,27.1
150,1963-07,28.5
151,1963-08,28.4
152,1963-09,27.6
153,1963-10,24.7
154,1963-11,21.9
155,1963-12,17.6
156,1964-01,19.8
157,1964-02,18.8
158,1964-03,23.8
159,1964-04,25.2
160,1964-05,25.5
161,1964-06,27.3
162,1964-07,28.4
163,1964-08,28.8
164,1964-09,28.1
165,1964-10,25.1
166,1964-11,23.9
167,1964-12,22.5
168,1965-01,19.6
169,1965-02,21.7
170,1965-03,23.0
171,1965-04,24.9
172,1965-05,25.9
173,1965-06,27.2
174,1965-07,27.5
175,1965-08,27.6
176,1965-09,26.8
177,1965-10,25.8
178,1965-11,23.7
179,1965-12,20.8
180,1966-01,19.1
181,1966-02,20.6
182,1966-03,20.8
183,1966-04,23.8
184,1966-05,25.4
185,1966-06,25.8
186,1966-07,27.4
187,1966-08,27.7
188,1966-09,27.3
189,1966-10,25.7
190,1966-11,21.3
191,1966-12,19.2
192,1967-01,21.8
193,1967-02,20.5
194,1967-03,22.7
195,1967-04,23.8
196,1967-05,26.3
197,1967-06,26.7
198,1967-07,28.1
199,1967-08,27.8
200,1967-09,27.5
201,1967-10,24.7
202,1967-11,21.8
203,1967-12,21.3
204,1968-01,18.9
205,1968-02,17.1
206,1968-03,19.4
207,1968-04,24.4
208,1968-05,25.7
209,1968-06,26.4
210,1968-07,27.6
211,1968-08,28.8
212,1968-09,27.9
213,1968-10,25.4
214,1968-11,21.7
215,1968-12,19.2
216,1969-01,19.8
217,1969-02,18.4
218,1969-03,19.9
219,1969-04,25.2
220,1969-05,26.4
