,month,mean
0,1951-01,4.6
1,1951-02,5.4
2,1951-03,9.6
3,1951-04,13.1
4,1951-05,19.9
5,1951-06,24.6
6,1951-07,26.5
7,1951-08,26.9
8,1951-09,22.0
9,1951-10,16.7
10,1951-11,5.9
11,1951-12,6.6
12,1952-01,6.8
13,1952-02,7.4
14,1952-03,9.1
15,1952-04,14.3
16,1952-05,20.8
17,1952-06,29.3
18,1952-07,28.4
19,1952-08,27.1
20,1952-09,21.2
21,1952-10,11.6
22,1952-11,9.1
23,1952-12,5.7
24,1953-01,7.3
25,1953-02,6.7
26,1953-03,11.6
27,1953-04,13.6
28,1953-05,22.0
29,1953-06,27.2
30,1953-07,26.5
31,1953-08,26.2
32,1953-09,22.7
33,1953-10,17.4
34,1953-11,8.9
35,1953-12,3.9
36,1954-01,4.5
37,1954-02,8.5
38,1954-03,9.1
39,1954-04,18.5
40,1954-05,17.2
41,1954-06,25.6
42,1954-07,28.9
43,1954-08,27.9
44,1954-09,24.9
45,1954-10,16.3
46,1954-11,9.0
47,1954-12,4.4
48,1955-01,3.3
49,1955-02,5.1
50,1955-03,10.4
51,1955-04,17.8
52,1955-05,21.8
53,1955-06,21.9
54,1955-07,28.0
55,1955-08,27.2
56,1955-09,24.7
57,1955-10,15.5
58,1955-11,7.9
59,1955-12,4.2
60,1956-01,2.2
61,1956-02,8.3
62,1956-03,9.7
63,1956-04,14.3
64,1956-05,21.2
65,1956-06,24.5
66,1956-07,27.4
67,1956-08,26.6
68,1956-09,21.9
69,1956-10,17.8
70,1956-11,8.7
71,1956-12,10.2
72,1957-01,3.1
73,1957-02,8.6
74,1957-03,9.1
75,1957-04,17.3
76,1957-05,20.9
77,1957-06,25.2
78,1957-07,26.1
79,1957-08,25.3
80,1957-09,22.5
81,1957-10,13.7
82,1957-11,9.2
83,1957-12,7.1
84,1958-01,1.9
85,1958-02,-0.6
86,1958-03,6.7
87,1958-04,14.7
88,1958-05,20.1
89,1958-06,23.9
90,1958-07,26.7
91,1958-08,25.4
92,1958-09,22.1
93,1958-10,15.3
94,1958-11,10.9
95,1958-12,2.3
96,1959-01,2.8
97,1959-02,5.6
98,1959-03,8.8
99,1959-04,15.4
100,1959-05,21.8
101,1959-06,23.8
102,1959-07,26.2
103,1959-08,26.6
104,1959-09,23.3
105,1959-10,16.6
106,1959-11,7.3
107,1959-12,6.2
108,1960-01,4.4
109,1960-02,2.0
110,1960-03,2.4
111,1960-04,16.1
112,1960-05,18.7
113,1960-06,23.9
114,1960-07,25.7
115,1960-08,26.4
116,1960-09,23.1
117,1960-10,16.4
118,1960-11,8.8
119,1960-12,1.5
120,1961-01,0.7
121,1961-02,8.3
122,1961-03,11.2
123,1961-04,12.5
124,1961-05,17.6
125,1961-06,22.4
126,1961-07,25.2
127,1961-08,24.7
128,1961-09,23.1
129,1961-10,15.4
130,1961-11,9.8
131,1961-12,1.5
132,1962-01,1.8
133,1962-02,7.9
134,1962-03,7.4
135,1962-04,13.3
136,1962-05,24.0
137,1962-06,23.9
138,1962-07,26.2
139,1962-08,26.5
140,1962-09,20.7
141,1962-10,17.2
142,1962-11,8.8
143,1962-12,1.7
144,1963-01,-0.6
145,1963-02,1.2
146,1963-03,12.1
147,1963-04,16.4
148,1963-05,19.6
149,1963-06,24.3
150,1963-07,25.3
151,1963-08,24.9
152,1963-09,21.1
153,1963-10,18.6
154,1963-11,9.6
155,1963-12,-0.8
156,1964-01,3.8
157,1964-02,2.9
158,1964-03,9.4
159,1964-04,17.0
160,1964-05,20.9
161,1964-06,25.4
162,1964-07,25.9
163,1964-08,25.1
164,1964-09,21.8
165,1964-10,13.7
166,1964-11,10.9
167,1964-12,5.9
168,1965-01,4.4
169,1965-02,4.2
170,1965-03,5.5
171,1965-04,16.1
172,1965-05,22.1
173,1965-06,23.9
174,1965-07,25.9
175,1965-08,26.1
176,1965-09,23.4
177,1965-10,15.2
178,1965-11,11.1
179,1965-12,7.1
180,1966-01,1.7
181,1966-02,5.2
182,1966-03,10.3
183,1966-04,14.9
184,1966-05,18.5
185,1966-06,23.9
186,1966-07,27.9
187,1966-08,24.7
188,1966-09,20.8
189,1966-10,13.9
190,1966-11,10.4
191,1966-12,7.2
192,1967-01,5.7
193,1967-02,3.1
194,1967-03,13.9
195,1967-04,17.7
196,1967-05,19.1
197,1967-06,24.6
198,1967-07,24.3
199,1967-08,22.6
200,1967-09,19.3
201,1967-10,15.2
202,1967-11,6.8
203,1967-12,6.0
204,1968-01,1.1
205,1968-02,1.7
206,1968-03,8.8
207,1968-04,14.8
208,1968-05,19.0
209,1968-06,23.8
210,1968-07,25.4
211,1968-08,26.4
212,1968-09,21.1
213,1968-10,15.3
214,1968-11,9.3
215,1968-12,3.4
216,1969-01,2.9
217,1969-02,4.3
218,1969-03,5.9
219,1969-04,16.1
220,1969-05,20.5
221,1969-06,25.1
222,1969-07,28.2
223,1969-08,25.6
224,1969-09,21.6
225,1969-10,15.9
226,1969-11,8.1
227,1969-12,2.9
228,1970-01,0.2
229,1970-02,3.6
230,1970-03,8.2
231,1970-04,16.1
232,1970-05,20.2
233,1970-06,23.1
234,1970-07,25.1
235,1970-08,26.2
236,1970-09,24.9
237,1970-10,16.1
238,1970-11,8.6
239,1970-12,6.2
240,1971-01,2.0
241,1971-02,3.7
242,1971-03,7.0
243,1971-04,14.4
244,1971-05,17.4
245,1971-06,25.3
246,1971-07,24.9
247,1971-08,24.7
248,1971-09,23.6
249,1971-10,19.3
250,1971-11,9.9
251,1971-12,9.6
252,1972-01,5.4
253,1972-02,5.4
254,1972-03,10.1
255,1972-04,15.8
256,1972-05,19.7
257,1972-06,22.8
258,1972-07,25.2
259,1972-08,25.1
260,1972-09,24.3
261,1972-10,15.7
262,1972-11,8.5
263,1972-12,6.0
264,1973-01,3.3
265,1973-02,4.3
266,1973-03,13.8
267,1973-04,13.6
268,1973-05,17.9
269,1973-06,24.5
270,1973-07,25.9
271,1973-08,25.6
272,1973-09,24.6
273,1973-10,19.0
274,1973-11,12.6
275,1973-12,4.7
276,1974-01,7.4
277,1974-02,5.4
278,1974-03,12.7
279,1974-04,14.8
280,1974-05,21.1
281,1974-06,21.9
282,1974-07,25.6
283,1974-08,25.3
284,1974-09,19.7
285,1974-10,15.2
286,1974-11,10.0
287,1974-12,5.9
288,1975-01,6.3
289,1975-02,7.0
290,1975-03,8.5
291,1975-04,14.7
292,1975-06,24.5
293,1975-07,25.8
294,1975-08,26.2
295,1975-09,19.9
296,1975-10,16.9
297,1975-11,11.2
298,1975-12,5.9
299,1976-01,2.6
300,1976-02,10.3
301,1976-03,13.3
302,1976-04,15.5
303,1976-05,17.8
304,1976-06,22.9
305,1976-07,24.7
306,1976-08,23.6
307,1976-09,19.3
308,1976-10,12.2
309,1976-11,4.9
310,1976-12,2.5
311,1977-01,-4.2
312,1977-02,4.8
313,1977-03,
314,1977-04,17.2
315,1977-05,22.2
316,1977-06,25.1
317,1977-07,27.9
318,1977-08,26.4
319,1977-09,
320,1977-10,13.9
321,1977-11,10.4
322,1977-12,3.7
323,1978-01,-2.4
324,1978-02,-1.6
325,1978-03,8.3
326,1978-04,16.1
327,1978-05,19.3
328,1978-06,
329,1978-08,25.9
330,1978-09,24.2
331,1978-11,12.0
332,1978-12,5.8
333,1979-01,1.3
334,1979-02,0.8
335,1979-03,10.4
336,1979-04,14.2
337,1979-05,18.9
338,1979-06,23.2
339,1979-07,25.3
340,1979-08,24.9
341,1979-09,21.7
342,1979-10,16.0
343,1979-11,9.2
344,1979-12,5.5
345,1980-01,4.1
346,1980-02,2.1
347,1980-03,7.6
348,1980-04,14.1
349,1980-05,19.9
350,1980-06,24.2
351,1980-07,28.0
352,1980-10,14.3
353,1980-11,9.2
354,1980-12,5.0
355,1981-01,2.0
356,1981-02,5.8
357,1981-03,8.6
358,1981-04,17.8
359,1981-05,17.8
360,1981-10,15.8
361,1981-11,9.9
362,1981-12,3.5
363,1982-01,2.4
364,1982-02,4.2
365,1982-03,11.4
366,1982-04,12.6
367,1982-05,21.7
368,1982-06,22.9
369,1982-07,26.6
370,1982-08,24.5
371,1982-09,20.9
372,1982-10,16.2
373,1982-11,10.8
374,1982-12,9.0
375,1983-01,3.7
376,1983-02,5.9
377,1983-03,10.1
378,1983-04,12.2
379,1983-05,18.0
380,1983-06,24.2
381,1983-07,26.9
382,1983-08,28.4
383,1983-09,23.2
384,1983-10,16.9
385,1983-11,9.9
386,1983-12,1.1
387,1984-01,0.1
388,1984-02,6.3
389,1984-03,7.8
390,1984-04,14.6
391,1984-05,17.9
392,1984-06,25.1
393,1984-07,24.5
394,1984-08,24.7
395,1984-09,20.3
396,1984-10,19.3
397,1984-11,7.8
398,1984-12,9.8
399,1985-01,-2.3
400,1985-02,2.5
401,1985-03,11.2
402,1985-04,16.6
403,1985-05,20.2
404,1985-06,24.3
405,1985-07,26.8
406,1985-08,25.1
407,1985-09,21.6
408,1985-10,18.0
409,1985-11,13.8
410,1985-12,1.2
411,1986-01,2.9
412,1986-02,7.1
413,1986-03,10.4
414,1986-04,16.0
415,1986-05,20.3
416,1986-06,25.0
417,1986-07,28.0
418,1986-08,25.0
419,1986-09,23.9
420,1986-10,16.1
421,1986-11,10.0
422,1986-12,4.4
423,1987-01,2.2
424,1987-02,6.1
425,1987-03,11.1
426,1987-04,14.4
427,1987-05,23.0
428,1987-06,25.3
429,1987-07,26.8
430,1987-08,27.2
431,1987-09,22.3
432,1987-10,12.8
433,1987-11,11.1
434,1987-12,6.7
435,1988-01,1.3
436,1988-02,3.6
437,1988-03,9.6
438,1988-04,13.9
439,1988-05,19.5
440,1988-06,25.2
441,1988-07,27.4
442,1988-08,27.7
443,1988-09,22.7
444,1988-10,12.3
445,1988-11,10.6
446,1988-12,5.8
447,1989-01,7.2
448,1989-02,3.9
449,1989-03,11.4
450,1989-04,15.2
451,1989-05,18.7
452,1989-06,23.7
453,1989-07,26.2
454,1989-08,25.5
455,1989-09,21.4
456,1989-10,16.1
457,1989-11,10.8
458,1989-12,0.6
459,1990-01,7.7
460,1990-02,9.9
461,1990-03,12.0
462,1990-04,14.7
463,1990-05,19.1
464,1990-06,25.6
465,1990-07,26.9
466,1990-08,26.4
467,1990-09,23.7
468,1990-10,15.6
469,1990-11,12.4
470,1990-12,6.5
471,1991-01,4.0
472,1991-02,6.6
473,1991-03,11.4
474,1991-04,17.7
475,1991-05,23.4
476,1991-06,25.7
477,1991-07,27.3
478,1991-08,25.7
479,1991-09,22.4
480,1991-10,16.2
481,1991-11,8.4
482,1991-12,6.9
483,1992-01,4.4
484,1992-02,7.7
485,1992-03,10.1
486,1992-04,15.3
487,1992-05,18.8
488,1992-06,22.4
489,1992-07,26.6
