,month,mean
0,1951-01,14.1
1,1951-02,14.3
2,1951-03,17.1
3,1951-04,19.3
4,1951-05,23.8
5,1951-06,27.6
6,1951-07,28.6
7,1951-08,29.9
8,1951-09,26.8
9,1951-10,22.7
10,1951-11,13.8
11,1951-12,15.5
12,1952-01,17.0
13,1952-02,15.0
14,1952-03,15.8
15,1952-04,18.8
16,1952-05,24.0
17,1952-06,27.8
18,1952-07,27.6
19,1952-08,28.2
20,1952-09,22.0
21,1952-10,17.2
22,1952-11,14.5
23,1952-12,12.4
24,1953-01,13.9
25,1953-02,13.6
26,1953-03,19.6
27,1953-04,20.2
28,1953-05,25.7
29,1953-06,28.8
30,1953-07,28.1
31,1953-08,27.9
32,1953-09,26.3
33,1953-10,21.4
34,1953-11,15.5
35,1953-12,11.3
36,1954-01,13.1
37,1954-02,15.6
38,1954-03,15.8
39,1954-04,21.9
40,1954-05,21.9
41,1954-06,27.3
42,1954-07,28.1
43,1954-08,28.3
44,1954-09,27.2
45,1954-10,21.7
46,1954-11,14.9
47,1954-12,12.7
48,1955-01,11.9
49,1955-02,14.6
50,1955-03,18.7
51,1955-04,22.0
52,1955-05,25.9
53,1955-06,26.1
54,1955-07,27.5
55,1955-08,28.3
56,1955-09,27.1
57,1955-10,20.9
58,1955-11,15.7
59,1955-12,13.2
60,1956-01,11.1
61,1956-02,16.2
62,1956-03,17.1
63,1956-04,20.0
64,1956-05,25.2
65,1956-06,26.1
66,1956-07,27.8
67,1956-08,27.7
68,1956-09,25.5
69,1956-10,22.4
70,1956-11,15.8
71,1956-12,16.3
72,1957-01,15.6
73,1957-02,17.7
74,1957-03,16.4
75,1957-04,20.9
76,1957-05,25.1
77,1957-06,27.7
78,1957-07,29.1
79,1957-08,27.8
80,1957-09,24.9
81,1957-10,19.4
82,1957-11,16.7
83,1957-12,13.0
84,1958-01,9.3
85,1958-02,9.3
86,1958-03,15.0
87,1958-04,20.9
88,1958-05,24.4
89,1958-06,27.6
90,1958-07,27.8
91,1958-08,27.8
92,1958-09,26.8
93,1958-10,20.7
94,1958-11,17.5
95,1958-12,11.7
96,1959-01,10.3
97,1959-02,14.2
98,1959-03,15.8
99,1959-04,20.1
100,1959-05,25.1
101,1959-06,27.6
102,1959-07,27.9
103,1959-08,29.3
104,1959-09,26.7
105,1959-10,19.4
106,1959-11,14.9
107,1959-12,13.2
108,1960-01,11.2
109,1960-02,14.7
110,1960-03,13.6
111,1960-04,19.8
112,1960-05,22.0
113,1960-06,26.8
114,1960-07,28.9
115,1960-08,27.5
116,1960-09,25.7
117,1960-10,21.5
118,1960-11,16.5
119,1960-12,11.2
120,1961-01,8.6
121,1961-02,14.5
122,1961-03,18.1
123,1961-04,18.2
124,1961-05,22.6
125,1961-06,25.2
126,1961-07,26.5
127,1961-08,26.5
128,1961-09,25.6
129,1961-10,20.0
130,1961-11,16.2
131,1961-12,13.4
132,1962-01,10.3
133,1962-02,17.7
134,1962-03,14.4
135,1962-04,18.8
136,1962-05,24.5
137,1962-06,26.3
138,1962-07,28.7
139,1962-08,27.9
140,1962-09,25.8
141,1962-10,22.0
142,1962-11,14.4
143,1962-12,10.6
144,1963-01,8.6
145,1963-02,9.0
146,1963-03,18.7
147,1963-04,22.6
148,1963-05,24.0
149,1963-06,26.4
150,1963-07,27.3
151,1963-08,27.6
152,1963-09,25.4
153,1963-10,21.1
154,1963-11,15.7
155,1963-12,7.9
156,1964-01,11.0
157,1964-02,9.9
158,1964-03,15.8
159,1964-04,21.4
160,1964-05,23.7
161,1964-06,26.1
162,1964-07,27.0
163,1964-08,27.6
164,1964-09,24.9
165,1964-10,18.2
166,1964-11,16.6
167,1964-12,13.5
168,1965-01,12.7
169,1965-02,12.4
170,1965-03,14.9
171,1965-04,21.6
172,1965-05,24.2
173,1965-06,25.8
174,1965-07,27.2
175,1965-08,25.4
176,1965-09,24.6
177,1965-10,19.3
178,1965-11,18.1
179,1965-12,12.2
180,1966-01,8.3
181,1966-02,11.1
182,1966-03,15.0
183,1966-04,20.4
184,1966-05,23.9
185,1966-06,25.1
186,1966-07,27.9
187,1966-08,26.9
188,1966-09,25.0
189,1966-10,20.5
190,1966-11,16.4
191,1966-12,11.8
192,1967-01,11.4
193,1967-02,11.4
194,1967-03,17.3
195,1967-04,22.3
196,1967-05,23.2
197,1967-06,27.6
198,1967-07,26.9
199,1967-08,27.0
200,1967-09,23.9
201,1967-10,18.7
202,1967-11,15.7
203,1967-12,14.6
204,1968-01,10.9
205,1968-02,8.4
206,1968-03,13.3
207,1968-04,20.1
208,1968-05,23.4
209,1968-06,26.9
210,1968-07,28.0
211,1968-08,27.2
212,1968-09,24.1
213,1968-10,20.3
214,1968-11,13.1
215,1968-12,10.4
216,1969-01,12.3
217,1969-02,12.6
218,1969-03,12.1
219,1969-04,20.4
220,1969-05,22.9
221,1969-06,26.8
222,1969-07,27.8
223,1969-08,26.7
224,1969-09,24.8
225,1969-10,21.7
226,1969-11,14.7
227,1969-12,12.5
228,1970-01,8.5
229,1970-02,10.9
230,1970-03,15.6
231,1970-04,21.5
232,1970-05,23.4
233,1970-06,26.4
234,1970-07,27.6
235,1970-08,27.5
236,1970-09,26.7
237,1970-10,20.4
238,1970-11,13.0
239,1970-12,14.4
240,1971-01,12.8
241,1971-02,12.2
242,1971-03,15.1
243,1971-04,19.4
244,1971-05,22.7
245,1971-06,26.7
246,1971-07,27.4
247,1971-08,27.3
248,1971-09,26.1
249,1971-10,22.1
250,1971-11,15.1
251,1971-12,17.4
252,1972-01,14.8
253,1972-02,13.4
254,1972-03,16.6
255,1972-04,21.0
256,1972-05,23.3
257,1972-06,27.1
258,1972-07,26.3
259,1972-08,27.3
260,1972-09,26.4
261,1972-10,21.3
262,1972-11,13.7
263,1972-12,12.9
264,1973-01,10.2
265,1973-02,11.4
266,1973-03,18.6
267,1973-04,17.9
268,1973-05,22.5
269,1973-06,27.6
270,1973-07,29.1
271,1973-08,27.6
272,1973-09,26.5
273,1973-10,23.0
274,1973-11,19.2
275,1973-12,12.3
276,1974-01,17.4
277,1974-02,13.3
278,1974-03,19.6
279,1974-04,20.6
280,1974-05,24.3
281,1974-06,25.6
282,1974-07,26.8
283,1974-08,26.9
284,1974-09,25.0
285,1974-10,19.4
286,1974-11,15.4
287,1974-12,12.9
288,1975-01,14.0
289,1975-02,14.9
290,1975-03,16.3
291,1975-04,19.3
292,1975-05,23.9
293,1975-06,26.3
294,1975-07,26.8
295,1975-08,26.9
296,1975-09,23.9
297,1975-10,21.1
298,1975-11,16.2
299,1975-12,11.1
300,1976-01,10.3
301,1976-02,14.6
302,1976-03,18.2
303,1976-04,20.3
304,1976-05,22.4
305,1976-06,25.7
306,1976-07,27.3
307,1976-08,27.5
308,1976-09,25.4
309,1976-10,17.8
310,1976-11,11.5
311,1976-12,10.3
312,1977-01,6.3
313,1977-02,12.1
314,1977-03,18.3
315,1977-04,20.6
316,1977-05,24.4
317,1977-06,28.0
318,1977-07,28.8
319,1977-08,27.7
320,1977-09,26.8
321,1977-10,20.1
322,1977-11,17.2
323,1977-12,12.4
324,1978-01,6.7
325,1978-02,7.2
326,1978-04,21.9
327,1978-06,27.3
328,1978-08,28.4
329,1978-09,27.3
330,1978-10,20.9
331,1978-11,19.5
332,1978-12,13.3
333,1979-01,7.7
334,1979-02,11.6
335,1979-03,17.0
336,1979-04,21.7
337,1979-05,24.0
338,1979-06,27.3
339,1979-07,28.7
340,1979-08,28.3
341,1979-09,26.3
342,1979-10,21.8
343,1979-11,14.4
344,1979-12,11.5
345,1980-01,13.8
346,1980-02,11.4
347,1980-03,16.7
348,1980-04,18.9
349,1980-05,25.5
350,1980-06,28.5
351,1980-07,29.9
352,1980-08,29.7
353,1980-09,28.3
354,1980-10,20.7
355,1980-11,15.4
356,1980-12,12.0
357,1981-01,9.2
358,1981-02,12.9
359,1981-03,16.6
360,1981-09,25.5
361,1981-10,21.8
362,1981-11,18.3
363,1981-12,12.5
364,1982-01,12.5
365,1982-02,12.8
366,1982-03,17.8
367,1982-04,21.0
368,1982-05,24.8
369,1982-06,27.5
370,1982-07,27.4
371,1982-08,27.9
372,1982-09,24.9
373,1982-10,23.1
374,1982-11,16.9
375,1982-12,15.2
376,1983-01,10.1
377,1983-02,12.2
378,1983-03,14.6
379,1983-04,17.9
380,1983-05,23.3
381,1983-06,25.3
382,1983-07,27.6
383,1983-08,27.9
384,1983-09,24.0
385,1983-10,20.3
386,1983-11,15.6
387,1983-12,9.7
388,1984-01,8.1
389,1984-02,12.2
390,1984-03,15.2
391,1984-04,19.7
392,1984-05,23.2
393,1984-06,25.3
394,1984-07,26.0
395,1984-08,26.2
396,1984-09,24.6
397,1984-10,23.1
398,1984-11,14.9
399,1984-12,17.3
400,1985-01,7.3
401,1985-02,11.3
402,1985-03,18.5
403,1985-04,20.6
404,1985-05,23.7
405,1985-06,26.3
406,1985-07,26.8
407,1985-08,27.6
408,1985-09,25.0
409,1985-10,22.6
410,1985-11,19.6
411,1985-12,10.6
412,1986-01,10.7
413,1986-02,15.1
414,1986-03,15.9
415,1986-04,19.4
416,1986-05,24.8
417,1986-06,27.2
418,1986-07,28.3
419,1986-08,27.8
420,1986-09,27.2
421,1986-10,21.1
422,1986-11,18.9
423,1986-12,11.7
424,1987-01,10.0
425,1987-02,13.3
426,1987-03,15.6
427,1987-04,18.9
428,1987-05,24.9
429,1987-06,26.6
430,1987-07,28.3
431,1987-08,28.6
432,1987-09,25.7
433,1987-10,18.2
434,1987-11,16.4
435,1987-12,15.0
436,1988-01,9.6
437,1988-02,11.8
438,1988-03,16.1
439,1988-04,19.2
440,1988-05,22.9
441,1988-06,25.8
442,1988-07,27.6
443,1988-08,27.4
444,1988-09,26.5
445,1988-10,20.0
446,1988-11,18.7
447,1988-12,13.3
448,1989-01,15.7
449,1989-02,13.3
450,1989-03,17.1
451,1989-04,19.4
452,1989-05,24.7
453,1989-06,26.3
454,1989-07,27.4
455,1989-08,27.6
456,1989-09,25.0
457,1989-10,19.7
458,1989-11,16.8
459,1989-12,8.3
460,1990-01,14.5
461,1990-02,16.3
462,1990-03,17.4
463,1990-04,19.8
464,1990-05,24.6
465,1990-06,28.1
466,1990-07,27.9
467,1990-08,28.3
468,1990-09,26.4
469,1990-10,20.1
470,1990-11,16.8
471,1990-12,15.0
472,1991-01,11.6
473,1991-02,14.6
474,1991-03,17.9
475,1991-04,21.8
476,1991-05,25.3
477,1991-06,27.4
478,1991-07,28.6
479,1991-08,27.6
480,1991-09,25.7
481,1991-10,22.0
482,1991-11,13.3
483,1991-12,14.2
484,1992-01,10.6
485,1992-02,14.6
486,1992-03,16.7
487,1992-04,19.1
488,1992-05,22.7
489,1992-06,27.0
490,1992-07,28.4
491,1992-08,26.4
492,1992-09,25.8
493,1992-10,20.8
494,1992-11,14.1
495,1992-12,14.6
496,1993-01,14.0
497,1993-02,12.6
498,1993-03,14.9
499,1993-04,17.8
500,1993-05,22.2
501,1993-06,26.9
502,1993-07,28.5
503,1993-08,28.7
504,1993-09,26.5
505,1993-10,21.1
506,1993-11,14.4
507,1993-12,11.2
508,1994-01,10.0
509,1994-02,13.8
510,1994-03,16.0
511,1994-04,20.9
512,1994-05,23.9
513,1994-06,27.4
514,1994-07,27.1
515,1994-08,27.4
516,1994-09,25.4
517,1994-10,21.6
518,1994-11,18.5
519,1994-12,13.6
520,1995-01,11.7
521,1995-02,13.5
522,1995-03,17.2
523,1995-04,20.4
524,1995-05,25.3
525,1995-06,26.3
526,1995-07,28.8
527,1995-08,29.2
528,1995-09,26.4
529,1995-10,21.8
530,1995-11,15.4
531,1995-12,12.9
532,1996-01,11.6
533,1996-02,13.8
534,1996-03,14.6
535,1996-04,19.5
536,1996-05,25.6
537,1996-06,26.9
538,1996-07,28.2
539,1996-08,27.4
540,1996-09,26.2
541,1996-10,21.4
542,1996-11,17.4
543,1996-12,14.1
544,1997-01,12.1
545,1997-02,13.9
546,1997-03,19.0
547,1997-04,18.6
548,1997-05,23.5
549,1997-06,26.4
550,1997-07,28.5
551,1997-08,28.6
552,1997-09,27.2
553,1997-10,21.8
554,1997-11,14.8
555,1997-12,11.6
556,1998-01,13.4
557,1998-02,13.3
558,1998-03,15.5
559,1998-04,19.7
560,1998-05,26.0
561,1998-06,28.8
562,1998-07,29.6
563,1998-08,29.2
564,1998-09,27.3
565,1998-10,22.9
566,1998-11,18.5
567,1998-12,15.0
568,1999-01,14.2
569,1999-02,16.1
570,1999-03,16.4
571,1999-04,22.8
572,1999-05,24.8
573,1999-06,27.4
574,1999-07,27.9
575,1999-08,29.8
576,1999-09,25.6
577,1999-10,21.5
578,1999-11,16.7
579,1999-12,12.9
580,2000-01,13.5
581,2000-02,15.8
582,2000-03,18.9
583,2000-04,20.5
584,2000-05,26.7
585,2000-06,27.6
586,2000-07,29.2
587,2000-08,29.1
588,2000-09,26.3
589,2000-10,21.0
590,2000-11,15.5
591,2000-12,9.7
592,2001-01,10.0
593,2001-02,15.7
594,2001-03,15.2
595,2001-04,22.3
596,2001-05,24.5
597,2001-06,26.8
598,2001-07,28.3
599,2001-08,28.0
600,2001-09,25.8
601,2001-10,20.2
602,2001-11,18.3
603,2001-12,14.2
604,2002-01,12.6
605,2002-02,11.1
606,2002-03,16.8
607,2002-04,22.5
608,2002-05,24.7
609,2002-06,27.1
610,2002-07,28.5
611,2002-08,28.2
612,2002-09,27.1
613,2002-10,23.4
614,2002-11,15.5
615,2002-12,12.3
616,2003-01,9.5
617,2003-02,13.1
618,2003-03,17.0
619,2003-04,20.7
620,2003-05,26.5
621,2003-06,27.3
622,2003-07,28.1
623,2003-08,28.9
