,month,mean
0,1951-01,11.1
1,1951-02,13.4
2,1951-03,15.9
3,1951-04,19.9
4,1951-05,24.8
5,1951-06,28.3
6,1951-07,33.6
7,1951-08,30.7
8,1951-09,28.4
9,1951-10,22.2
10,1951-11,14.3
11,1951-12,11.1
12,1952-01,10.8
13,1952-02,12.3
14,1952-03,13.1
15,1952-04,19.7
16,1952-05,26.4
17,1952-06,29.2
18,1952-07,33.2
19,1952-08,32.7
20,1952-09,29.9
21,1952-10,24.9
22,1952-11,14.0
23,1952-12,10.6
24,1953-01,12.5
25,1953-02,11.8
26,1953-03,16.4
27,1953-04,19.2
28,1953-05,21.6
29,1953-06,29.4
30,1953-07,32.7
31,1953-08,31.8
32,1953-09,28.9
33,1953-10,22.0
34,1953-11,16.4
35,1953-12,9.6
36,1954-01,11.3
37,1954-02,16.3
38,1954-03,14.6
39,1954-04,22.0
40,1954-05,25.7
41,1954-06,29.3
42,1954-07,32.9
43,1954-08,36.9
44,1954-09,30.1
45,1954-10,23.8
46,1954-11,18.1
47,1954-12,12.2
48,1955-01,9.3
49,1955-02,10.5
50,1955-03,16.4
51,1955-04,19.3
52,1955-05,24.2
53,1955-06,28.7
54,1955-07,30.4
55,1955-08,30.3
56,1955-09,28.3
57,1955-10,24.3
58,1955-11,15.1
59,1955-12,13.2
60,1956-01,13.4
61,1956-02,10.5
62,1956-03,16.4
63,1956-04,19.1
64,1956-05,24.9
65,1956-06,30.5
66,1956-07,31.1
67,1956-08,29.8
68,1956-09,29.2
69,1956-10,20.9
70,1956-11,14.3
71,1956-12,11.8
72,1957-01,12.2
73,1957-02,16.3
74,1957-03,16.6
75,1957-04,19.2
76,1957-05,22.7
77,1957-06,30.6
78,1957-07,33.0
79,1957-08,31.1
80,1957-09,28.4
81,1957-10,21.4
82,1957-11,13.6
83,1957-12,12.8
84,1958-01,11.7
85,1958-02,14.4
86,1958-03,13.9
87,1958-04,19.3
88,1958-05,27.4
89,1958-06,31.7
90,1958-07,34.2
91,1958-08,33.7
92,1958-09,30.3
93,1958-10,24.8
94,1958-11,17.3
95,1958-12,13.3
96,1959-01,12.1
97,1959-02,12.2
98,1959-03,17.6
99,1959-04,23.1
100,1959-05,24.6
101,1959-06,32.4
102,1959-07,34.4
103,1959-08,31.2
104,1959-09,28.5
105,1959-10,22.6
106,1959-11,16.1
107,1959-12,12.0
108,1960-01,9.2
