,month,mean
0,1951-01,11.1
1,1951-02,11.7
2,1951-03,11.1
3,1951-04,11.3
4,1951-05,14.6
5,1951-06,15.1
6,1951-07,15.0
7,1951-08,16.4
8,1951-09,16.8
9,1951-10,15.8
10,1951-11,12.3
11,1951-12,9.2
12,1952-01,8.4
13,1952-02,10.7
14,1952-03,10.5
15,1952-04,12.7
16,1952-05,13.8
17,1952-06,14.3
18,1952-07,16.8
19,1952-08,15.7
20,1952-09,17.2
21,1952-10,14.9
22,1952-11,11.1
23,1952-12,10.2
24,1953-01,11.7
25,1953-02,10.1
26,1953-03,10.5
27,1953-04,11.4
28,1953-05,13.1
29,1953-06,14.8
30,1953-07,15.6
31,1953-08,16.7
32,1953-09,17.9
33,1953-10,14.8
34,1953-11,12.9
35,1953-12,10.6
36,1954-01,9.7
37,1954-02,10.6
38,1954-03,9.8
39,1954-04,13.7
40,1954-05,13.7
41,1954-06,14.9
42,1954-07,16.6
43,1954-08,16.2
44,1954-09,16.6
45,1954-10,14.6
46,1954-11,11.9
47,1954-12,8.7
48,1955-01,7.2
49,1955-02,9.3
50,1955-03,11.4
51,1955-04,11.2
52,1955-05,14.1
53,1955-06,16.2
54,1955-07,15.2
55,1955-08,15.3
56,1955-09,16.3
57,1955-10,15.2
58,1955-11,12.2
59,1955-12,10.9
60,1956-01,9.5
61,1956-02,8.9
62,1956-03,10.9
63,1956-04,12.4
64,1956-05,14.6
65,1956-06,16.3
66,1956-07,16.5
67,1956-08,
68,1956-09,17.7
69,1956-10,14.6
70,1956-11,12.7
71,1956-12,9.3
72,1957-01,7.8
73,1957-02,11.6
74,1957-03,12.1
75,1957-04,13.8
76,1957-05,14.8
77,1957-06,17.6
78,1957-07,17.9
79,1957-08,17.1
80,1957-09,18.7
81,1957-10,16.2
82,1957-11,12.3
83,1957-12,9.8
84,1958-01,10.2
85,1958-02,13.0
86,1958-03,11.2
87,1958-04,14.3
88,1958-05,16.9
89,1958-06,18.5
90,1958-07,18.4
91,1958-08,19.6
92,1958-09,20.8
93,1958-10,17.4
94,1958-11,15.0
95,1958-12,12.9
96,1959-01,11.9
97,1959-02,11.8
98,1959-03,14.4
99,1959-04,15.4
100,1959-05,15.1
101,1959-06,16.4
102,1959-07,17.9
103,1959-08,18.6
104,1959-09,17.9
105,1959-10,18.3
106,1959-11,13.6
107,1959-12,10.7
108,1960-01,9.6
109,1960-02,10.8
110,1960-03,12.7
111,1960-04,13.2
112,1960-05,14.6
113,1960-06,17.9
114,1960-07,16.9
115,1960-08,16.7
116,1960-09,16.9
117,1960-10,15.9
118,1960-11,12.1
119,1960-12,9.3
120,1961-01,8.7
121,1961-02,11.8
122,1961-03,11.8
123,1961-04,13.9
124,1961-05,13.9
125,1961-06,17.3
126,1961-07,17.8
127,1961-08,18.0
128,1961-09,17.9
129,1961-10,16.0
130,1961-11,11.8
131,1961-12,8.5
132,1962-01,8.5
133,1962-02,10.1
134,1962-03,10.3
135,1962-04,13.3
136,1962-05,13.7
137,1962-06,19.4
138,1962-07,15.7
139,1962-08,17.6
140,1962-09,16.1
141,1962-10,15.3
142,1962-11,13.2
143,1962-12,9.8
144,1963-01,7.6
145,1963-02,13.3
146,1963-03,11.1
147,1963-04,11.7
148,1963-05,13.8
149,1963-06,14.8
150,1963-07,16.8
151,1963-08,17.5
152,1963-09,19.1
153,1963-10,16.8
154,1963-11,12.4
155,1963-12,7.9
156,1964-01,9.0
157,1964-02,10.4
158,1964-03,11.0
159,1964-04,12.3
160,1964-05,13.2
161,1964-06,16.3
162,1964-07,17.3
163,1964-08,17.9
164,1964-09,17.5
165,1964-10,16.1
166,1964-11,10.9
167,1964-12,10.7
168,1965-01,9.2
169,1965-02,10.2
170,1965-03,11.3
171,1965-04,12.5
172,1965-05,12.9
173,1965-06,14.6
174,1965-07,15.7
175,1965-08,17.4
176,1965-09,16.2
177,1965-10,16.9
178,1965-11,12.9
179,1965-12,7.2
180,1966-01,8.7
181,1966-02,9.3
182,1966-03,10.9
183,1966-04,14.4
184,1966-05,14.1
185,1966-06,16.3
186,1966-07,15.8
187,1966-08,16.9
188,1966-09,17.8
189,1966-10,15.8
190,1966-11,12.6
191,1966-12,9.4
192,1967-01,10.0
193,1967-02,10.8
194,1967-03,11.3
195,1967-04,10.5
196,1967-05,14.7
197,1967-06,15.2
198,1967-07,17.1
199,1967-08,17.1
200,1967-09,19.1
201,1967-10,17.5
202,1967-11,14.3
203,1967-12,8.9
204,1968-01,8.1
205,1968-02,12.5
206,1968-03,12.5
207,1968-04,12.7
208,1968-05,13.5
209,1968-06,16.3
210,1968-07,16.6
211,1968-08,18.2
212,1968-09,17.8
213,1968-10,15.3
214,1968-11,12.4
215,1968-12,8.8
216,1969-01,8.4
217,1969-02,9.3
218,1969-03,11.2
219,1969-04,12.2
220,1969-05,15.3
221,1969-06,16.2
222,1969-07,16.8
223,1969-08,17.2
224,1969-09,17.7
225,1969-10,16.2
226,1969-11,13.4
227,1969-12,12.1
228,1970-01,11.3
229,1970-02,12.7
230,1970-03,13.5
231,1970-04,12.1
232,1970-05,15.8
233,1970-06,15.8
234,1970-07,17.2
235,1970-08,16.4
236,1970-09,18.6
237,1970-10,14.7
238,1970-11,13.3
239,1970-12,9.3
240,1971-01,9.1
241,1971-02,10.0
242,1971-03,11.2
243,1971-04,11.7
244,1971-05,13.6
245,1971-06,15.6
246,1971-07,15.9
247,1971-08,17.8
248,1971-09,19.2
249,1971-10,13.9
250,1971-11,11.8
251,1971-12,7.8
252,1972-01,7.6
253,1972-02,11.1
254,1972-03,12.9
255,1972-04,13.0
256,1972-05,14.2
257,1972-06,16.1
258,1972-07,17.7
259,1972-08,17.8
260,1972-09,17.0
261,1972-10,16.1
262,1972-11,11.8
263,1972-12,7.2
264,1973-01,8.9
265,1973-02,11.6
266,1973-03,10.8
267,1973-04,13.7
268,1973-05,14.8
269,1973-06,17.5
270,1973-07,16.6
271,1973-08,15.9
272,1973-09,17.5
273,1973-10,15.9
274,1973-11,12.2
275,1973-12,10.0
276,1974-01,9.2
277,1974-02,9.8
278,1974-03,11.9
279,1974-04,12.7
280,1974-05,13.4
281,1974-06,15.8
282,1974-07,17.2
283,1974-08,17.6
284,1974-09,16.9
285,1974-10,16.7
286,1974-11,12.1
287,1974-12,9.2
288,1975-01,8.6
289,1975-02,10.5
290,1975-03,10.8
291,1975-04,10.3
292,1975-05,14.7
293,1975-06,15.4
294,1975-07,16.6
295,1975-08,17.2
296,1975-09,16.3
297,1975-10,14.9
298,1975-11,11.2
299,1975-12,9.6
300,1976-01,9.2
301,1976-02,10.3
302,1976-03,10.6
303,1976-04,11.8
304,1976-05,14.6
305,1976-06,17.3
306,1976-07,16.9
307,1976-08,17.9
308,1976-09,17.4
309,1976-10,16.3
310,1976-11,13.9
311,1976-12,9.3
312,1977-01,8.3
313,1977-02,11.8
314,1977-03,10.5
315,1977-04,13.3
316,1977-05,13.2
317,1977-06,15.8
318,1977-07,16.9
319,1977-08,17.8
320,1977-09,17.5
321,1977-10,15.8
322,1977-11,12.9
323,1977-12,11.3
324,1978-01,11.4
325,1978-02,11.6
326,1978-03,13.9
327,1978-04,12.7
328,1978-05,15.8
329,1978-06,15.8
330,1978-08,17.3
331,1978-09,18.8
332,1978-10,16.2
333,1978-11,11.4
334,1978-12,7.8
335,1979-01,8.6
336,1979-02,10.3
337,1979-03,12.5
338,1979-04,13.1
339,1979-05,15.8
340,1979-06,16.1
341,1979-07,17.7
342,1979-08,17.6
343,1979-09,19.6
344,1979-10,17.0
345,1979-11,14.3
346,1979-12,10.5
347,1980-01,10.3
348,1980-02,12.4
349,1980-03,11.7
350,1980-04,13.3
351,1980-05,13.5
352,1980-06,15.5
353,1980-07,17.2
354,1980-08,16.5
355,1980-09,17.3
356,1980-10,16.2
357,1980-11,13.3
358,1980-12,10.4
359,1981-01,11.0
360,1981-09,17.3
361,1981-10,14.8
362,1981-11,13.5
363,1981-12,11.3
364,1982-01,7.3
365,1982-02,10.9
366,1982-03,10.7
367,1982-04,12.6
368,1982-05,14.1
369,1982-06,15.4
370,1982-07,16.5
371,1982-08,17.4
372,1982-09,17.8
373,1982-10,16.2
374,1982-11,11.3
375,1982-12,9.4
376,1983-01,8.9
377,1983-02,11.9
378,1983-03,12.3
379,1983-04,12.6
380,1983-05,14.3
381,1983-06,16.4
382,1983-07,18.4
383,1983-08,19.4
384,1983-09,20.2
385,1983-10,18.1
386,1983-11,13.1
387,1983-12,11.9
388,1984-01,10.7
389,1984-02,11.6
390,1984-03,13.9
391,1984-04,13.3
392,1984-05,16.7
393,1984-06,16.3
394,1984-07,18.7
395,1984-08,17.9
396,1984-09,20.9
397,1984-10,15.8
398,1984-11,12.1
399,1984-12,8.8
400,1985-01,8.0
401,1985-02,11.0
402,1985-03,10.8
403,1985-04,15.0
404,1985-05,15.0
405,1985-06,18.4
406,1985-07,18.2
407,1985-08,17.8
408,1985-09,17.2
409,1985-10,15.9
410,1985-11,11.1
411,1985-12,8.3
412,1986-01,12.2
413,1986-02,13.5
414,1986-03,13.9
415,1986-04,13.4
416,1986-05,14.8
417,1986-06,17.2
418,1986-07,16.9
419,1986-08,16.1
420,1986-09,17.2
421,1986-10,16.1
422,1986-11,13.9
423,1986-12,10.0
424,1987-01,9.4
425,1987-02,11.7
426,1987-03,12.8
427,1987-04,15.0
428,1987-05,16.5
429,1987-06,17.0
430,1987-07,17.3
431,1987-08,18.3
432,1987-09,17.7
433,1987-10,17.8
434,1987-11,13.9
435,1987-12,10.2
436,1988-01,10.2
437,1988-02,12.5
438,1988-03,13.6
439,1988-04,14.5
440,1988-05,15.3
441,1988-06,16.9
442,1988-07,18.5
443,1988-08,18.3
444,1988-09,17.3
445,1988-10,16.3
446,1988-11,13.6
447,1988-12,10.2
448,1989-01,9.1
449,1989-02,9.1
450,1989-03,12.8
451,1989-04,16.0
452,1989-05,15.4
453,1989-06,17.1
454,1989-07,17.1
455,1989-08,17.7
456,1989-09,16.3
457,1989-10,16.0
458,1989-11,13.6
459,1989-12,10.1
460,1990-01,9.9
461,1990-02,9.6
462,1990-03,11.8
463,1990-04,14.7
464,1990-05,15.0
465,1990-06,16.9
466,1990-07,18.1
467,1990-08,19.1
468,1990-09,19.1
469,1990-10,17.3
470,1990-11,13.3
471,1990-12,8.0
472,1991-01,10.1
473,1991-02,12.9
474,1991-03,11.2
475,1991-04,13.2
476,1991-05,13.8
477,1991-06,15.2
478,1991-07,17.6
479,1991-08,18.0
480,1991-09,17.2
481,1991-10,17.1
482,1991-11,14.2
483,1991-12,10.4
484,1992-01,9.4
485,1992-02,13.4
486,1992-03,14.1
487,1992-04,15.9
488,1992-05,17.4
489,1992-06,17.6
490,1992-07,18.8
