,month,mean
0,1951-01,-1.1
1,1951-02,2.5
2,1951-03,2.8
3,1951-04,10.1
4,1951-05,15.0
5,1951-07,24.3
6,1951-08,23.1
7,1951-09,18.1
8,1951-10,10.3
9,1951-11,2.8
10,1951-12,-3.3
11,1952-01,-2.2
12,1952-02,-1.9
13,1952-03,0.7
14,1952-04,11.0
15,1952-05,15.9
16,1952-06,19.9
17,1952-07,23.7
18,1952-08,24.6
19,1952-09,20.1
20,1952-10,14.2
21,1952-11,1.3
22,1952-12,0.0
23,1953-01,4.2
24,1953-02,2.8
25,1953-03,6.2
26,1953-04,8.0
27,1953-05,11.6
28,1953-06,19.5
29,1953-07,25.8
30,1953-08,24.3
31,1953-09,20.2
32,1953-10,12.3
33,1953-11,7.8
34,1953-12,-1.1
35,1954-01,1.3
36,1954-02,2.4
37,1954-03,3.6
38,1954-04,12.1
39,1954-05,16.4
40,1954-06,18.7
41,1954-07,25.7
42,1954-08,22.9
43,1954-09,18.2
44,1954-10,11.3
45,1954-11,6.8
46,1954-12,-0.4
47,1955-01,-6.1
48,1955-02,-4.3
49,1955-03,2.8
50,1955-04,7.6
51,1955-05,13.8
52,1955-06,19.1
53,1955-07,24.2
54,1955-08,24.6
55,1955-09,18.3
56,1955-10,11.6
57,1955-11,2.3
58,1955-12,2.8
59,1956-01,1.9
60,1956-02,-3.1
61,1956-03,5.8
62,1956-04,10.1
63,1956-05,16.3
64,1956-06,20.9
65,1956-07,24.7
66,1956-08,22.6
67,1956-09,19.6
68,1956-10,11.2
69,1956-11,1.3
70,1956-12,-1.1
71,1957-01,-3.3
72,1957-02,4.6
73,1957-03,5.9
74,1957-04,9.3
75,1957-05,14.3
76,1957-06,19.5
77,1957-07,25.2
78,1957-08,24.7
79,1957-09,18.2
80,1957-10,11.4
81,1957-11,1.5
82,1957-12,0.6
83,1958-01,-0.7
84,1958-02,5.4
85,1958-03,3.9
86,1958-04,8.6
87,1958-05,18.4
88,1958-06,21.5
89,1958-07,24.1
90,1958-08,25.4
91,1958-09,18.7
92,1958-10,13.1
93,1958-11,3.9
94,1958-12,2.4
95,1959-01,1.1
96,1959-02,2.4
97,1959-03,5.2
98,1959-04,11.1
99,1959-05,13.3
100,1959-06,22.1
101,1959-07,25.1
102,1959-08,23.5
103,1959-09,16.7
104,1959-10,10.8
105,1959-11,3.2
106,1959-12,-2.3
107,1960-01,-3.6
108,1960-02,-1.8
109,1960-03,5.8
110,1960-04,10.4
111,1960-05,15.0
112,1960-06,21.8
113,1960-07,27.4
114,1960-08,23.6
115,1960-09,20.2
116,1960-10,11.2
117,1960-11,4.7
118,1960-12,-1.3
119,1961-01,-1.7
120,1961-02,3.4
121,1961-03,6.2
122,1961-04,10.1
123,1961-05,16.1
124,1961-06,23.8
125,1961-07,27.0
126,1961-08,25.6
127,1961-09,15.7
128,1961-10,10.1
129,1961-11,2.0
130,1961-12,-2.1
131,1962-01,-6.3
132,1962-02,-0.3
133,1962-03,1.8
134,1962-04,11.7
135,1962-05,14.9
136,1962-06,20.2
137,1962-07,24.6
138,1962-08,22.8
139,1962-09,18.8
140,1962-10,13.0
141,1962-11,5.4
142,1962-12,-2.0
143,1963-01,-6.8
144,1963-02,3.7
145,1963-03,4.2
146,1963-04,7.0
147,1963-05,15.9
148,1963-06,17.4
149,1963-07,25.6
150,1963-08,25.7
151,1963-09,19.9
152,1963-10,14.4
153,1963-11,9.4
154,1963-12,-4.2
155,1964-01,-5.4
156,1964-02,-3.4
157,1964-03,0.0
158,1964-04,7.7
159,1964-05,13.3
160,1964-06,17.3
161,1964-07,25.4
162,1964-08,22.3
163,1964-09,16.4
164,1964-10,11.7
165,1964-11,3.4
166,1964-12,0.7
167,1965-01,-1.0
168,1965-02,0.6
169,1965-03,2.7
170,1965-04,10.4
171,1965-05,12.6
172,1965-06,18.2
173,1965-07,23.9
174,1965-08,21.6
175,1965-09,14.3
176,1965-10,12.7
177,1965-11,7.8
178,1965-12,-1.0
179,1966-01,-0.8
180,1966-02,-1.4
181,1966-03,5.3
182,1966-04,9.8
183,1966-05,17.1
184,1966-06,20.7
185,1966-07,26.7
186,1966-08,23.4
187,1966-09,19.8
188,1966-10,9.9
189,1966-11,6.3
190,1966-12,-1.6
191,1967-01,-1.3
192,1967-02,3.1
193,1967-03,6.8
194,1967-04,8.0
195,1967-05,13.5
196,1967-06,18.2
197,1967-07,25.9
198,1967-08,26.0
199,1967-09,19.3
200,1967-10,11.4
201,1967-11,6.2
202,1967-12,-3.8
203,1968-01,-4.2
204,1968-02,3.4
205,1968-03,7.1
206,1968-04,7.4
207,1968-05,13.6
208,1968-06,19.7
209,1968-07,25.7
210,1968-08,20.8
211,1968-09,20.8
212,1968-10,10.9
213,1968-11,3.6
214,1968-12,-2.7
215,1969-01,0.2
216,1969-02,-1.8
217,1969-03,3.6
218,1969-04,10.2
219,1969-05,17.8
220,1969-06,18.2
221,1969-07,24.8
222,1969-08,25.3
223,1969-09,20.9
224,1969-10,8.7
225,1969-11,4.2
226,1969-12,0.2
227,1970-01,1.4
228,1970-02,4.7
229,1970-03,4.8
230,1970-04,6.7
231,1970-05,14.9
232,1970-06,19.8
233,1970-07,24.8
234,1970-08,25.3
235,1970-09,15.0
236,1970-10,8.4
237,1970-11,5.9
238,1970-12,-1.6
239,1971-01,0.2
240,1971-02,1.6
241,1971-03,4.8
242,1971-04,9.0
243,1971-05,13.7
244,1971-06,19.7
245,1971-07,24.7
246,1971-08,24.9
247,1971-09,15.5
248,1971-10,8.6
249,1971-11,3.1
250,1971-12,-2.8
251,1972-01,-1.2
252,1972-02,3.2
253,1972-03,8.3
254,1972-04,8.9
255,1972-05,15.8
256,1972-06,22.2
257,1972-07,25.1
258,1972-08,24.3
259,1972-09,17.7
260,1972-10,12.0
261,1972-11,4.1
262,1972-12,-5.2
263,1973-01,-7.0
264,1973-02,0.2
265,1973-03,5.4
266,1973-04,8.7
267,1973-05,16.4
268,1973-06,21.2
269,1973-07,24.8
270,1973-08,24.8
271,1973-09,16.4
272,1973-10,12.3
273,1973-11,4.7
274,1973-12,0.8
275,1974-01,-2.9
276,1974-02,-0.3
277,1974-03,7.3
278,1974-04,8.9
279,1974-05,14.9
280,1974-06,23.0
281,1974-07,26.2
282,1974-08,23.4
283,1974-09,19.2
284,1974-10,12.6
285,1974-11,6.3
286,1974-12,-0.2
287,1975-01,-2.6
288,1975-02,1.9
289,1975-03,5.1
290,1975-04,6.8
291,1975-05,12.4
292,1975-06,18.2
293,1975-07,26.0
294,1975-08,23.0
295,1975-09,18.6
296,1975-10,11.9
297,1975-11,2.9
298,1975-12,0.5
299,1976-01,-2.3
300,1976-02,1.1
301,1976-03,3.3
302,1976-04,9.6
303,1976-06,19.8
304,1976-07,25.9
305,1976-08,22.4
306,1976-09,19.1
307,1976-10,10.6
308,1976-11,5.4
309,1976-12,-1.4
310,1977-01,-2.9
311,1977-02,2.1
312,1977-03,3.2
313,1977-04,12.3
314,1977-05,12.8
315,1977-07,25.2
316,1977-08,23.9
317,1977-09,19.1
318,1977-10,13.1
319,1977-11,5.8
320,1977-12,3.3
321,1978-01,2.4
322,1978-02,4.3
323,1978-03,8.9
324,1978-04,10.0
325,1978-05,13.3
326,1978-06,20.7
327,1978-08,23.3
328,1978-09,17.8
329,1978-10,13.1
330,1978-12,-2.9
331,1979-01,-5.5
332,1979-02,0.3
333,1979-03,6.2
334,1979-04,10.6
335,1979-05,15.8
336,1979-06,21.1
337,1979-07,26.1
338,1979-08,24.2
339,1979-09,21.9
340,1979-10,13.7
341,1979-11,2.5
342,1979-12,0.5
343,1980-01,0.9
344,1980-02,2.2
345,1980-03,5.3
346,1980-04,11.5
347,1980-05,13.9
348,1980-06,19.7
349,1980-07,25.3
350,1980-08,23.4
351,1980-09,19.1
352,1980-10,11.4
353,1980-11,5.2
354,1980-12,0.9
355,1981-01,0.1
356,1981-02,3.5
357,1981-03,6.7
358,1981-04,11.9
359,1981-05,14.2
360,1981-09,20.3
361,1981-10,10.3
362,1981-11,6.8
363,1981-12,2.4
364,1982-01,-1.2
365,1982-02,1.7
366,1982-03,6.4
367,1982-04,8.1
368,1982-05,13.7
369,1982-06,20.0
370,1982-07,24.2
371,1982-08,25.8
372,1982-09,17.8
373,1982-10,9.3
374,1982-11,3.3
375,1982-12,-1.5
376,1983-01,1.8
377,1983-02,4.1
378,1983-03,7.0
379,1983-04,7.7
380,1983-05,13.2
381,1983-06,19.8
382,1983-07,24.8
383,1983-08,25.5
384,1983-09,19.9
385,1983-10,13.3
386,1983-11,6.1
387,1983-12,-0.6
388,1984-01,-4.6
