,month,mean
0,1951-01,13.2
1,1951-02,13.1
2,1951-03,14.8
3,1951-04,15.9
4,1951-05,16.8
5,1951-06,18.7
6,1951-07,20.7
7,1951-08,20.6
8,1951-09,19.9
9,1951-10,19.3
10,1951-11,16.4
11,1951-12,13.1
12,1952-01,12.4
13,1952-02,14.3
14,1952-03,13.3
15,1952-04,15.4
16,1952-05,17.8
17,1952-06,17.7
18,1952-07,20.2
19,1952-08,21.2
20,1952-09,21.4
21,1952-10,18.4
22,1952-11,15.3
23,1952-12,13.6
24,1953-01,15.6
25,1953-02,13.9
26,1953-03,14.2
27,1953-04,14.9
28,1953-05,17.2
29,1953-06,18.2
30,1953-07,21.6
31,1953-08,21.1
32,1953-09,20.1
33,1953-10,19.7
34,1953-11,17.3
35,1953-12,14.3
36,1954-01,12.8
37,1954-02,16.2
38,1954-03,14.0
39,1954-04,16.1
40,1954-05,17.2
41,1954-06,18.3
42,1954-07,22.2
43,1954-08,21.7
44,1954-09,20.7
45,1954-10,17.9
46,1954-11,17.6
47,1954-12,14.6
48,1955-01,12.2
49,1955-02,13.1
50,1955-03,15.4
51,1955-04,15.3
52,1955-05,16.5
53,1955-06,18.2
54,1955-07,20.2
55,1955-08,22.4
56,1955-09,22.0
57,1955-10,17.4
58,1955-11,15.6
59,1955-12,14.0
60,1956-01,13.1
61,1956-02,12.0
62,1956-03,14.5
63,1956-04,14.9
64,1956-05,18.1
65,1956-06,19.1
66,1956-07,20.8
67,1956-08,21.0
68,1956-09,22.3
69,1956-10,18.7
70,1956-11,17.9
71,1956-12,15.5
72,1957-01,13.6
73,1957-02,15.6
74,1957-03,15.4
75,1957-04,16.0
76,1957-05,17.4
77,1957-06,20.1
78,1957-07,21.8
79,1957-08,23.0
80,1957-09,21.2
81,1957-10,18.7
82,1957-11,16.0
83,1957-12,16.3
84,1958-01,15.3
85,1958-02,15.8
86,1958-03,14.0
87,1958-04,17.7
88,1958-05,18.8
89,1958-06,20.0
90,1958-07,21.2
91,1958-08,22.8
92,1958-09,22.6
93,1958-10,21.6
94,1958-11,16.6
95,1958-12,16.6
96,1959-01,15.4
97,1959-02,14.0
98,1959-03,17.4
99,1959-04,18.2
100,1959-05,18.0
101,1959-06,20.1
102,1959-07,23.2
103,1959-08,23.1
104,1959-09,22.0
105,1959-10,19.6
106,1959-11,18.5
107,1959-12,15.7
108,1960-01,12.7
109,1960-02,13.8
110,1960-03,15.6
111,1960-04,17.2
112,1960-05,18.2
113,1960-06,19.1
114,1960-07,21.8
115,1960-08,21.8
116,1960-09,22.4
117,1960-10,18.9
118,1960-11,15.8
119,1960-12,13.5
120,1961-01,16.0
121,1961-02,15.0
122,1961-03,14.9
123,1961-04,16.6
124,1961-05,16.4
125,1961-06,18.2
126,1961-07,21.2
127,1961-08,22.6
128,1961-09,20.9
129,1961-10,19.3
130,1961-11,15.7
131,1961-12,13.4
132,1962-01,13.7
133,1962-02,13.6
134,1962-03,13.2
135,1962-04,16.6
136,1962-05,17.0
137,1962-06,17.7
138,1962-07,20.2
139,1962-08,21.4
140,1962-09,20.3
141,1962-10,18.1
142,1962-11,15.4
143,1962-12,13.6
144,1963-01,12.8
145,1963-02,16.2
146,1963-03,14.2
147,1963-04,14.8
148,1963-05,17.6
149,1963-06,18.2
150,1963-07,20.1
151,1963-08,22.3
152,1963-09,23.5
153,1963-10,20.1
154,1963-11,16.2
155,1963-12,14.7
156,1964-01,13.0
157,1964-02,13.7
158,1964-03,14.3
159,1964-04,15.7
160,1964-05,16.1
161,1964-06,17.8
162,1964-07,20.6
163,1964-08,21.5
164,1964-09,19.8
165,1964-10,20.3
166,1964-11,15.1
167,1964-12,13.1
168,1965-01,13.3
169,1965-02,13.4
170,1965-03,14.8
171,1965-04,16.0
172,1965-05,17.0
173,1965-06,17.6
174,1965-07,19.8
175,1965-08,22.2
176,1965-09,20.3
177,1965-10,20.8
178,1965-11,16.0
179,1965-12,12.8
180,1966-01,12.2
181,1966-02,12.6
182,1966-03,14.5
183,1966-04,16.3
184,1966-05,17.5
185,1966-06,19.2
186,1966-07,20.7
187,1966-08,22.6
188,1966-09,21.1
189,1966-10,19.8
190,1966-11,16.6
191,1966-12,14.0
192,1967-01,12.8
