,month,mean
0,1951-01,-4.3
1,1951-02,-1.2
2,1951-03,-4.5
3,1951-05,3.7
4,1951-06,6.4
5,1951-08,9.4
6,1951-09,6.9
7,1951-10,3.0
8,1951-11,1.4
9,1951-12,-0.2
10,1952-01,-0.1
11,1952-02,-0.2
12,1952-03,-2.9
13,1952-04,-3.0
14,1952-05,2.0
15,1952-06,4.2
16,1952-07,6.7
17,1952-08,7.9
18,1952-09,6.8
19,1952-10,4.3
20,1952-11,1.7
21,1952-12,-2.9
22,1953-01,-4.3
23,1953-02,-7.3
24,1953-03,-7.1
25,1953-04,-1.5
26,1953-05,1.9
27,1953-06,5.8
28,1953-07,9.7
29,1953-08,10.0
30,1953-09,7.2
31,1953-10,2.0
32,1953-11,0.7
33,1953-12,
34,1954-01,-5.9
35,1954-02,-13.1
36,1954-03,-3.3
37,1954-04,-1.9
38,1954-05,1.8
39,1954-06,4.4
40,1954-07,12.4
41,1954-08,8.4
42,1954-09,7.3
43,1954-10,2.3
44,1954-11,1.2
45,1954-12,-3.6
46,1955-01,-3.1
47,1955-02,-3.4
48,1955-03,-5.4
49,1955-04,-3.9
50,1955-05,0.4
51,1955-06,3.9
52,1955-07,7.2
53,1955-08,8.4
54,1955-09,
55,1955-10,0.9
56,1955-11,1.1
57,1955-12,-1.1
58,1956-01,-5.6
59,1956-02,-6.7
60,1956-03,-7.8
61,1956-04,-5.0
62,1956-05,0.6
63,1956-06,3.7
64,1956-07,6.7
65,1956-08,6.7
66,1956-09,7.1
67,1956-10,3.5
68,1956-11,-1.5
69,1956-12,-4.8
70,1957-01,-0.7
71,1957-02,-4.7
72,1957-03,-4.6
73,1957-04,0.3
74,1957-05,3.5
75,1957-06,6.5
76,1957-07,8.8
77,1957-08,9.9
78,1957-09,
79,1957-10,4.8
80,1957-11,3.3
81,1957-12,-3.1
82,1958-01,-7.3
83,1958-02,-5.5
84,1958-03,-0.8
85,1958-04,-0.2
86,1958-05,1.9
87,1958-06,5.9
88,1958-07,7.9
89,1958-08,8.7
90,1958-09,7.2
91,1958-10,3.8
92,1958-11,3.9
93,1958-12,0.1
94,1959-01,-1.1
95,1959-02,-0.4
96,1959-03,-7.3
97,1959-04,-1.9
98,1959-05,1.8
99,1959-06,4.7
100,1959-07,7.2
101,1959-08,9.3
102,1959-09,7.3
103,1959-10,4.4
104,1959-11,1.7
105,1959-12,-3.2
106,1960-01,-2.2
107,1960-02,-2.9
108,1960-03,-4.0
109,1960-04,-7.7
110,1960-05,1.1
111,1960-06,4.2
112,1960-07,8.1
113,1960-08,8.4
114,1960-09,6.4
115,1960-10,3.1
116,1960-11,-0.6
117,1960-12,-1.0
118,1961-01,-2.5
119,1961-02,-7.7
120,1961-03,-7.3
121,1961-04,-2.0
122,1961-05,2.8
123,1961-06,5.2
124,1961-07,7.2
125,1961-08,8.1
126,1961-09,7.2
127,1961-10,3.3
128,1961-11,1.1
129,1961-12,-5.6
130,1962-01,-6.6
131,1962-02,-1.6
132,1962-03,-3.2
133,1962-04,-1.7
134,1962-05,1.0
135,1962-06,4.9
136,1962-07,8.3
137,1962-08,8.9
138,1962-09,5.7
139,1962-10,2.4
140,1962-11,0.2
141,1962-12,-2.7
142,1963-01,-0.8
143,1963-02,-5.9
144,1963-03,-1.4
145,1963-04,-1.4
146,1963-05,2.2
147,1963-06,4.7
148,1963-07,7.6
149,1963-08,8.1
150,1963-09,6.8
151,1963-10,2.2
152,1963-11,-1.3
153,1963-12,-1.0
154,1964-01,-3.0
155,1964-02,-9.1
156,1964-03,-5.1
157,1964-04,-1.3
158,1964-05,1.2
159,1964-06,5.6
160,1964-07,7.3
161,1964-08,8.3
162,1964-09,6.3
163,1964-10,3.0
164,1964-11,-0.3
165,1964-12,-1.2
166,1965-01,-5.1
167,1965-02,-8.4
168,1965-03,-4.1
169,1965-04,-1.2
170,1965-05,0.5
171,1965-06,4.4
172,1965-07,7.2
173,1965-08,8.1
174,1965-09,6.7
175,1965-10,2.1
176,1965-11,1.3
177,1965-12,-2.3
178,1966-01,0.3
179,1966-02,-0.9
180,1966-03,-5.6
181,1966-04,-2.2
182,1966-05,1.1
183,1966-06,4.9
184,1966-07,7.6
185,1966-08,9.1
186,1966-09,6.2
187,1966-10,1.7
188,1966-11,1.6
189,1966-12,-2.4
190,1967-01,-1.6
191,1967-02,-2.2
192,1967-03,0.8
193,1967-04,2.1
194,1967-05,3.6
195,1967-06,6.7
196,1967-07,9.0
197,1967-08,9.7
198,1967-09,7.4
199,1967-10,3.2
200,1967-11,1.8
201,1967-12,-0.4
202,1968-01,-1.1
203,1968-02,-8.0
204,1968-03,-4.6
205,1968-04,-4.3
206,1968-05,1.1
207,1968-06,4.0
208,1968-07,7.7
209,1968-08,8.6
210,1968-09,6.1
211,1968-10,2.8
212,1968-11,0.7
213,1968-12,-1.2
214,1969-01,-0.2
215,1969-02,-4.3
216,1969-03,-3.6
217,1969-04,-1.3
218,1969-05,2.6
219,1969-06,5.6
220,1969-07,9.1
221,1969-08,9.9
222,1969-09,8.1
223,1969-10,3.9
224,1969-11,0.3
225,1969-12,-1.4
226,1970-01,-7.0
227,1970-02,-3.2
228,1970-03,-3.7
229,1970-04,-3.1
230,1970-05,1.2
231,1970-06,5.1
232,1970-07,7.2
233,1970-08,7.5
234,1970-09,6.6
235,1970-10,3.8
236,1970-11,2.7
237,1970-12,-1.6
238,1971-01,-4.8
239,1971-02,-9.3
240,1971-03,-9.5
241,1971-04,-5.8
242,1971-05,-2.3
243,1971-06,6.2
244,1971-07,5.5
245,1971-08,6.9
246,1971-09,5.7
247,1971-10,3.2
248,1971-11,3.3
249,1971-12,1.7
250,1972-02,-9.7
251,1972-03,-11.7
252,1972-04,-3.9
253,1972-05,0.4
254,1972-06,3.2
255,1972-07,5.8
256,1972-08,7.7
257,1972-09,6.7
258,1972-10,3.2
259,1972-12,-1.1
260,1973-01,-5.7
261,1973-02,-3.6
262,1973-03,-6.6
263,1973-05,-0.9
264,1973-06,4.1
265,1973-07,6.8
266,1973-08,7.7
267,1973-09,6.6
268,1973-10,3.1
269,1973-11,2.9
270,1973-12,-2.6
271,1974-01,-3.1
272,1974-02,-9.6
273,1974-03,-3.4
274,1974-04,-3.9
275,1974-05,1.8
276,1974-06,4.2
277,1974-07,7.4
278,1974-08,8.5
279,1974-09,7.1
280,1974-10,2.3
281,1974-11,-1.3
282,1974-12,-5.7
283,1975-01,-8.0
284,1975-02,-9.3
285,1975-03,-6.8
286,1975-04,-2.6
287,1975-05,0.0
288,1975-06,3.4
289,1975-07,8.1
290,1975-11,-1.1
291,1975-12,-1.5
292,1976-02,-10.7
293,1976-03,-10.7
294,1976-09,7.4
295,1976-12,-4.7
296,1977-02,-2.6
297,1977-03,-4.9
298,1977-07,9.3
299,1977-08,16.0
300,1977-09,8.8
301,1977-10,2.8
302,1977-11,-1.1
303,1978-01,
304,1978-02,-2.6
305,1978-03,-3.6
306,1978-04,1.6
307,1978-06,2.8
308,1978-10,4.0
309,1978-11,3.3
310,1978-12,0.1
311,1979-01,1.3
312,1979-02,-1.0
313,1979-03,-0.9
314,1979-04,2.3
315,1979-05,5.3
316,1979-06,8.2
317,1979-07,9.2
318,1979-08,10.3
319,1979-09,8.9
320,1979-10,6.3
321,1979-11,2.6
322,1979-12,
323,1980-01,-2.7
324,1980-02,-4.6
325,1980-04,-0.6
326,1980-05,3.4
327,1980-06,7.1
328,1980-07,8.6
329,1980-08,8.1
330,1980-09,6.8
331,1980-10,2.8
332,1980-11,1.1
333,1980-12,-1.2
334,1981-01,-2.3
335,1981-02,-4.5
336,1981-03,-0.7
337,1981-04,1.2
338,1981-05,
339,1981-06,6.1
340,1981-07,9.2
341,1981-08,8.5
342,1981-10,3.2
343,1981-11,-0.7
344,1981-12,-2.2
345,1982-01,-3.1
346,1982-02,-2.4
347,1982-03,-1.4
348,1982-04,-1.7
349,1982-05,1.8
350,1982-06,5.2
351,1982-07,6.8
352,1982-08,9.1
353,1982-09,6.0
354,1982-10,3.5
355,1982-11,1.6
356,1982-12,-1.3
357,1983-01,-5.3
358,1983-02,-2.6
359,1983-03,-2.3
360,1981-10,3.2
361,1981-11,-0.7
362,1981-12,-2.2
363,1982-01,-3.1
364,1982-02,-2.4
365,1982-03,-1.4
366,1982-04,-1.7
367,1982-05,1.8
368,1982-06,5.2
369,1982-07,6.8
370,1982-08,9.1
371,1982-09,6.0
372,1982-10,3.5
373,1982-11,1.6
374,1982-12,-1.3
375,1983-01,-5.3
376,1983-02,-2.6
377,1983-03,-2.3
378,1983-04,-0.1
379,1983-05,2.7
380,1983-06,6.5
381,1983-07,8.5
382,1983-08,8.9
383,1983-09,6.7
384,1983-10,2.7
385,1983-11,-0.6
386,1983-12,3.3
387,1984-01,-2.9
388,1984-02,-12.3
389,1984-03,-4.1
390,1984-04,-3.4
391,1984-05,0.8
392,1984-06,6.3
393,1984-09,7.9
394,1984-10,3.9
395,1984-11,1.4
396,1984-12,0.4
397,1985-01,1.0
398,1985-02,-0.5
399,1985-03,-5.6
400,1985-04,-6.6
401,1985-05,1.6
402,1985-06,3.7
403,1985-07,7.7
404,1985-08,8.6
405,1985-09,6.9
406,1985-10,2.9
407,1985-11,2.9
408,1985-12,1.1
409,1986-01,-5.6
410,1986-02,-3.4
411,1986-03,-6.4
412,1986-04,-2.3
413,1986-05,2.2
414,1986-06,6.0
415,1986-07,8.5
416,1986-08,8.8
417,1986-09,8.4
418,1986-10,3.9
419,1986-11,1.7
420,1986-12,-1.7
421,1987-01,-2.6
422,1987-02,-2.3
423,1987-03,-1.4
424,1987-04,-1.4
425,1987-05,2.6
426,1987-06,6.1
427,1987-07,8.7
428,1987-08,9.6
429,1987-09,6.3
430,1987-10,3.6
431,1987-11,-2.2
432,1987-12,-3.4
433,1988-01,-2.6
434,1988-02,-4.3
435,1988-03,-7.9
436,1988-04,-3.4
437,1988-05,1.7
438,1988-06,5.7
439,1988-07,8.7
440,1988-08,9.3
441,1988-09,7.2
442,1988-10,4.0
443,1988-11,-1.4
444,1988-12,-2.4
445,1989-01,-5.4
446,1989-02,1.2
447,1989-03,-0.8
448,1989-04,1.0
449,1989-05,3.2
450,1989-06,5.9
451,1989-07,8.5
452,1989-08,10.0
453,1989-09,8.4
454,1989-10,4.6
455,1989-11,-1.0
456,1989-12,-1.4
457,1990-01,-2.8
458,1990-02,-6.9
459,1990-03,-3.0
460,1990-04,-0.8
461,1990-05,3.2
462,1990-06,6.3
463,1990-07,8.8
464,1990-08,9.4
465,1990-09,6.9
466,1990-10,3.4
467,1990-11,0.8
468,1990-12,-0.1
469,1991-01,-3.8
470,1991-02,-12.4
471,1991-03,-2.4
472,1991-04,-2.3
473,1991-05,2.4
474,1991-06,5.5
475,1991-07,9.2
476,1991-08,9.6
477,1991-09,7.7
478,1991-10,4.8
479,1991-11,0.9
480,1991-12,-2.9
481,1992-01,-4.1
482,1992-02,-3.8
483,1992-03,-6.3
484,1992-04,-2.3
485,1992-05,0.8
486,1992-06,5.8
487,1992-07,7.7
488,1992-08,8.7
489,1992-09,5.7
490,1992-10,2.9
491,1992-11,-0.6
492,1992-12,-2.8
493,1993-01,-5.3
494,1993-02,-3.2
495,1993-03,-2.7
496,1993-04,0.8
497,1993-05,3.0
498,1993-06,6.2
499,1993-07,9.7
500,1993-08,10.5
501,1993-09,7.8
502,1993-10,5.1
503,1993-11,2.5
504,1993-12,-2.3
505,1994-01,-2.9
506,1994-02,-1.4
507,1994-03,-8.0
508,1994-04,-3.5
509,1994-05,1.0
510,1994-06,5.6
511,1994-07,8.7
512,1994-08,9.2
513,1994-09,7.2
514,1994-10,2.9
515,1994-11,0.3
516,1994-12,-2.1
517,1995-01,-5.7
518,1995-02,-5.7
519,1995-03,-6.4
520,1995-04,-3.1
521,1995-05,2.5
522,1995-06,5.1
523,1995-07,8.4
524,1995-08,9.9
525,1995-09,8.5
526,1995-10,3.6
527,1995-11,0.4
528,1995-12,0.2
529,1996-01,-0.8
530,1996-02,-3.2
531,1996-03,0.6
532,1996-04,-0.2
533,1996-05,4.2
534,1996-06,7.3
535,1996-07,9.2
536,1996-08,10.2
537,1996-09,7.3
538,1996-10,4.2
539,1996-11,2.3
540,1996-12,-0.3
541,1997-01,-3.4
542,1997-02,-3.8
543,1997-03,-4.7
544,1997-04,-1.0
545,1997-05,3.8
546,1997-06,6.1
547,1997-07,9.0
548,1997-08,9.8
549,1997-09,8.1
550,1997-10,3.5
551,1997-11,0.9
552,1997-12,-4.4
553,1998-01,-5.5
554,1998-02,-5.9
555,1998-03,-1.2
556,1998-04,-0.2
557,1998-05,2.3
558,1998-06,5.8
559,1998-07,8.8
560,1998-08,8.9
561,1998-09,7.2
562,1998-10,3.2
563,1998-11,0.6
564,1998-12,-2.0
565,1999-01,-3.0
566,1999-02,-4.3
567,1999-03,-4.5
568,1999-04,-2.0
569,1999-05,1.5
570,1999-06,5.0
571,1999-07,7.6
572,1999-08,7.9
573,1999-09,7.4
574,1999-10,2.4
575,1999-11,-0.2
576,1999-12,-7.9
577,2000-01,-7.9
578,2000-02,-0.6
579,2000-03,-2.5
580,2000-04,-0.4
581,2000-05,2.2
582,2000-06,6.3
583,2000-07,8.8
584,2000-08,9.8
585,2000-09,7.3
586,2000-10,4.3
587,2000-11,2.4
588,2000-12,1.7
589,2001-01,-1.4
590,2001-02,-0.6
591,2001-03,-2.0
592,2001-04,0.3
593,2001-05,1.4
594,2001-06,5.5
595,2001-07,7.7
596,2001-08,9.2
597,2001-09,7.4
598,2001-10,3.0
599,2001-11,1.3
600,2001-12,-5.4
601,2002-01,-4.9
602,2002-02,-7.9
603,2002-03,-0.3
604,2002-04,0.3
605,2002-05,3.8
606,2002-06,6.5
607,2002-07,8.7
608,2002-08,10.1
609,2002-09,8.4
610,2002-10,5.0
611,2002-11,1.7
612,2002-12,-1.0
613,2003-01,-1.5
614,2003-02,-2.1
615,2003-03,-1.8
616,2003-04,1.9
617,2003-05,3.4
618,2003-06,6.9
619,2003-07,8.9
620,2003-08,9.7
621,2003-09,8.2
622,2003-10,4.4
623,2003-11,2.1
624,2003-12,-1.0
625,2004-01,-2.3
626,2004-02,-2.4
627,2004-03,-3.0
628,2004-04,-0.5
629,2004-05,4.6
630,2004-06,7.3
631,2004-07,9.7
632,2004-08,10.8
633,2004-09,8.6
634,2004-10,4.9
635,2004-11,1.2
636,2004-12,-1.7
637,2005-01,0.9
638,2005-02,-2.4
639,2005-03,-1.9
640,2005-04,-2.1
641,2005-05,3.5
642,2005-06,9.4
643,2005-07,11.5
644,2005-08,11.3
645,2005-09,9.0
646,2005-10,4.6
647,2005-11,-0.6
648,2005-12,-0.7
649,2006-01,-8.0
650,2006-02,-3.3
651,2006-03,-0.7
652,2006-04,-2.5
653,2006-05,1.7
654,2006-06,5.2
655,2006-07,8.8
656,2006-08,9.2
657,2006-09,7.1
658,2006-10,4.1
659,2006-11,1.4
660,2006-12,-4.7
661,2007-01,-6.6
662,2007-02,-0.9
663,2007-03,-7.6
