month,mean
1951-01,11.1
1951-02,13.4
1951-03,15.9
1951-04,19.9
1951-05,24.8
1951-06,28.3
1951-07,33.6
1951-08,30.7
1951-09,28.4
1951-10,22.2
1951-11,14.3
1951-12,11.1
1952-01,10.8
1952-02,12.3
1952-03,13.1
1952-04,19.7
1952-05,26.4
1952-06,29.2
1952-07,33.2
1952-08,32.7
1952-09,29.9
1952-10,24.9
1952-11,14.0
1952-12,10.6
1953-01,12.5
1953-02,11.8
1953-03,16.4
1953-04,19.2
1953-05,21.6
1953-06,29.4
1953-07,32.7
1953-08,31.8
1953-09,28.9
1953-10,22.0
1953-11,16.4
1953-12,9.6
1954-01,11.3
1954-02,16.3
1954-03,14.6
1954-04,22.0
1954-05,25.7
1954-06,29.3
1954-07,32.9
1954-08,36.9
1954-09,30.1
1954-10,23.8
1954-11,18.1
1954-12,12.2
1955-01,9.3
1955-02,10.5
1955-03,16.4
1955-04,19.3
1955-05,24.2
1955-06,28.7
1955-07,30.4
1955-08,30.3
1955-09,28.3
1955-10,24.3
1955-11,15.1
1955-12,13.2
1956-01,13.4
1956-02,10.5
1956-03,16.4
1956-04,19.1
1956-05,24.9
1956-06,30.5
1956-07,31.1
1956-08,29.8
1956-09,29.2
1956-10,20.9
1956-11,14.3
1956-12,11.8
1957-01,12.2
1957-02,16.3
1957-03,16.6
1957-04,19.2
1957-05,22.7
1957-06,30.6
1957-07,33.0
1957-08,31.1
1957-09,28.4
1957-10,21.4
1957-11,13.6
1957-12,12.8
1958-01,11.7
1958-02,14.4
1958-03,13.9
1958-04,19.3
1958-05,27.4
1958-06,31.7
1958-07,34.2
1958-08,33.7
1958-09,30.3
1958-10,24.8
1958-11,17.3
1958-12,13.3
1959-01,12.1
1959-02,12.2
1959-03,17.6
1959-04,23.1
1959-05,24.6
1959-06,32.4
1959-07,34.4
1959-08,31.2
1959-09,28.5
1959-10,22.6
1959-11,16.1
1959-12,12.0
1960-01,9.2
1960-02,10.8
1960-03,18.4
1960-04,21.3
1960-05,25.4
1960-06,32.2
1960-07,33.6
1960-08,32.1
1960-09,29.9
1960-10,21.4
1960-11,15.8
1960-12,10.3
1961-01,12.3
1961-02,13.1
1961-03,15.3
1961-04,20.7
1961-05,24.2
1961-06,31.4
1961-07,33.2
1961-08,31.4
1961-09,27.0
1961-10,20.9
1961-11,13.9
1961-12,11.3
1962-01,10.8
1962-02,13.2
1962-03,13.3
1962-04,22.4
1962-05,23.1
1962-06,28.4
1962-07,32.3
1962-08,33.2
1962-09,29.1
1962-10,22.0
