month,mean
1951-01,11.1
1951-02,11.7
1951-03,11.1
1951-04,11.3
1951-05,14.6
1951-06,15.1
1951-07,15.0
1951-08,16.4
1951-09,16.8
1951-10,15.8
1951-11,12.3
1951-12,9.2
1952-01,8.4
1952-02,10.7
1952-03,10.5
1952-04,12.7
1952-05,13.8
1952-06,14.3
1952-07,16.8
1952-08,15.7
1952-09,17.2
1952-10,14.9
1952-11,11.1
1952-12,10.2
1953-01,11.7
1953-02,10.1
1953-03,10.5
1953-04,11.4
1953-05,13.1
1953-06,14.8
1953-07,15.6
1953-08,16.7
1953-09,17.9
1953-10,14.8
1953-11,12.9
1953-12,10.6
1954-01,9.7
1954-02,10.6
1954-03,9.8
1954-04,13.7
1954-05,13.7
1954-06,14.9
1954-07,16.6
1954-08,16.2
1954-09,16.6
1954-10,14.6
1954-11,11.9
1954-12,8.7
1955-01,7.2
1955-02,9.3
1955-03,11.4
1955-04,11.2
1955-05,14.1
1955-06,16.2
1955-07,15.2
1955-08,15.3
1955-09,16.3
1955-10,15.2
1955-11,12.2
1955-12,10.9
1956-01,9.5
1956-02,8.9
1956-03,10.9
1956-04,12.4
1956-05,14.6
1956-06,16.3
1956-07,16.5
1956-08,
1956-09,17.7
1956-10,14.6
1956-11,12.7
1956-12,9.3
1957-01,7.8
1957-02,11.6
1957-03,12.1
1957-04,13.8
1957-05,14.8
1957-06,17.6
1957-07,17.9
1957-08,17.1
1957-09,18.7
1957-10,16.2
1957-11,12.3
1957-12,9.8
1958-01,10.2
1958-02,13.0
1958-03,11.2
1958-04,14.3
1958-05,16.9
1958-06,18.5
1958-07,18.4
1958-08,19.6
1958-09,20.8
1958-10,17.4
1958-11,15.0
1958-12,12.9
1959-01,11.9
1959-02,11.8
1959-03,14.4
1959-04,15.4
1959-05,15.1
1959-06,16.4
1959-07,17.9
1959-08,18.6
1959-09,17.9
1959-10,18.3
1959-11,13.6
1959-12,10.7
1960-01,9.6
1960-02,10.8
1960-03,12.7
1960-04,13.2
1960-05,14.6
1960-06,17.9
1960-07,16.9
1960-08,16.7
1960-09,16.9
1960-10,15.9
1960-11,12.1
1960-12,9.3
1961-01,8.7
1961-02,11.8
1961-03,11.8
1961-04,13.9
1961-05,13.9
1961-06,17.3
1961-07,17.8
1961-08,18.0
1961-09,17.9
1961-10,16.0
1961-11,11.8
1961-12,8.5
1962-01,8.5
1962-02,10.1
1962-03,10.3
1962-04,13.3
1962-05,13.7
1962-06,19.4
1962-07,15.7
1962-08,17.6
1962-09,16.1
1962-10,15.3
1962-11,13.2
1962-12,9.8
1963-01,7.6
1963-02,13.3
1963-03,11.1
1963-04,11.7
1963-05,13.8
1963-06,14.8
1963-07,16.8
1963-08,17.5
1963-09,19.1
1963-10,16.8
1963-11,12.4
1963-12,7.9
1964-01,9.0
1964-02,10.4
1964-03,11.0
1964-04,12.3
1964-05,13.2
1964-06,16.3
1964-07,17.3
1964-08,17.9
1964-09,17.5
1964-10,16.1
1964-11,10.9
1964-12,10.7
1965-01,9.2
1965-02,10.2
1965-03,11.3
1965-04,12.5
1965-05,12.9
1965-06,14.6
1965-07,15.7
1965-08,17.4
1965-09,16.2
1965-10,16.9
1965-11,12.9
1965-12,7.2
1966-01,8.7
1966-02,9.3
1966-03,10.9
1966-04,14.4
1966-05,14.1
1966-06,16.3
1966-07,15.8
1966-08,16.9
1966-09,17.8
1966-10,15.8
1966-11,12.6
1966-12,9.4
1967-01,10.0
1967-02,10.8
1967-03,11.3
1967-04,10.5
1967-05,14.7
1967-06,15.2
1967-07,17.1
1967-08,17.1
1967-09,19.1
1967-10,17.5
1967-11,14.3
1967-12,8.9
1968-01,8.1
1968-02,12.5
1968-03,12.5
1968-04,12.7
1968-05,13.5
1968-06,16.3
1968-07,16.6
1968-08,18.2
1968-09,17.8
1968-10,15.3
1968-11,12.4
1968-12,8.8
1969-01,8.4
1969-02,9.3
1969-03,11.2
1969-04,12.2
1969-05,15.3
1969-06,16.2
1969-07,16.8
1969-08,17.2
1969-09,17.7
1969-10,16.2
1969-11,13.4
1969-12,12.1
1970-01,11.3
1970-02,12.7
1970-03,13.5
1970-04,12.1
1970-05,15.8
1970-06,15.8
1970-07,17.2
1970-08,16.4
1970-09,18.6
1970-10,14.7
1970-11,13.3
1970-12,9.3
1971-01,9.1
1971-02,10.0
1971-03,11.2
1971-04,11.7
1971-05,13.6
1971-06,15.6
1971-07,15.9
1971-08,17.8
1971-09,19.2
1971-10,13.9
1971-11,11.8
1971-12,7.8
1972-01,7.6
1972-02,11.1
1972-03,12.9
1972-04,13.0
1972-05,14.2
1972-06,16.1
1972-07,17.7
1972-08,17.8
1972-09,17.0
1972-10,16.1
1972-11,11.8
1972-12,7.2
1973-01,8.9
1973-02,11.6
1973-03,10.8
1973-04,13.7
1973-05,14.8
1973-06,17.5
1973-07,16.6
1973-08,15.9
1973-09,17.5
1973-10,15.9
1973-11,12.2
1973-12,10.0
1974-01,9.2
1974-02,9.8
1974-03,11.9
1974-04,12.7
1974-05,13.4
1974-06,15.8
1974-07,17.2
1974-08,17.6
1974-09,16.9
1974-10,16.7
1974-11,12.1
1974-12,9.2
1975-01,8.6
1975-02,10.5
1975-03,10.8
1975-04,10.3
1975-05,14.7
1975-06,15.4
1975-07,16.6
1975-08,17.2
1975-09,16.3
1975-10,14.9
1975-11,11.2
1975-12,9.6
1976-01,9.2
1976-02,10.3
1976-03,10.6
1976-04,11.8
1976-05,14.6
1976-06,17.3
1976-07,16.9
1976-08,17.9
1976-09,17.4
1976-10,16.3
1976-11,13.9
1976-12,9.3
1977-01,8.3
1977-02,11.8
1977-03,10.5
1977-04,13.3
1977-05,13.2
1977-06,15.8
1977-07,16.9
1977-08,17.8
1977-09,17.5
1977-10,15.8
1977-11,12.9
1977-12,11.3
1978-01,11.4
1978-02,11.6
1978-03,13.9
1978-04,12.7
1978-05,15.8
1978-06,15.8
1978-08,17.3
1978-09,18.8
1978-10,16.2
1978-11,11.4
1978-12,7.8
1979-01,8.6
1979-02,10.3
1979-03,12.5
1979-04,13.1
1979-05,15.8
1979-06,16.1
1979-07,17.7
1979-08,17.6
1979-09,19.6
1979-10,17.0
1979-11,14.3
1979-12,10.5
1980-01,10.3
1980-02,12.4
1980-03,11.7
1980-04,13.3
1980-05,13.5
1980-06,15.5
1980-07,17.2
1980-08,16.5
1980-09,17.3
1980-10,16.2
1980-11,13.3
1980-12,10.4
1981-01,11.0
1981-09,17.3
1981-10,14.8
1981-11,13.5
1981-12,11.3
1982-01,7.3
1982-02,10.9
1982-03,10.7
1982-04,12.6
1982-05,14.1
1982-06,15.4
1982-07,16.5
1982-08,17.4
1982-09,17.8
1982-10,16.2
1982-11,11.3
1982-12,9.4
1983-01,8.9
1983-02,11.9
1983-03,12.3
1983-04,12.6
1983-05,14.3
1983-06,16.4
1983-07,18.4
1983-08,19.4
1983-09,20.2
1983-10,18.1
1983-11,13.1
1983-12,11.9
1984-01,10.7
1984-02,11.6
1984-03,13.9
1984-04,13.3
1984-05,16.7
1984-06,16.3
1984-07,18.7
1984-08,17.9
1984-09,20.9
1984-10,15.8
1984-11,12.1
1984-12,8.8
1985-01,8.0
1985-02,11.0
1985-03,10.8
1985-04,15.0
1985-05,15.0
1985-06,18.4
1985-07,18.2
1985-08,17.8
1985-09,17.2
1985-10,15.9
1985-11,11.1
1985-12,8.3
1986-01,12.2
1986-02,13.5
1986-03,13.9
1986-04,13.4
1986-05,14.8
1986-06,17.2
1986-07,16.9
1986-08,16.1
1986-09,17.2
1986-10,16.1
1986-11,13.9
1986-12,10.0
1987-01,9.4
1987-02,11.7
1987-03,12.8
1987-04,15.0
1987-05,16.5
1987-06,17.0
1987-07,17.3
1987-08,18.3
1987-09,17.7
1987-10,17.8
1987-11,13.9
1987-12,10.2
1988-01,10.2
1988-02,12.5
1988-03,13.6
1988-04,14.5
1988-05,15.3
1988-06,16.9
1988-07,18.5
1988-08,18.3
1988-09,17.3
1988-10,16.3
1988-11,13.6
1988-12,10.2
1989-01,9.1
1989-02,9.1
1989-03,12.8
1989-04,16.0
1989-05,15.4
1989-06,17.1
1989-07,17.1
1989-08,17.7
1989-09,16.3
1989-10,16.0
1989-11,13.6
1989-12,10.1
1990-01,9.9
1990-02,9.6
1990-03,11.8
1990-04,14.7
1990-05,15.0
1990-06,16.9
1990-07,18.1
1990-08,19.1
1990-09,19.1
1990-10,17.3
1990-11,13.3
1990-12,8.0
1991-01,10.1
1991-02,12.9
1991-03,11.2
1991-04,13.2
1991-05,13.8
1991-06,15.2
1991-07,17.6
1991-08,18.0
1991-09,17.2
1991-10,17.1
1991-11,14.2
1991-12,10.4
1992-01,9.4
1992-02,13.4
1992-03,14.1
1992-04,15.9
1992-05,17.4
1992-06,17.6
1992-07,18.8
1992-08,17.7
1992-09,18.5
1992-10,18.6
1992-11,13.8
1992-12,9.9
1993-01,9.6
1993-02,11.4
1993-03,14.2
1993-04,14.5
1993-05,16.8
1993-06,18.2
1993-07,18.2
1993-08,19.6
1993-09,17.3
1993-10,17.4
1993-11,13.5
1993-12,10.1
1994-01,10.8
1994-02,10.3
1994-03,13.3
1994-04,13.8
1994-05,14.7
1994-06,16.4
1994-07,16.7
1994-08,18.1
1994-09,17.8
1994-10,15.6
1994-11,9.9
1994-12,8.9
1995-01,11.2
1995-02,12.2
1995-03,12.2
1995-04,12.8
1995-05,13.9
1995-06,16.0
1995-07,18.2
1995-08,17.2
1995-09,17.3
1995-10,16.9
1995-11,14.7
1995-12,12.1
1996-01,11.1
1996-02,12.8
1996-03,13.4
1996-04,15.1
1996-05,15.8
1996-06,16.4
1996-07,17.3
1996-08,17.0
1996-09,17.2
1996-10,16.0
1996-11,13.4
1996-12,12.2
1997-01,10.6
1997-02,11.9
1997-03,13.5
1997-04,14.7
1997-05,18.0
1997-06,16.8
1997-07,17.7
1997-08,19.4
1997-09,20.3
1997-10,16.6
1997-11,14.3
1997-12,10.6
1998-01,11.6
1998-02,11.4
1998-03,12.7
1998-04,13.1
1998-05,14.4
1998-06,16.4
1998-07,17.1
1998-08,17.7
1998-09,17.8
1998-10,15.4
1998-11,12.2
1998-12,8.3
1999-01,9.4
1999-02,10.0
1999-03,10.3
1999-04,12.3
1999-05,13.0
1999-06,15.3
1999-07,16.6
1999-08,17.6
1999-09,17.4
1999-10,16.7
1999-11,13.9
1999-12,10.7
2000-01,11.5
2000-02,12.0
2000-03,12.5
2000-04,14.5
2000-05,15.6
2000-06,17.3
2000-07,16.3
2000-08,17.6
2000-09,19.1
2000-10,15.6
2000-11,11.6
2000-12,11.0
2001-01,9.5
2001-02,10.6
2001-03,13.2
2001-04,12.0
2001-05,17.1
2001-06,17.1
2001-07,17.1
2001-08,17.3
2001-09,17.2
2001-10,16.9
2001-11,14.1
2001-12,11.1
2002-01,9.5
2002-02,11.9
2002-03,12.2
2002-04,13.8
2002-05,14.4
2002-06,16.3
2002-07,17.8
2002-08,18.0
2002-09,18.2
2002-10,16.3
2002-11,14.2
2002-12,11.4
2003-01,12.2
2003-02,11.3
2003-03,13.3
2003-04,12.3
2003-05,15.0
2003-06,17.1
2003-07,17.2
2003-08,19.1
2003-09,19.4
2003-10,17.3
2003-11,12.2
2003-12,11.2
2004-01,10.2
2004-02,11.3
2004-03,15.2
2004-04,15.3
2004-05,15.8
2004-06,16.5
2004-07,18.3
2004-08,19.2
2004-09,19.7
2004-10,16.1
2004-11,13.0
2004-12,11.3
2005-01,9.9
2005-02,12.8
2005-03,14.1
2005-04,13.8
2005-05,16.4
2005-06,16.6
2005-07,18.0
2005-08,17.5
2005-09,16.9
2005-10,16.3
2005-11,14.1
2005-12,11.7
2006-01,11.0
2006-02,11.7
2006-03,10.5
2006-04,13.1
2006-05,15.5
2006-06,17.4
2006-07,18.8
2006-08,17.5
2006-09,16.9
2006-10,15.9
2006-11,13.2
2006-12,10.2
2007-01,8.9
2007-02,11.3
2007-03,13.2
2007-04,13.4
2007-05,14.9
2007-06,16.3
2007-07,17.9
2007-08,18.0
2007-09,18.0
2007-10,15.6
2007-11,13.2
2007-12,9.7
2008-01,9.1
2008-02,11.0
2008-03,11.9
2008-04,13.0
2008-05,14.8
2008-06,16.4
2008-07,17.1
2008-08,18.0
2008-09,18.3
2008-10,17.3
2008-11,14.4
2008-12,9.5
2009-01,10.8
2009-02,11.2
2009-03,12.1
2009-04,13.6
2009-05,15.3
2009-06,17.2
2009-07,16.9
2009-08,18.7
2009-09,18.9
2009-10,16.5
2009-11,13.7
2009-12,9.5
2010-01,10.7
2010-02,12.2
2010-03,12.8
2010-04,13.1
2010-05,14.2
2010-06,16.9
2010-07,17.2
2010-08,17.5
2010-09,20.3
