month,mean
1951-01,-4.3
1951-02,-1.2
1951-03,-4.5
1951-05,3.7
1951-06,6.4
1951-08,9.4
1951-09,6.9
1951-10,3.0
1951-11,1.4
1951-12,-0.2
1952-01,-0.1
1952-02,-0.2
1952-03,-2.9
1952-04,-3.0
1952-05,2.0
1952-06,4.2
1952-07,6.7
1952-08,7.9
1952-09,6.8
1952-10,4.3
1952-11,1.7
1952-12,-2.9
1953-01,-4.3
1953-02,-7.3
1953-03,-7.1
1953-04,-1.5
1953-05,1.9
1953-06,5.8
1953-07,9.7
1953-08,10.0
1953-09,7.2
1953-10,2.0
1953-11,0.7
1953-12,
1954-01,-5.9
1954-02,-13.1
1954-03,-3.3
1954-04,-1.9
1954-05,1.8
1954-06,4.4
1954-07,12.4
1954-08,8.4
1954-09,7.3
1954-10,2.3
1954-11,1.2
1954-12,-3.6
1955-01,-3.1
1955-02,-3.4
1955-03,-5.4
1955-04,-3.9
1955-05,0.4
1955-06,3.9
1955-07,7.2
1955-08,8.4
1955-09,
1955-10,0.9
1955-11,1.1
1955-12,-1.1
1956-01,-5.6
1956-02,-6.7
1956-03,-7.8
1956-04,-5.0
1956-05,0.6
1956-06,3.7
1956-07,6.7
1956-08,6.7
1956-09,7.1
1956-10,3.5
1956-11,-1.5
1956-12,-4.8
1957-01,-0.7
1957-02,-4.7
1957-03,-4.6
1957-04,0.3
1957-05,3.5
1957-06,6.5
1957-07,8.8
1957-08,9.9
1957-09,
1957-10,4.8
1957-11,3.3
1957-12,-3.1
1958-01,-7.3
1958-02,-5.5
1958-03,-0.8
1958-04,-0.2
1958-05,1.9
1958-06,5.9
1958-07,7.9
1958-08,8.7
1958-09,7.2
1958-10,3.8
1958-11,3.9
1958-12,0.1
1959-01,-1.1
1959-02,-0.4
1959-03,-7.3
1959-04,-1.9
1959-05,1.8
1959-06,4.7
1959-07,7.2
1959-08,9.3
1959-09,7.3
1959-10,4.4
1959-11,1.7
1959-12,-3.2
1960-01,-2.2
1960-02,-2.9
1960-03,-4.0
1960-04,-7.7
1960-05,1.1
1960-06,4.2
1960-07,8.1
1960-08,8.4
1960-09,6.4
1960-10,3.1
1960-11,-0.6
1960-12,-1.0
1961-01,-2.5
1961-02,-7.7
1961-03,-7.3
1961-04,-2.0
1961-05,2.8
1961-06,5.2
1961-07,7.2
1961-08,8.1
1961-09,7.2
1961-10,3.3
1961-11,1.1
1961-12,-5.6
1962-01,-6.6
1962-02,-1.6
1962-03,-3.2
1962-04,-1.7
1962-05,1.0
1962-06,4.9
1962-07,8.3
1962-08,8.9
1962-09,5.7
1962-10,2.4
1962-11,0.2
1962-12,-2.7
1963-01,-0.8
1963-02,-5.9
1963-03,-1.4
1963-04,-1.4
1963-05,2.2
1963-06,4.7
1963-07,7.6
1963-08,8.1
1963-09,6.8
1963-10,2.2
1963-11,-1.3
1963-12,-1.0
1964-01,-3.0
1964-02,-9.1
1964-03,-5.1
1964-04,-1.3
1964-05,1.2
1964-06,5.6
1964-07,7.3
1964-08,8.3
1964-09,6.3
1964-10,3.0
1964-11,-0.3
1964-12,-1.2
1965-01,-5.1
1965-02,-8.4
1965-03,-4.1
1965-04,-1.2
1965-05,0.5
1965-06,4.4
1965-07,7.2
1965-08,8.1
1965-09,6.7
1965-10,2.1
1965-11,1.3
1965-12,-2.3
1966-01,0.3
1966-02,-0.9
1966-03,-5.6
1966-04,-2.2
