,year,month,mean
0,1951,01,-1.6
1,1951,02,2.7
2,1951,03,2.3
3,1951,04,10.4
4,1951,05,13.8
5,1951,06,16.8
6,1951,07,24.2
7,1951,08,22.3
8,1951,09,17.6
9,1951,10,9.6
10,1951,11,3.7
11,1951,12,-2.6
12,1952,01,-3.0
13,1952,02,-0.9
14,1952,03,2.7
15,1952,04,11.3
16,1952,05,14.2
17,1952,06,17.9
18,1952,07,23.1
19,1952,08,22.7
20,1952,09,18.5
21,1952,10,13.8
22,1952,11,1.7
23,1952,12,1.1
24,1953,01,5.0
25,1953,02,2.4
26,1953,03,5.8
27,1953,04,7.8
28,1953,05,11.2
29,1953,06,15.2
30,1953,07,23.4
31,1953,08,21.9
32,1953,09,18.9
33,1953,10,11.6
34,1953,11,7.4
35,1953,12,-0.5
36,1954,01,2.5
37,1954,02,3.8
38,1954,03,1.4
39,1954,04,10.0
40,1954,05,15.5
41,1954,06,16.3
42,1954,07,24.1
43,1954,08,20.1
44,1954,09,16.4
45,1954,10,10.5
46,1954,11,6.4
47,1954,12,-0.8
48,1955,01,-4.7
49,1955,02,-2.7
50,1955,03,2.3
51,1955,04,6.7
52,1955,05,12.0
53,1955,06,19.2
54,1955,07,21.8
55,1955,08,23.7
56,1955,09,16.9
57,1955,10,11.8
58,1955,11,1.9
59,1955,12,1.9
60,1956,01,0.8
61,1956,02,-2.6
62,1956,03,5.5
63,1956,04,10.3
64,1956,05,15.2
65,1956,06,18.1
66,1956,07,23.9
67,1956,08,21.0
68,1956,09,17.9
69,1956,10,10.0
70,1956,11,1.8
71,1956,12,-0.8
72,1957,01,-5.8
73,1957,02,1.4
74,1957,03,5.7
75,1957,04,9.3
76,1957,05,14.6
77,1957,06,18.9
78,1957,07,22.9
79,1957,08,21.5
80,1957,09,18.5
81,1957,10,9.7
82,1957,11,2.4
83,1957,12,1.3
84,1958,01,0.3
85,1958,02,5.7
86,1958,03,4.8
87,1958,04,8.8
88,1958,05,17.9
89,1958,06,18.9
90,1958,07,23.3
91,1958,08,24.4
92,1958,09,16.7
93,1958,10,12.9
94,1958,11,4.6
95,1958,12,2.6
96,1959,01,2.1
97,1959,02,2.8
98,1959,03,5.2
99,1959,04,10.4
100,1959,05,11.5
101,1959,06,20.3
102,1959,07,24.4
103,1959,08,21.1
104,1959,09,15.4
105,1959,10,9.8
106,1959,11,1.5
107,1959,12,2.3
108,1960,01,-4.4
109,1960,02,0.9
110,1960,03,6.1
111,1960,04,9.5
112,1960,05,12.4
113,1960,06,20.7
114,1960,07,27.1
115,1960,08,20.6
116,1960,09,18.9
117,1960,10,11.5
118,1960,11,4.7
119,1960,12,-0.8
120,1961,01,0.5
121,1961,02,5.1
122,1961,03,6.8
123,1961,04,8.9
124,1961,05,14.4
125,1961,06,22.7
126,1961,07,24.6
127,1961,08,25.5
128,1961,09,14.0
129,1961,10,9.6
130,1961,11,2.8
131,1961,12,-0.7
132,1962,01,-6.1
133,1962,02,0.1
134,1962,03,3.7
135,1962,04,11.3
136,1962,05,13.3
137,1962,06,18.6
138,1962,07,22.3
139,1962,08,21.6
140,1962,09,18.4
141,1962,10,11.7
142,1962,11,5.2
143,1962,12,1.9
144,1963,01,-4.8
145,1963,02,6.3
146,1963,03,6.8
147,1963,04,9.1
148,1963,05,16.1
149,1963,06,17.7
150,1963,07,22.3
151,1963,08,23.1
