,year,month
0,1951,01
1,1951,02
2,1951,03
3,1951,04
4,1951,05
5,1951,06
6,1951,07
7,1951,08
8,1951,09
9,1951,10
10,1951,11
11,1951,12
12,1952,01
13,1952,02
14,1952,03
15,1952,04
16,1952,05
17,1952,06
18,1952,07
19,1952,08
20,1952,09
21,1952,10
22,1952,11
23,1952,12
24,1953,01
25,1953,02
26,1953,03
27,1953,04
28,1953,05
29,1953,06
30,1953,07
31,1953,08
32,1953,09
33,1953,10
34,1953,11
35,1953,12
36,1954,01
37,1954,02
38,1954,03
39,1954,04
40,1954,05
41,1954,06
42,1954,07
43,1954,08
44,1954,09
45,1954,10
46,1954,11
47,1954,12
48,1955,01
49,1955,02
50,1955,03
51,1955,04
52,1955,05
53,1955,06
54,1955,07
55,1955,08
56,1955,09
57,1955,10
58,1955,11
59,1955,12
60,1956,01
61,1956,02
62,1956,03
63,1956,04
64,1956,05
65,1956,06
66,1956,07
67,1956,08
68,1956,09
69,1956,10
70,1956,11
71,1956,12
72,1957,01
73,1957,02
74,1957,03
75,1957,04
76,1957,05
77,1957,06
78,1957,07
79,1957,08
80,1957,09
81,1957,10
82,1957,11
83,1957,12
84,1958,01
85,1958,02
86,1958,03
87,1958,04
88,1958,05
89,1958,06
90,1958,07
91,1958,08
92,1958,09
93,1958,10
94,1958,11
95,1958,12
96,1959,01
97,1959,02
98,1959,03
99,1959,04
100,1959,05
101,1959,06
102,1959,07
103,1959,08
104,1959,09
105,1959,10
106,1959,11
107,1959,12
108,1960,01
109,1960,02
110,1960,03
111,1960,04
112,1960,05
113,1960,06
114,1960,07
115,1960,08
116,1960,09
117,1960,10
118,1960,11
119,1960,12
120,1961,01
121,1961,02
122,1961,03
123,1961,04
124,1961,05
125,1961,06
126,1961,07
127,1961,08
128,1961,09
129,1961,10
130,1961,11
131,1961,12
132,1962,01
133,1962,02
134,1962,03
135,1962,04
136,1962,05
137,1962,06
138,1962,07
139,1962,08
140,1962,09
141,1962,10
142,1962,11
143,1962,12
144,1963,01
145,1963,02
146,1963,03
147,1963,04
148,1963,05
149,1963,06
150,1963,07
151,1963,08
152,1963,09
153,1963,10
154,1963,11
155,1963,12
156,1964,01
157,1964,02
158,1964,03
159,1964,04
160,1964,05
161,1964,06
162,1964,07
163,1964,08
164,1964,09
165,1964,10
166,1964,11
167,1964,12
168,1965,01
169,1965,02
170,1965,03
171,1965,04
172,1965,05
173,1965,06
174,1965,07
175,1965,08
176,1965,09
177,1965,10
178,1965,11
179,1965,12
180,1966,01
181,1966,02
182,1966,03
183,1966,04
184,1966,05
185,1966,06
186,1966,07
187,1966,08
188,1966,09
189,1966,10
190,1966,11
191,1966,12
192,1967,01
193,1967,02
194,1967,03
195,1967,04
196,1967,05
197,1967,06
198,1967,07
199,1967,08
200,1967,09
201,1967,10
202,1967,11
203,1967,12
204,1968,01
205,1968,02
206,1968,03
207,1968,04
208,1968,05
209,1968,06
210,1968,07
211,1968,08
212,1968,09
213,1968,10
214,1968,11
215,1968,12
216,1969,01
217,1969,02
218,1969,03
219,1969,04
220,1969,05
221,1969,06
222,1969,07
223,1969,08
224,1969,09
225,1969,10
226,1969,11
227,1969,12
228,1970,01
229,1970,02
230,1970,03
231,1970,04
232,1970,05
233,1970,06
234,1970,07
235,1970,08
236,1970,09
237,1970,10
238,1970,11
239,1970,12
240,1971,01
241,1971,02
242,1971,03
243,1971,04
244,1971,05
245,1971,06
246,1971,07
247,1971,08
248,1971,09
249,1971,10
250,1971,11
251,1971,12
252,1972,01
253,1972,02
254,1972,03
255,1972,04
256,1972,05
257,1972,06
258,1972,07
259,1972,08
260,1972,09
261,1972,10
262,1972,11
263,1972,12
264,1973,01
265,1973,02
266,1973,03
267,1973,04
268,1973,05
269,1973,06
270,1973,07
271,1973,08
272,1973,09
273,1973,10
274,1973,11
275,1973,12
276,1974,01
277,1974,02
278,1974,03
279,1974,04
280,1974,05
281,1974,06
282,1974,07
283,1974,08
284,1974,09
285,1974,10
286,1974,11
287,1974,12
288,1975,01
289,1975,02
290,1975,03
291,1975,04
292,1975,05
293,1975,06
294,1975,07
295,1975,08
296,1975,09
297,1975,10
298,1975,11
299,1975,12
300,1976,01
301,1976,02
302,1976,03
303,1976,04
304,1976,05
305,1976,06
306,1976,07
307,1976,09
308,1976,10
309,1976,11
310,1976,12
311,1977,01
312,1977,02
313,1977,03
314,1977,04
315,1977,05
316,1977,06
317,1977,07
318,1977,08
319,1977,09
320,1977,10
321,1977,11
322,1977,12
323,1978,01
324,1978,02
325,1978,03
326,1978,04
327,1978,05
328,1978,06
329,1978,08
330,1978,09
331,1978,10
332,1978,11
333,1978,12
334,1979,01
335,1979,02
336,1979,03
337,1979,04
338,1979,05
339,1979,06
340,1979,07
341,1979,08
342,1979,09
343,1979,10
344,1979,11
345,1979,12
346,1980,01
347,1980,02
348,1980,03
349,1980,04
350,1980,05
351,1980,06
352,1980,07
353,1980,08
354,1980,09
355,1980,10
356,1980,11
357,1980,12
358,1981,01
359,1981,02
360,1981,09
361,1981,10
362,1981,11
363,1981,12
364,1982,01
365,1982,02
366,1982,03
367,1982,04
368,1982,05
369,1982,06
370,1982,07
371,1982,08
372,1982,09
373,1982,10
374,1982,11
375,1982,12
376,1983,01
377,1983,02
378,1983,03
379,1983,04
